序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
30,"
                                                                                                    【溧水白马回峰山的向日葵花海】有一种花，它盛开在这酷夏里，它是梵高的最爱，它那“熊熊燃烧”的黄色能将天际点燃！它就是——向日葵最近，溧水白马回峰山的向日葵花海就这样任性的开了，你看你看，简直美爆了！@溧水发布 ​​​​                                            ", 2015-7-30 16:49,42,18,26,微博 weibo.com,Ctw3r9TZm
31,"
                                                                                                    #恩正南京人#                                            ", 2015-7-30 15:56,-1,7,34,微博 weibo.com,CtvHSBxYI
32,"
                                                                                                    【南京有一群人在进行真正的“极限挑战”】当你在空调房里，被毒辣的阳光吓得不敢出门时，是否想起了这样一群人？当你为明星在35℃+的室外录制节目的敬业点赞时，是否也看见了挥汗如雨的他们？他们是这座城市的守护者听一听他们是如何在35℃下坚守10小时 ​​​​                                            ", 2015-7-30 14:00,248,51,536,微博 weibo.com,CtuWD781S
33,"
                                                                                                    教练，我赫怕！                                            ", 2015-7-30 12:48,147,39,413,微博 weibo.com,CtutHbYX4
34,"
                                                                                                    【白马公园有“梦幻水乐园”啦】这个夏天，家门口又多了一处玩水好去处即日起至9月，@南京钟山风景名胜区 白马公园“梦幻水乐园”开园背靠紫金山，前临玄武湖，在森林氧吧中嬉水纳凉，夜晚彩灯闪烁，映衬湖光山色，简直就是童话世界↓↓↓还有多彩的文艺演出和各类美食小吃哦走！ ​​​​                                            ", 2015-7-30 11:20,135,43,33,微博 weibo.com,CttTGrhGQ
35,"
                                                                                                    ↓↓↓戳视频胆真肥！                                            ", 2015-7-30 10:24,33,32,67,微博 weibo.com,CttwXggUu
36,"
                                                                                                    【以后去餐馆认准餐具“1122”标识！】你去餐馆吃饭，会担心餐具不卫生，在拆封后用开水烫涮一下？据@南京政务服务 ：8月1日起，南京市内各正规消毒餐具生产企业将统一使用“1122”标识的消毒餐具包装，以后认准餐具外包装膜上有“1122”标识，就可放心使用。如果没有，可拨打12315投诉。 ​​​​                                            ", 2015-7-30 09:39,156,31,20,微博 weibo.com,CtteZxMJc
37,"
                                                                                                    六朝探""鲜""之旅夏令营<第二期>今天上午9：00开始报名，名额有限，报名从速哦                                            ", 2015-7-30 09:23,6,6,4,微博 weibo.com,Ctt8ct5wm
38,"
                                                                                                    说的好像今天没有昨天热一样//@小二哥alex：这是昨天的                                            ", 2015-7-30 08:03,63,19,168,iPhone 6,CtsBYClJL
39,"
                                                                                                    今日天气预报，看图就知道 ​​​​                                            ", 2015-7-30 07:42,157,61,168,iPhone 6,Ctstf13ZM
40,"
                                                                                                    【南京·安】                                            ", 2015-7-29 22:24,59,14,31,iPhone 6,CtoOK3ivh
41,"
                                                                                                    【把榴莲放在火上烤…新技能get√】据说，国外的神级吃货开创出了榴莲了新吃法，而且非常流行......榴莲BBQ！被称作最“惹人犯罪”的榴莲吃法！新技能get√，榴莲控快看↓↓↓ ​​​​                                            ", 2015-7-29 21:30,64,41,26,微博 weibo.com,CtosN1tUu
42,"
                                                                                                    【长江路上有个藏书万册的民国图书馆】四面林立的书柜上精选南京历史、中外文学艺术等书籍，打字机、茶具、屏风等民国风小物件妆点其中，长江路上圣和府邸豪华精选酒店的一楼大堂有个“行者书屋”，这么燥热的季节去读书最合适啦顺便问下，你知道南京还有类似这样的文化场所？评论留 ​​​​                                            ", 2015-7-29 20:10,71,27,57,微博 weibo.com,CtnWju7iJ
43,"
                                                                                                    今天高温36度，南京音乐台签收#极限挑战#男神一堆图自@南京钟山风景名胜区 ，谁要的拿走，不谢！高清！多图！土豪随意，没wifi的自重…… ​​​​                                            ", 2015-7-29 17:51,98,35,126,微博 weibo.com,Ctn2993Ve
44,"
                                                                                                    你吃过么？//@CT15498: 学渣我表示观察过，但是看到脱了一半就没了耐心，最后把它拔出来吃了(ಥ_ಥ)                                            ", 2015-7-29 17:32,23,23,2134,微博 weibo.com,CtmUu1AX9
45,"
                                                                                                    回复@-超人君-:南工大拍马杀到 //@-超人君-:南工大十点二十断网断电，洗澡热水全靠学校心情。下大雨学校还有山洪，冬天冻死夏天热死还有无数小虫子的一年1500的宿舍不服 //@南京发布:太惨了                                            ", 2015-7-29 15:05,27,28,108,百度浏览器,CtlWSzjNu
46,"
                                                                                                    太惨了 //@Benefiting-Lee:南农怎么不好意思放800块一年六人间上下铺无阳台无独卫春秋天晚11点断电全年晚11点断网怎么不说                                            ", 2015-7-29 14:25,82,45,108,iPhone 6,CtlGr8ovD
47,"
                                                                                                    【南京高校宿舍配置大盘点】少年，不要再羡慕人家的宿舍温馨有爱又漂亮，现实告诉你，只要有空调和网络，其他啥都不重要来来来，基于以上两点，@青春南京 带你看南京各大高校宿舍！你的宿舍是这样吗 ​​​​                                            ", 2015-7-29 13:30,206,151,108,微博 weibo.com,CtljXhlqC
48,"
                                                                                                    自媒体时代的标志性体现！这应该算今天《极限挑战》来南京拍摄的最佳新闻图片了吧！ ​​​​                                            ", 2015-7-29 12:24,68,42,169,iPhone 6,CtkTdycdT
49,"
                                                                                                    回复@水乡的小莫:要科普一下了：肯尼亚是赤道国家，其实没什么四季，只有旱季和雨季，现在是旱季。凉快因为内罗毕是高原。→_→ //@水乡的小莫:傻逼啊，人家南半球                                            ", 2015-7-29 11:19,24,33,20,百度浏览器,Ctkt3jZbq
50,"
                                                                                                    这是南京和非洲肯尼亚首都内罗毕的气温对比。难怪在福州留学的肯尼亚小伙（据说还试图来南京避暑的）说要回国避暑，真凉快啊 ​​​​                                            ", 2015-7-29 11:13,54,35,20,iPhone 6,Ctkqytn10
51,"
                                                                                                    【辟谣】国家特种设备安全技术委员会电梯分委会委员澄清：任何一个质量过关的扶梯，这三块板都是安全的。三块板下面都有空间, 只是空间大小不同。//@江宁公安在线 : 我现在十分担心这个流言引发的严重后果：很多人为了不踩第二块板直接duang duang往第三块板上蹦，把本来坚挺的第三块板给蹦塌了                                            ", 2015-7-29 10:57,52,14,9005,微博 weibo.com,CtkjPxlCj
52,"
                                                                                                    今天准备出门追星的也是不容易！//@张石雨琪: 南京这温度就是极限挑战了。。。                                            ", 2015-7-29 10:03,122,48,70,微博 weibo.com,CtjYhD98Q
53,"
                                                                                                    这是昨晚南京的云。连云彩都相爱了 ​​​​                                            ", 2015-7-29 09:37,39,24,107,iPhone 6,CtjNszbLx
54,"
                                                                                                    请勿模仿！警方会处罚哦！                                            ", 2015-7-29 08:15,227,61,59,iPhone 6,Ctjgc3mZY
55,"
                                                                                                    重磅消息！！！这一波气温牛市行情至少到下周四，而且周末不休市！希望大家注意逢高减“行”，规避暴晒风险。 ​​​​                                            ", 2015-7-29 07:43,32,11,38,iPhone 6,Ctj3cvSzV
56,"
                                                                                                    喂！起床吧！来吃早饭啦//@白水咩二妹_夏灼灼:谁用一桌早餐叫醒我我就…算了不说了，反正没人                                            ", 2015-7-29 07:12,110,18,248,iPhone 6,CtiQD0C8v
57,"
                                                                                                    //@白水咩二妹_夏灼灼:谁用一桌早餐叫醒我我就…算了不说了，反正没人                                            ", 2015-7-28 22:18,221,16,248,iPhone 6,CtflSBmuZ
58,"
                                                                                                    【南京人的早餐拍成视频不要太摆】高清：L早安南京 高清 视频从老南京和新南京人的日常生活入手，拍成了一部“舌尖上的南京”，油端子、豆腐脑、桂花糖芋苗、蒸儿糕、乌饭、鸡鸣汤包、小馄饨牛肉锅贴老卤面......都是你的故事！ 看得流口水，明天早起吃顿好的！ ​​​​¡查看图片                                            ", 2015-7-28 21:30,806,202,248,微博 weibo.com,Ctf2i6SSV
59,"
                                                                                                    【一张图教你如何精确判断车距！实用姿势贴！】@潍坊交警 这张图太有用了！新手们速速下载收藏学习！对了，据说好多人都选在暑假学车，最近这天气，学车的你还好么？ ​​​​                                            ", 2015-7-28 20:30,217,21,71,微博 weibo.com,CteDWce7H
60,"
                                                                                                    #最南京，全民拍#美！                                            ", 2015-7-28 19:32,-1,7,74,iPhone 6,CtegHlM1b
61,"
                                                                                                    认真的“女汉子”最美                                            ", 2015-7-28 19:21,3,6,3,微博 weibo.com,Ctec5DkJl
62,"
                                                                                                    【浦口首家民国风情商业街林公堤开街啦！】还记得江浦街道南门桥那里的一片民国风建筑么？上周，林公堤商业街正式开街啦！地铁10号线文德路站下，沿河而建的整排民国风情洋房，吃喝玩乐新去处，带TA去赏“民国风”可好！小知识：林公堤的“林公”就是“草圣”林散之哦~@浦口发布 ​​​​                                            ", 2015-7-28 18:30,272,87,95,微博 weibo.com,CtdRegzdT
63,"
                                                                                                    高温天火热袭来，你躲在空调房里么？@龙虎网 户外实测各地地表温度，能煎蛋、能化巧克力↓↓↓看看你那儿的户外有多热...... ​​​​                                            ", 2015-7-28 17:18,45,15,25,微博 weibo.com,Ctdo8zufW
64,"
                                                                                                    你期待吗？扩建后的红山动物园                                            ", 2015-7-28 16:40,39,44,8,微博 weibo.com,Ctd8V4u6o
65,"
                                                                                                    最南京，全民拍                                            ", 2015-7-28 15:55,44,12,22,微博 weibo.com,CtcQlxozA
66,"
                                                                                                    你晓得吧？//@南京文化发布: //@南京市博物馆总馆:相传朱元璋建好城墙，带着儿子大臣登上钟山观察都城形势，夸耀功绩。群臣无不赞叹，唯年仅十四岁皇子朱棣不以为然：“紫金山上架大炮，炮炮打中紫金城。”一语道破缺陷，朱元璋听后大惊，立即下令建造外郭城。                                            ", 2015-7-28 15:25,30,9,11,微博 weibo.com,CtcEjpF0p
67,"
                                                                                                    我是流油的五花肉么//@狂野旷野: 我是奔跑的排骨[萌娃大竣]                                            ", 2015-7-28 14:39,31,9,5,微博 weibo.com,CtclBiRWT
68,"
                                                                                                    最神奇的是南京明城墙仪凤门镜头，独轮车、黄包车、马车、小轿车、公交车...各种交通运输工具齐上阵,近百年前的繁华！                                            ", 2015-7-28 12:56,62,10,20,微博 weibo.com,CtbFR5ZNR
69,"
                                                                                                    【哪凉快哪呆着去！南京50条绿色长廊任你挑】最近南京气温直逼35+℃，你还在为上哪纳凉犯愁吗近日，南京市政府从150多条林荫道中选出50条确定为我市第一批绿色长廊。来来来，看看你家门前的林荫道上榜了吗 ​​​​                                            ", 2015-7-28 11:38,88,33,30,微博 weibo.com,Ctba0lyS9
70,"
                                                                                                    南京市特种设备检验院专家提醒，遇手扶电梯故障，请及时按下电梯两端的红色急停按钮。                                            ", 2015-7-28 10:06,56,8,1299,微博 weibo.com,CtayGkaOc
71,"
                                                                                                    向日葵都晒蔫了- -！                                            ", 2015-7-28 09:52,22,21,1,百度浏览器,Ctathephm
72,"
                                                                                                    看，蓝京 ​​​​                                            ", 2015-7-28 09:30,22,40,116,iPhone 6,Ctak6qnVz
73,"
                                                                                                    黄色意味着连续三天日最高气温将在35℃以上。                                            ", 2015-7-28 08:51,27,9,23,百度浏览器,Cta4ho2rE
74,"
                                                                                                    你原来在哪个区域？ ​​​​                                            ", 2015-7-28 08:14,139,99,74,iPhone 6,Ct9PpsO5m
75,"
                                                                                                    南师大前门，正宗柴火小馄饨#寻找石城街巷美食# ​​​​                                            ", 2015-7-28 00:36,139,169,239,iPhone 6,Ct6PCyDw6
76,"
                                                                                                    //@佰水芊泷：1，3双桥门；2，5，6，8赛虹桥；4，7，9新庄。对于GIS大神这都是小儿科，哈哈                                            ", 2015-7-27 21:56,68,24,109,iPhone 6,Ct5MyvOfg
77,"
                                                                                                    【食色金陵 · 人】#最南京，全民拍#对南京人来说，美食吃的不仅是味道，还有回忆！↓↓↓你还认识他们么？摄影：@汤包星的SUPERSONIC ​​​​                                            ", 2015-7-27 21:29,337,94,202,微博 weibo.com,Ct5Bo9Bp0
78,"
                                                                                                    【南京的夜间立交，美翻了！】#最南京，全民拍#美翻了的高架立交的夜景，从此又多了个爱南京的理由！温柔灯光下，这个角度，你还能认出是哪儿么？（图自南京华翔摄影） ​​​​                                            ", 2015-7-27 20:08,185,63,109,小米手机2S,Ct54C706N
79,"
                                                                                                                                                ", 2015-7-27 19:21,1,1,赞,小米手机2S,Ct4LzgRXN
80,"
                                                                                                    【2015年为“最热年”?!】#有此一说# 据新华社：美国政府机构年初发布报告,去年是全球有气温统计以来“最热年”。不过最新报告显示今年前6个月均为130多年来“数一数二”最热月。这一趋势如持续，2015将成为新的“最热年”。但这纪录也不会太久。科学家预计,下一个""最热年""会是明年！ ​​​​                                            ", 2015-7-27 18:36,19,12,13,iPhone 6,Ct4tlD3fY
