ID,微博内容
23,一定要撑住！！//@晶报: #柳溪工业园山体滑坡##1220滑坡灾害##深圳山体滑坡# 发现生命迹象的地点位于现场西侧一个废弃车场。晶报记者张国防现场报道。
24,【光明新区山体滑坡入院救治伤员增至16人】@健康深圳 :截至12月21日13时，光明新区发生山体滑坡房屋倒塌后，目前收治16名相关人员入院，均生命体征平稳。其中光明新区中心医院收治10人，光明新区人民医院收治6人。市、区卫生计生部门、医护人员、急救车辆继续在现场值守24小时待命准备后续抢救。
25,#深圳山体滑坡# 【微倡议：为生命让路！为救援让路！】我们正在跟救援黄金时间赛跑。深圳人行动起来，从自己做起：1、请勿占用任何道路应急车道，让出生命通道；2、遇到救援车辆时主动避让；3、请不要自行驾车前往救援现场周边区域；4、服从现场执勤交警指挥。
26,【深圳恒泰裕工业园山体滑坡灾害抢险 特别报道】@深圳卫视 快讯：14:40分左右，中共中央政治局委员、广东省委书记胡春华，国务委员王勇来到现场察看灾情，指导救灾工作，看望慰问一线救援人员。
27,//@深圳公安:【光明新区召开山体滑坡新闻发布会】
28,【光明新区山体滑坡14名伤员入院救治】@健康深圳：今天上午光明新区发生山体滑坡房屋倒塌，接报后“120”立即调派光明新区中心医院、光明新区人民医院等多家医疗机构出诊。截至17时15分，共出车16台次，入院治疗共14人，均是轻伤，光明新区中心医院收治9人，光明新区人民医院收治5人，均生命体征平稳。
29,这个救援过程很困难很复杂，加油！加油!//@广东消防:#深圳山体滑坡# #最新救援情况# 消防官兵开始安装起重气垫。
30,#光明山体滑坡#冬至日，光明新区群众体育中心安置点的义工们为民众送去热气腾腾的饺子@深圳晚报 ????????
31,【#山体滑坡#防灾常识，你必须掌握[推荐]】截至21日下午6时，#深圳工业园山体滑坡事故#失联人数已至85人，造成16人受伤。山体滑坡、地震、火灾、洪水…如果这些自然灾害突然发生在你身边，你知道该如何自救吗？没人能够知道明天和意外哪个先来。最全防灾常识↓必须掌握，扩散！（人民日报） ????????
32,【光明新区灾害救援交通管理五条措施】 目前， 光明新区长圳凤凰社区山体滑坡救援工作进入第二天关键期，参与救援的各类车辆较多，为了确保救援通道的畅通，抢险救灾工作顺利进行，@深圳交警 将进一步加强交通管理，具体采取五条措施如下。 ????????
