序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
19,"
                                                                                                    【五一小长假 消防安全那点事】1、外出旅游前自查自纠家中火灾隐患；2、旅游过程中时刻注意防火；3住宾馆过程中要熟悉逃生通道；当然，防范火灾远不止这三点，只有不断提高防火意识，注意自查自纠火灾隐患，劝导和制止他人的消防违法行为，发现火灾隐患要向消防部门举报，才能确保消防安全。 ​​​​                                            ", 2014-4-30 10:10,79,6,3,微博 weibo.com,B261kyDpf
20,"
                                                                                                    ​【消防队员驯马】俗话说，脱缰野马易放难收。贵州铜仁石阡县一老汉买了几匹马，难驯服，互相撕咬还伤了老汉。怎么办？打万能的119！消防员虽然没驯过马​，不是职业擒烈马，但也凭着矫健的身手驯服了野马。@走近中国消防 ​​​​                                            ", 2014-4-30 06:06,51,18,29,政务助手,B24q7BArj
21,"
                                                                                                    【炖鱼馆发生爆炸 姥爷火中救出外孙女】4月26日下午3时许，市民王先生带着老伴、女儿女婿和2岁的小外孙女在沈阳皇姑区黄浦江街的正阳鱼馆吃饭。席间，炖鱼铁锅突然爆炸包房里瞬间被火包围，王先生于火海中救出外孙女，自己身上着火，最后跳进养鱼池里才熄灭。 O沈阳一饭店营业中突然爆炸 姥爷火中救出外孙女  ​​​​                                            ", 2014-4-29 21:55,13,3,4,分享按钮,B21d96NZm
22,"
                                                                                                    美女如此深情，值得援手！请@陕西消防 帮忙找找，看有没有合适的！玉成一段佳缘，成就一段佳话！                                            ", 2014-4-29 21:02,-1,49,22,微博 weibo.com,B20RE9cHE
23,"
                                                                                                    【依法论处】我国《消防法》规定，任何单位、个人不得损坏、挪用或者擅自拆除、停用消防设施、器材，不得埋压、圈占、遮挡消火栓。单位违反以上规定的，责令改正，处五千元以上五万元以下罚款；个人违反以上规定的，处警告或者五百元以下罚款                                            ", 2014-4-29 17:51,29,3,赞,360安全浏览器,B1ZBSBfnJ
24,"
                                                                                                    祝广州公安生日快乐！4岁，对孩子来说，是幼儿；对微博来说，是大哥！不满周岁的@中国消防 祝大哥生日快乐，影响力越来越大！                                            ", 2014-4-29 17:03,1,1,82,360安全浏览器,B1Zit437Q
25,"
                                                                                                    【劳模－－＞消防员】五一劳动节表彰劳模，@走近中国消防 把勋章颁给了消防员！除了灭火，消防员还干些神马？应该很清闲的唆……因为他们只灭火，火也不多。其实，救猫救狗赶马蜂追孔雀，取戒指切钢筋拆墙破洞，空降垂绳下井攀岩横渡…… O网页链接​​​​                                            ", 2014-4-29 14:17,60,10,14,新浪视频,B1YcXrB8x
26,"
                                                                                                    【澳大利亚一飞机刚起飞即起火】 4月29日上午，澳大利亚一架飞机从珀斯机场国内航站起飞不久后左侧引擎失火，机身冒出火苗，在机场进行紧急迫降。 报道称，机上乘客对机长的应急能力和迅速迫降的表现赞赏有加，不过也有不少人表示短期内都不敢再坐飞机了。 ​​​​                                            ", 2014-4-29 14:05,7,4,2,政务助手,B1Y86BBOS
27,"
                                                                                                    【球迷被警察喷辣椒水全身着火】波兰足球赛弗罗茨瓦夫vs鲁宾的比赛中发生惊险一幕，一名球迷在激动看球过程中爬上了球场上的围栏，挥动手中的烟火，旁边的防暴警察看见后，拿起手中的辣椒水喷雾对着球迷喷去，球迷立刻全身着火。这位球迷全身没有继续燃烧，而他也是一溜烟地爬下围栏。 ​​​​                                            ", 2014-4-29 13:59,20,8,3,政务助手,B1Y5EaA94
28,"
                                                                                                    【死亡人数上升至7人】截至4月28日20时，抚顺市高湾经济开发区“辽沈战役”景区爆炸事故死亡人数上升至7人。分别是：从长影厂聘请的烟火效果师2人、高湾经济区管委会工作人员3人、景区工作人员2人。当时，从长影聘请的烟火效果师正在用镁粉和高氯酸钾配制烟火效果药品，发生爆炸。@福建消防                                            ", 2014-4-29 11:39,14,2,2,政府版微博,B1XaW6Qzy
