序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【飞来横祸】人为纵火致一家四口受伤入院，保险和社保均不赔…… O网页链接????????????                                            ", 2015-9-30 11:11,56,2,15,分享按钮,CCUkPeb4p
2,"
                                                                                                    #全国区域性火灾隐患曝光#【西藏日喀则市桑珠孜区教武场市场】主要隐患有：1.建筑耐火等级低；2.防火间距不足；3.市场室外消火栓不足，市政供水能力较差，且附近无其他消防水源；4.占用消防车通道；5.普遍存在“三合一”现象；6.违规使用明火；7.电气线路未按要求穿管保护、私拉乱接、老化严重。 ????????                                            ", 2015-9-30 06:10,49,1,11,微博 weibo.com,CCSmE1A50
3,"
                                                                                                    #全国区域性火灾隐患曝光#【云南德宏州瑞丽市华丰综合批发市场】该批发市场始建于2004年初，房屋为框架结构，建筑总栋数42栋，建筑总面积22000平方米，主要从事百货、服装批发。主要隐患有：1.防火间距被占用；2.部分商户在建筑屋顶用泡沫夹芯彩钢板违章搭建简易房；3.消防车道被占用。 ????????                                            ", 2015-9-30 06:08,30,1,9,微博 weibo.com,CCSlPtmVp
4,"
                                                                                                    #全国区域性火灾隐患曝光#【云南楚雄州楚雄市西门片区】该区域房屋用途主要以居民自住、出租和商铺经营为主。片区共有单位及居民住户1438户，常驻人口7000多人。主要隐患有：1.房屋建筑大多为土木结构，耐火等级低；2.道路不能满足消防车通行；3.消防水源缺乏。 ????????                                            ", 2015-9-30 06:06,29,评论,10,微博 weibo.com,CCSl1cSq7
5,"
                                                                                                    #全国区域性火灾隐患曝光#【云南昆明市官渡区商贸市场】位于官渡区六甲片区，有74个商贸市场，占地面积约7.9万平方米。主要隐患有：1.市政消火栓和天然消防水源缺乏；2.市场内大部分建筑为违章建筑，消防安全条件不足；3.普遍存在“三合一”现象；4.占用、堵塞消防车通道。 ????????                                            ", 2015-9-30 06:04,26,评论,5,微博 weibo.com,CCSkcEsNz
6,"
                                                                                                    #全国区域性火灾隐患曝光#【云南昆明市官渡区蛤蟆山片区】主要隐患有：大部分建筑物耐火等级不符合国家规范要求；防火间距不足，消防车通道不符合国家规范要求，无消防水源；普遍存在“三合一”现象；部分工厂、仓储、作坊违规储存、使用易燃易爆危化品；大部分建筑使用泡沫夹芯彩钢板违章搭建等。 ????????                                            ", 2015-9-30 06:02,25,评论,5,微博 weibo.com,CCSjopV7Z
7,"
                                                                                                    【认识电缆井火灾】老旧的居民楼，老化的电缆井，老被各种杂物阻塞的楼道......当所有隐患撞上了危害极强的电缆井火灾，后果可不得了…一起认识你我身边这个潜在的“敌人”...... ????????                                            ", 2015-9-30 06:00,346,11,11,微博 weibo.com,CCSiAdjuD
8,"
                                                                                                    【《为梦拼搏》—为祖国生日献礼】敬礼祖国，我们是为梦拼搏的战士，双肩托负起您的嘱托，在人民最需要的时候挺身而出；我们是忠诚的消防卫士，心中装着祖国和人民的信任，护佑民生是我们的职责。青春热血，铸就无悔选择！L【百年消防，铁军出动】大型消防公益宣传系列... @大连消防 ????????                                            ", 2015-9-29 11:15,554,16,82,微博 weibo.com,CCKW6AcNa
9,"
                                                                                                    【一分钟教你掌握灭火器】意外发生火灾，急忙冲到走廊提起灭火器，却发现不知道怎么用？你知道灭火器怎么用吗？戳↓↓图，看消防君来给你科普！ ????????                                            ", 2015-9-29 08:44,487,26,64,360安全浏览器,CCJWV6l8n
10,"
                                                                                                    #全国区域性火灾隐患曝光#【云南昆明市经开区阿拉街道办事处阿拉社区公家村片区】主要隐患有：1.建筑大多数是违法建筑；2.安全出口数量不足；3.防火间距不足；4.无消防车通道；5.无消防水源；6.普遍存在“三合一”现象。 ????????                                            ", 2015-9-29 06:08,67,2,12,微博 weibo.com,CCIVkyLNs
11,"
                                                                                                    #全国区域性火灾隐患曝光#【云南昆明市福海街道办事处船房村】主要隐患有：1.市政消火栓和天然消防水源缺乏；2.建筑为违法建筑，不具备消防安全条件；3.普遍存在“三合一”现象；4.消防车通道被占用、堵塞；5.液化气销售站点与居住建筑设置在同一建筑内。 ????????                                            ", 2015-9-29 06:06,42,评论,8,微博 weibo.com,CCIUwn9yS
12,"
                                                                                                    #全国区域性火灾隐患曝光#【贵州黔西南州兴义市柯沙商场服务中心】主要隐患有：1.火灾自动报警系统、消火栓系统等消防设施损坏；2.疏散通道和消防车通道被占用；3.电气线路未穿管敷设；4.商场内部将仓库、门市合用，大量存储易燃可燃物品。 ????????                                            ", 2015-9-29 06:04,28,1,5,微博 weibo.com,CCITI8AnA
13,"
                                                                                                    #全国区域性火灾隐患曝光#【贵州黔南州三都县三合街道排烧村】主要隐患有：1.木质结构房屋耐火等级低；2.村民房屋连片修建，防火间距严重不足；3.消防水池、管网、手台机动泵等消防设施、器材缺乏。 ????????                                            ", 2015-9-29 06:02,29,评论,6,微博 weibo.com,CCISTzsOb
14,"
                                                                                                    #全国区域性火灾隐患曝光#【贵州六盘水市钟山区荷城社区服务中心老城片区】主要隐患有：1.建筑耐火等级低；2.无消防水源；3.大部分房屋使用木板隔断分隔成数个小间出租，只设一部楼梯出入；4.电气线路老化，私拉乱接；5.存在“三合一”现象。 ????????                                            ", 2015-9-29 06:00,27,评论,4,微博 weibo.com,CCIS5kOaF
15,"
                                                                                                    【秋季防火常识】秋季来临，天气逐渐变得干燥，用电、用气、用火现象明显增多，若操作不慎或使用不当，极容易引发火灾事故。让我们一起来学习秋季消防小知识吧~ ????????                                            ", 2015-9-28 09:22,612,15,19,微博 weibo.com,CCALI8g62
16,"
                                                                                                    #全国区域性火灾隐患曝光#【贵州六盘水市盘县两河新区旧棚户区】主要隐患有：1.耐火等级低，棚户区房屋多为砖木结构；2.棚户区建筑密集，防火间距不足；3.消防车通道不畅；4.电线私拉乱接，老化严重；5.市政消火栓数量不足，水压不足。 ????????                                            ", 2015-9-28 06:08,51,1,8,微博 weibo.com,CCzuQ5eer
17,"
                                                                                                    #全国区域性火灾隐患曝光#【贵州六盘水市六枝特区文化路和平社区商贸市场】主要隐患有：大部分市场擅自改变建筑结构、隔断和楼梯，破坏原有防火分隔；装修材料燃烧性能不符合规范要求；市场内大都形成“前摊后库”甚至“以摊代库”的情况，在通道上或走廊上乱堆商品和垃圾，违章用火、用电、用气等。 ????????                                            ", 2015-9-28 06:06,36,评论,4,微博 weibo.com,CCzu1uOLt
18,"
                                                                                                    #全国区域性火灾隐患曝光#【贵州毕节市七星关区桂花市场】位于毕节市桂花路，面积4638.2㎡，常住人口1536人，流动人口1070人，建筑以砖混结构为主，主要经营农产品。主要隐患有：1.普遍存在违章搭建；2.消防车通道被占用、堵塞；3.“三合一”现象严重。 ????????                                            ", 2015-9-28 06:04,32,1,2,微博 weibo.com,CCztdi98x
19,"
                                                                                                    #全国区域性火灾隐患曝光#【贵州贵阳市云岩区市西商业步行街】主要隐患有：1.部分商户占用疏散通道；2.自然排烟口被货架或广告牌遮挡；3.仓储和经营一体，增加火灾负荷；4.电气线路乱拉乱接；5.部分商场消防控制系统损坏；6.货物遮挡消火栓；7.普遍存在“三合一”现象。 ????????                                            ", 2015-9-28 06:02,34,评论,2,微博 weibo.com,CCzsp1O13
20,"
                                                                                                    #全国区域性火灾隐患曝光#【四川国际农产品交易中心】主要隐患有：1.交易区板房违章使用聚氨酯泡沫夹芯彩钢板搭建；2.存在“三合一”现象；3.电气线路私拉乱接；4.消防车通道被堵塞、占用。 ????????                                            ", 2015-9-28 06:00,36,1,7,微博 weibo.com,CCzrAvHkG
21,"
                                                                                                    中秋，和众多节日一样，是消防官兵神经绷得最紧的时候、执勤备战最严的时候，很少有人能和父母妻儿欢聚品茶赏月。这样的奉献，大家都习以为常了！                                            ", 2015-9-27 23:12,75,4,2,360安全浏览器,CCwMf0N9o
22,"
                                                                                                    这个答案令女朋友失望了吧？为了不让男友为难，那就别让自己和亲人置身火海！                                            ", 2015-9-27 22:59,142,32,4,360安全浏览器,CCwGXiU2p
23,"
                                                                                                    【香港：筲箕湾避风塘九船被烧】香港筲箕湾避风塘9月27日下午发生火灾，九艘船只起火，五人轻伤送院治疗，起火原因尚未知晓。消防处赶赴现场灭火，火灾发生两个半小时后，火势受到控制。由于担心起火船只上有汽油、发生爆炸，香港警方封锁现场，将围观的市民疏散。O网页链接 ????????                                            ", 2015-9-27 22:56,113,5,14,360安全浏览器,CCwFOnuKR
24,"
                                                                                                    #全国区域性火灾隐患曝光#【重庆市巴南区李家沱街道其龙村四社和十社】主要隐患有：1.厂房均为违法建筑，耐火等级、防火间距不符合规范要求；2.存在“三合一”现象；3.厂房内电气线路私拉乱接；4.疏散通道、消防车通道被占用、堵塞；5.消防水源缺乏。 ????????                                            ", 2015-9-27 06:08,53,1,10,微博 weibo.com,CCq4lbkOg
25,"
                                                                                                    #全国区域性火灾隐患曝光#【海南儋州市那大镇新生街】主要隐患有：街道市政消火栓设置数量不足；沿街商铺违规占道经营，严重堵塞消防车通道；“三合一”现象普遍；未设置自动灭火设施、灭火器、应急照明等消防设施器材；疏散通道被占用、外墙门窗普遍设置防盗网，影响疏散逃生和灭火救援等 ????????                                            ", 2015-9-27 06:06,42,评论,4,微博 weibo.com,CCq3wE1Ts
