序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    回复@梦想_星空:是的，今日21时00分13秒在江西省宜春市丰城市发生2.8级地震。 //@梦想_星空:[挖鼻屎]刚才江西省丰城市感受到地面震动了。不知道哪里又地震了？                                            ", 2013-5-31 21:40,56,32,18,iPhone客户端,zziI9oypt
2,"
                                                                                                    新华网：与时间赛跑的日本地震预警O网页链接????????????                                            ", 2013-5-31 21:31,83,18,18,iPhone客户端,zziEy0EsH
3,"
                                                                                                     【抗震救灾也需引入“大数据”思维】O网页链接 分享自@百度新闻????????????                                            ", 2013-5-31 18:07,9,6,7,百度新闻客户端,zzhjNEI4u
4,"
                                                                                                     //@董藩:限房价竞地价的结果就是偷工减料普通，建设标准降低，制造出大量建筑垃圾！如果发生地震，倒掉的首先是这些限价房！                                            ", 2013-5-31 17:54,35,26,36,iPhone客户端,zzheBi11x
5,"
                                                                                                    【福建拟规定：地震应急避难场所建设应纳入城乡规划】O网页链接 (分享自 @今日头条) ????????                                            ", 2013-5-31 13:49,17,25,13,今日头条,zzfD5oHO5
6,"
                                                                                                    转发                                            ", 2013-5-31 08:23,11,25,赞,iPhone客户端,zzduy5AJR
7,"
                                                                                                    【北京拟立法明确“8度地震不死少伤”为设防目标】O网页链接 (分享自 @今日头条) ????????                                            ", 2013-5-30 23:27,55,51,19,今日头条,zz9ZmcgnR
8,"
                                                                                                    那就让你先胡 //@hi哑巴:早说过右边，中国最好的官博 //@中国地震台网速报:然后就胡牌了                                            ", 2013-5-30 14:46,268,78,407,iPhone客户端,zz6zCnzyQ
9,"
                                                                                                    然后就胡牌了                                            ", 2013-5-30 14:23,707,103,407,iPhone客户端,zz6qwArke
10,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月30日11时14分在台湾花莲县附近海域（北纬24.0度，东经121.7度）发生3.7级地震，震源深度40千米。（ @中国地震台网速报 @李开复 ） ????????                                            ", 2013-5-30 11:29,18,12,13,国家地震台网,zz5hKgJr9
11,"
                                                                                                    #地震快讯#中国地震台网自动测定：05月30日11时14分在台湾花莲县附近（北纬23.9度，东经121.6度）发生4.5级左右地震，最终结果以正式速报为准。（ @中国地震台网速报 @李开复 ） ????????                                            ", 2013-5-30 11:17,22,13,6,国家地震台网,zz5cTa9f9
12,"
                                                                                                    转发                                            ", 2013-5-30 07:51,11,6,4,iPhone客户端,zz3RaeEbi
13,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月30日06时10分在四川省绵阳市北川羌族自治县（北纬31.9度，东经104.2度）发生3.7级地震，震源深度18千米。（ @中国地震台网速报 @成都发布 @华西都市报 @新浪四川 @米瑞蓉 ） ????????                                            ", 2013-5-30 06:17,124,37,19,国家地震台网,zz3fa1coj
14,"
                                                                                                    #地震快讯#中国地震台网自动测定：05月30日06时10分在四川省绵阳市北川羌族自治县附近（北纬31.9度，东经104.2度）发生3.7级左右地震，最终结果以正式速报为准。（ @中国地震台网速报 @成都发布 @华西都市报 @新浪四川 @米瑞蓉 ） ????????                                            ", 2013-5-30 06:12,63,44,11,国家地震台网,zz3cQ6BJq
15,"
                                                                                                    【地震前后 科技能做什么】O网页链接 (分享自 @今日头条) ????????                                            ", 2013-5-29 21:24,14,35,10,今日头条,zyZKUA7zj
16,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月29日11时28分在内蒙古自治区呼伦贝尔市新巴尔虎右旗（北纬47.9度，东经116.3度）发生3.7级地震，震源深度6千米。（ @中国地震台网速报 @平安北京 @内蒙古地震局 ） ????????                                            ", 2013-5-29 11:44,44,17,6,国家地震台网,zyVXf8HwJ
17,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月29日09时33分在台湾花莲县附近海域（北纬24.0度，东经122.3度）发生4.1级地震，震源深度8千米。（ @中国地震台网速报 @李开复 ） ????????                                            ", 2013-5-29 09:47,25,15,10,国家地震台网,zyVbDccta
18,"
                                                                                                    #地震快讯#中国地震台网自动测定：05月29日09时33分在中国台湾地区附近（北纬24.1度，东经122.2度）发生4.5级左右地震，最终结果以正式速报为准。（ @中国地震台网速报 @李开复 ） ????????                                            ", 2013-5-29 09:38,20,16,8,国家地震台网,zyV7Yguxs
19,"
                                                                                                    中国地震台网正式测定：05月29日08时08分，在四川省阿坝藏族羌族自治州汶川县(北纬31.3度，东经103.5度)发生3.0级地震，震源深度16公里。 ????????                                            ", 2013-5-29 08:19,50,33,9,三星Galaxy SIII,zyUC5nMcl
20,"
                                                                                                    #去年今日#2012年5月28日，河北唐山发生4.8级地震，造成京津冀大部分地区有感，我们在第一时间通过微博发布了相关消息。也就是从这一天开始，地震速报微博正式开始运行。 ????????                                            ", 2013-5-28 09:41,113,126,30,专业版微博,zyLIQtOj2
21,"
                                                                                                    今天，地震速报微博一周岁生日，我们不搞仪式，不送礼品，一切从简，然后就是继续努力。 ????????                                            ", 2013-5-28 08:51,152,353,197,iPhone客户端,zyLoGyGEu
22,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月27日20时32分在四川省德阳市绵竹市、阿坝藏族羌族自治州茂县交界（北纬31.7度，东经104.0度）发生3.4级地震，震源深度13千米。（ @中国地震台网速报 @成都发布 @华西都市报 @新浪四川 @米瑞蓉 ） ????????                                            ", 2013-5-27 20:40,154,86,11,国家地震台网,zyGC1EvLh
23,"
                                                                                                    #地震快讯#中国地震台网自动测定：05月27日20时32分在四川省绵阳市安县附近（北纬31.6度，东经104.1度）发生3.4级左右地震，最终结果以正式速报为准。（ @中国地震台网速报 @成都发布 @华西都市报 @新浪四川 @米瑞蓉 ） ????????                                            ", 2013-5-27 20:34,189,154,14,国家地震台网,zyGzmupNe
24,"
                                                                                                    转发                                            ", 2013-5-27 17:42,289,134,497,iPhone客户端,zyFrxtKk8
25,"
                                                                                                    我们把“中国地震台网”迁移到了新浪云平台，进行测试运行，域名不变（www.ceic.ac.cn），欢迎大家欢迎提建议，挑毛病 @sinaappengine @三石R立 ????????                                            ", 2013-5-27 16:16,43,37,11,专业版微博,zyESG1BPg
26,"
                                                                                                    本次地震，我们手机应用＂中国地震台网移动版＂的新版本（iOS，2.1.0）升级用户中，有89.1%用户实时收到了我们推送的地震消息 O网页链接                                            ", 2013-5-26 22:57,57,60,53,iPhone客户端,zyy4QxdJf
27,"
                                                                                                    本次地震，自动测定到发布用时1分26秒，人工测定到发布用时7分2秒，两者的参数基本吻合（发震时刻偏差2秒，震中位置偏差0.1度，震级偏差0.2级）。                                            ", 2013-5-26 22:21,75,58,53,iPhone客户端,zyxQA9GK2
28,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月26日21时01分在四川省雅安市芦山县（北纬30.3度，东经103.0度）发生4.2级地震，震源深度17千米。（ @中国地震台网速报 @成都发布 @华西都市报 @新浪四川 @米瑞蓉 ） ????????                                            ", 2013-5-26 21:09,999,451,44,国家地震台网,zyxmWv9xS
29,"
                                                                                                    #地震快讯#中国地震台网自动测定：05月26日21时02分在四川省成都市邛崃市附近（北纬30.3度，东经103.1度）发生4.0级左右地震，最终结果以正式速报为准。（ @中国地震台网速报 @成都发布 @华西都市报 @新浪四川 @米瑞蓉 ） ????????                                            ", 2013-5-26 21:03,2152,895,53,国家地震台网,zyxkHBS99
30,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月26日14时08分在乌兹别克斯坦（北纬40.0度，东经67.4度）发生6.2级地震，震源深度30千米。（ @中国地震台网速报 @头条新闻 @新华视点 @人民日报 @央视新闻 @新华网 ） ????????                                            ", 2013-5-26 14:29,125,51,18,国家地震台网,zyuKYwhSZ
31,"
                                                                                                    多位网友反馈我们，今日凌晨4时38分，四川芦山一带有较强震感，为何微博没有发布消息。情况是这样的：1、震级计算以地震波形数据为准；2、本次地震为2.3级，没有达到实时发布震级下限；3、一般情况下，国内大于3级、国外大于6级的地震，我们微博会实时发布速报消息。 ????????                                            ", 2013-5-26 14:10,52,96,18,iPhone客户端,zyuD10UQV
32,"
                                                                                                    小编会和@延参法师 专心学诵经，感化地震，祈求太平                                            ", 2013-5-26 13:09,18,44,赞,iPhone客户端,zyuecorba
33,"
                                                                                                    一大片降水云系即将到达北京                                            ", 2013-5-26 10:21,74,57,7,iPhone客户端,zyt7WmgG6
34,"
                                                                                                                                                ", 2013-5-25 23:13,268,60,97,iPhone客户端,zyoLaxLjT
35,"
                                                                                                                                                ", 2013-5-25 12:46,9,29,13,iPhone客户端,zykEhlGN9
36,"
                                                                                                    在过去一天多时间里，我们的星球上发生了一次8级地震，一次7级地震，二次6级地震。我们的手机应用“地震速报”（安卓版）可以实时推送最新地震消息，您下载了吗？ O网页链接 ????????                                            ", 2013-5-25 11:54,84,70,21,三星Galaxy SIII,zykjweF6l
37,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月25日02时31分在新疆维吾尔自治区巴音郭楞蒙古自治州和静县（北纬42.6度，东经85.9度）发生3.7级地震，震源深度7千米。（ @中国地震台网速报 @新疆发布 @彩虹映天山 @全景新疆 ） ????????                                            ", 2013-5-25 02:43,49,36,14,国家地震台网,zygHNf9ip
38,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月24日22时56分在鄂霍次克海（北纬52.2度，东经151.6度）发生6.8级地震，震源深度630千米。（ @中国地震台网速报 @头条新闻 @新华视点 @人民日报 @央视新闻 @新华网 ） ????????                                            ", 2013-5-24 23:28,79,85,13,国家地震台网,zyfqstJ3g
39,"
                                                                                                    本次地震有两个显著特点：1、深度超过600公里的巨大地震，这在地震观测史十分罕见；2、由于震源深达600公里（位于地幔中），地震波传播速度更快，能量衰减减慢，低频成份携带的巨大能量得以传播的更远，这使得我国大部分地区均有震感。                                            ", 2013-5-24 18:14,377,119,16,iPhone客户端,zydnglCI1
40,"
                                                                                                    #微科普#震源深度在70到300公里间的地震叫中源地震，超300公里的地震叫做深源地震，也称深震，深震约占地震总数的4%左右，深震大多分布于太平洋一带的深海沟附近。深震一般不会造成灾害。中国及其周邻四大中深源地震区：吉林深震区；台湾中深震区，中印缅交界区、新疆——兴都库什中深震区。                                            ", 2013-5-24 16:19,69,35,60,iPhone客户端,zycCuFwQJ
41,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月24日13时44分在鄂霍次克海（北纬54.9度，东经153.3度）发生8.2级地震，震源深度600千米。（ @中国地震台网速报 @头条新闻 @新华视点 @人民日报 @央视新闻 @新华网 ） ????????                                            ", 2013-5-24 14:24,844,272,16,国家地震台网,zybRAtD6h
42,"
                                                                                                    #地震快讯#中国地震台网自动测定：05月24日13时44分在鄂霍次克海附近（北纬54.7度，东经154.0度）发生8.7级左右地震（深源），最终结果以正式速报为准。（ @中国地震台网速报 @头条新闻 @新华视点 @人民日报 @央视新闻 @新华网 ） ????????                                            ", 2013-5-24 13:52,3087,1317,60,国家地震台网,zybEVm0AY
43,"
                                                                                                    地震，一般分为人工地震和天然地震两大类，由人类活动（如采矿、爆破、地下核试验等）引起的地面震动称人工地震，也称非天然地震，除此之外称为天然地震。非天然地震发生在地表浅层，在速报时均按0公里处理。                                            ", 2013-5-24 13:21,45,45,7,iPhone客户端,zybslcYsa
44,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月24日12时33分在内蒙古自治区阿拉善盟阿拉善左旗、宁夏回族自治区石嘴山市大武口区交界（爆破）（北纬39.2度，东经106.0度）发生3.0级地震，震源深度0千米。（ @中国地震台网速报 @微博银川 @平安银川 @平安宁夏 ） ????????                                            ", 2013-5-24 12:44,128,96,7,国家地震台网,zybdjijHI
45,"
                                                                                                    #地震快讯#中国地震台网测定，05月24日05时07分在汤加以西海域(南纬20.5度，西经175.7度)发生6.6级地震，震源深度100公里。( @中国地震台网速报 ) ????????                                            ", 2013-5-24 07:17,21,16,13,专业版微博,zy94CcyxT
46,"
                                                                                                    #地震快讯#中国地震台网正式测定，05月24日01时19分在汤加以南海域(南纬23.0度，西经177.1度)发生7.6级地震，震源深度150公里。( @中国地震台网速报 ) ????????                                            ", 2013-5-24 07:16,39,31,11,专业版微博,zy94a8bbA
47,"
                                                                                                    #地震快讯#中国地震台网正式测定，05月24日01时11分在四川省雅安市芦山县、宝兴县交界(北纬30.3度，东经102.9度)发生2.9级地震，震源深度13公里。( @中国地震台网速报) ????????                                            ", 2013-5-24 07:15,23,11,13,专业版微博,zy93PqTx6
48,"
                                                                                                    #地震快讯#中国地震台网自动测定：05月24日01时11分在四川省雅安市芦山县附近（北纬30.3度，东经103.0度）发生3.5级左右地震，最终结果以正式速报为准。（ @中国地震台网速报 @成都发布 @华西都市报 @新浪四川 @米瑞蓉 ） ????????                                            ", 2013-5-24 01:16,72,69,8,国家地震台网,zy6I3dteg
49,"
                                                                                                    #地震快讯#中国地震台网正式测定：05月23日18时48分在广东省肇庆市德庆县、云浮市郁南县交界（有感）（北纬23.2度，东经111.8度）发生2.5级地震，震源深度12千米。（ @中国地震台网速报 @南方都市报 @平安南粤 @南粤防震减灾 @广州日报 @中国广州发布 ） ????????                                            ", 2013-5-23 18:55,3068,438,16,国家地震台网,zy4dcFE13
