序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【传播雅安茶文化 新版华夏茶业网开通上线】华夏茶业网是雅安茶文化、茶经济、茶产业、茶品牌的一个权威性宣传平台和舆论空间。历时近半年的精心策划和改版，今(31)日，新版华夏茶业网正式开通运行。O网页链接 ????????                                            ", 2013-5-31 23:37,转发,评论,1,专业版微博,zzjtKuQls
2,"
                                                                                                    #感恩的心感谢有您#【台湾艺人徐洁儿与灾区小朋友庆“六·一”】 31日，徐洁儿与中国社会福利基金会的代表来到雅安市雨城区上里镇共和村希望小学，与这里的学生们一起共度六一儿童节。O网页链接 ????????                                            ", 2013-5-31 22:07,转发,评论,2,专业版微博,zziTh6Brv
3,"
                                                                                                    #雅安地震#【四川雅安:为了最后二十二个地震伤病员】祝愿他们早日康复，早日返回家园！O网页链接 ????????                                            ", 2013-5-31 21:59,1,评论,赞,专业版微博,zziPY3mP4
4,"
                                                                                                    #感恩的心感谢有您#【雅安六一，冠军来了】31日上午，国际奥委会委员杨扬率体操王子杨威，前女排队长冯坤等5位奥运冠军随冠军基金来到四川地震灾区雅安天全县城区一小，为雅安加油，与孩子们欢度六一儿童节。冠军基金还为天全县城区一小捐赠了200万运动装备和30万体育器材等。 ????????                                            ", 2013-5-31 21:54,2,1,赞,专业版微博,zziO3gWGw
5,"
                                                                                                    #感恩的心感谢有您#【“一颗鸡蛋工程”为雅安灾区中小学生送爱心鸡蛋】 6月1日，中华儿慈会“一颗鸡蛋工程”管委会工作人员将前往宝兴县，将“一颗鸡蛋工程”爱心鸡蛋作为“六一”节的特殊礼物送给当地幼儿园小朋友们。从最初的紧急救灾，逐渐转向关注受灾中小学生的营养健康。O网页链接 ????????                                            ", 2013-5-31 21:48,转发,评论,1,专业版微博,zziLissQ5
6,"
                                                                                                    #中国梦新家园#【中学生演讲“中国梦”】27日，由天全县教育局、县关工委联合举行的全县中学生“我的中国梦”演讲比赛决赛拉开帷幕。选手们在台上声情并茂地讲述了自己的美好梦想。同学们纷纷表示，地震可以摧毁家园，但摧毁不了我们重建美好家园的决心，摧毁不了我们建成美好新天全的梦想。 ????????                                            ", 2013-5-31 17:54,转发,1,赞,专业版微博,zzhenpS2c
7,"
                                                                                                    #雅安地震#【芦山灾区学校恢复营养餐供应 每个学生一盒牛奶一个卤蛋】“4·20”芦山强烈地震导致芦山县农村义务教育学生营养改善计划暂停实施。22日，芦山县恢复供应全县农村义务教育学生营养食品，目前，全县共有18所农村教育学校已全面恢复学生营养餐供应。O网页链接 ????????                                            ", 2013-5-31 17:53,1,1,1,专业版微博,zzhdYBqUW
8,"
                                                                                                    #雅安地震#【芦山地震首部摄影画册出版】30日，国内第一部记录芦山地震的摄影画册——《4·20芦山强烈地震七日救援实记》出版，画册收录了50位摄影人的200多幅抗震救灾纪实图片，按照时间顺序编排，全方位、多视角展现了整个救援过程。 ????????                                            ", 2013-5-31 17:52,转发,评论,赞,专业版微博,zzhdHt3M9
9,"
                                                                                                    #雅安地震#【随垮随抢 快速抢通】地震发生后，省市交通运输部门在保通工作中做到“随垮随抢”，实现了快速抢通。截至5月29日，雅安市交通运输系统共投入各类机械5024台班，投入抢通保通人员25676人次，累计清理塌方6.5万立方米；共出动路政巡查车1970车次，施救车辆34辆，设置保通 ????????                                            ", 2013-5-31 17:51,转发,评论,赞,新浪长微博,zzhddC62H
10,"
                                                                                                    #雅安地震#震后，宝兴县灵关镇165家石材企业有120多家先后投入生产。图为宝兴县灵关镇一家石材企业生产车间，工人正摆放捆包石板。 ????????                                            ", 2013-5-31 17:50,转发,评论,赞,专业版微博,zzhd4aSFR
11,"
                                                                                                    #雅安地震#【雅安群众过渡安置任务已完成54.5％】从30日雅安市抗震救灾第12次新闻发布会获悉，全市在过渡安置工作中，坚持就近就地安置、安全适用的原则，工作平稳有序推进。截至5月27日，全市过渡安置已完成任务的54.5％，市指挥部确定的6月10日前基本完成、6月30日前全面完成的要求，可望如期完成。 ????????                                            ", 2013-5-31 17:50,转发,评论,赞,专业版微博,zzhcUpCSM
12,"
                                                                                                    #感恩的心感谢有您#【灾区孩子进京感恩——做客央视网】今天下午，4个孩子做客央视网，畅聊参与央视“六一”晚会的感受，并向网友们表达了我坚强，我不哭，地震震跨了房子，但震不跨信心的乐观和自强精神。我们相信，只要心中有梦，就一定能重建美好新家园。孩子们还现场表演了《感恩的心》。 ????????                                            ", 2013-5-31 17:50,转发,1,赞,专业版微博,zzhcKnIH2
13,"
                                                                                                    #感恩的心感谢有您#【灾区孩子进京感恩——带回“将军梦”】地震发生后，天全县首任县委书记、98岁高龄的开国将军李中权心系灾区，向雅安灾区捐款10万元。天全孩子们的北京之行，就是要将亲手准备的礼物送给将军爷爷，祝福将军爷爷健康长寿。同时，也带回了老将军对革命老区的“三 ????????                                            ", 2013-5-31 17:48,转发,评论,1,新浪长微博,zzhcajwQ0
14,"
                                                                                                    #感恩的心感谢有您#【灾区孩子进京感恩——圆梦鸟巢】今天，孩子们参观了梦寐以求的地方——鸟巢。孩子们说，非常珍惜此次机会，回到家乡后，要与家乡的小伙伴们分享北京感恩之行的所见所闻，并把此行化为动力，努力学习，重建家园。新华社、北京卫视等新闻媒体关注孩子们的圆梦之行。 ????????                                            ", 2013-5-31 17:48,转发,评论,赞,专业版微博,zzhbXCZv8
15,"
                                                                                                    #感恩的心感谢有您#【灾区孩子进京感恩——感受温暖】在慰问六一晚会演职人员的座谈会上，全国妇联副主席宋秀岩关心灾区孩子的生活、学习和心理状况，鼓励灾区孩子自立自强。同时，号召文艺工作者们创作出更多的优秀作品，为灾区群众带去精神食粮。灾区孩子也坐上圆桌，代表灾区所 ????????                                            ", 2013-5-31 17:47,转发,评论,赞,新浪长微博,zzhbveecA
16,"
                                                                                                    #感恩的心感谢有您#【灾区孩子进京感恩——祝全国小朋友节日快乐】在六一晚会录制间隙，来自天全的4个孩子接受了央视记者的采访，孩子们表示虽然在地震中失去了家园，但心中仍怀梦想，他们会铭记感恩、奋发自强。4个孩子还代表灾区所有的小朋友向全国小朋友带去节日的祝福。 ????????                                            ", 2013-5-31 17:46,转发,评论,赞,专业版微博,zzhbepbNO
17,"
                                                                                                    #感恩的心感谢有您#【灾区孩子进京感恩——合影留念】孩子们与喜欢的央视少儿频道主持人合影留念，很开心 ????????                                            ", 2013-5-31 17:45,1,评论,赞,专业版微博,zzhaDtESb
18,"
                                                                                                    #感恩的心感谢有您#【灾区孩子进京感恩——与全国3亿7千万儿童同过“快乐的节日”】5月30日晚，六一晚会在央视1号演播大厅录制完成。晚会中“芦山地震”特别版块“凝聚每份爱”引起现场观众的共鸣，灾区孩子历经灾难却仍然信心坚定，感恩自强的声音感染着现场观众，爱心和信心在一种大爱的氛围中传递。 ????????                                            ", 2013-5-31 17:37,1,评论,赞,专业版微博,zzh7L13cw
19,"
                                                                                                    #中国梦新家园#【芦山地震灾区考点全面修复达标 考生只待高考】“通过加班加点的施工，认真仔细的调试，中学标准化考点全面修复达标了！”2013年高考在即，雅安地震灾区芦山、天全两地考生已确定在成都考点参加高考，宝兴、名山等地因地震受损的标准化考点目前已经全部修复完成。O网页链接 ????????                                            ", 2013-5-30 20:35,1,1,赞,专业版微博,zz8R94Qm0
20,"
                                                                                                    #感恩的心感谢有您#【“武汉抗震板房小学”在芦山落成】天全县大山深处的新华乡第二中心小学在“4.20”地震中破坏严重，该校126名学生无处上课。千里之外的武汉市民得知情况后纷纷向该校捐款援建板房小学。 “六一”前夕，“武汉抗震板房小学”建成，学生全部进入板房学校读书。O网页链接 ????????                                            ", 2013-5-30 20:34,转发,评论,赞,专业版微博,zz8QVbnZt
21,"
                                                                                                    #感恩的心感谢有您#【15名雅安灾区儿童在邵阳欢度“六一”】“沐浴爱的阳光、快乐成长！”今日，“梦想风车计划??湘川爱心接力”关爱雅安地震灾区留守儿童心理重建夏令营行动来到邵阳市金贝贝幼儿园举办见面会活动，15名雅安灾区小朋友在此渡过了一个欢快、难忘地六一儿童节。O网页链接 ????????                                            ", 2013-5-30 20:32,转发,评论,赞,专业版微博,zz8Q6CJ94
22,"
                                                                                                    #中国梦新家园#【第四届雅女选拔活动拉开帷幕】传播雅女事迹，弘扬灾区精神！今日，“东科??原山墅大爱雅女??感动雅安”第四届雅女选拔活动新闻发布会举行。本届选拔更加注重挖掘雅女的心灵美和人格美，特别是“4??20”芦山强烈地震发生后，体现出坚强、勇敢、无私无畏，心存大爱的优秀雅女。据北纬网 ????????                                            ", 2013-5-30 20:28,转发,评论,赞,专业版微博,zz8Op9E7a
23,"
                                                                                                    #感恩的心感谢有您#【5名雅安灾区孩子“达州妈妈”家喜过六一节】24日一大早，5名来自雅安灾区幼儿园的孩子乘坐13个小时的车程来到达城6位爱心妈妈的家里，提前度过了一个非常美好而难忘的六一。“宝贝，再见，永远记住这里有一个你们的家！” 27日，孩子们和爱心妈妈依依惜别。 O网页链接 ????????                                            ", 2013-5-30 20:26,转发,评论,赞,专业版微博,zz8Nvjw9S
24,"
                                                                                                    #中国梦新家园#【雅安市蒙顶山茶交所正式上线运营】经过几个月的紧张筹备，全国唯一一家通过国家验收的茶叶类专业交易所——雅安市蒙顶山茶叶交易所正式上线运营。本周五(31日)，交易平台上线运营暨业务推介会将在茶交所交易大厅举行。关注雅安茶叶发展，期待您的光临和支持！O网页链接 ????????                                            ", 2013-5-30 20:24,2,3,赞,专业版微博,zz8MOaFSC
25,"
                                                                                                    #中国梦新家园#【芦山地震灾后重建 四川3年投100亿】29日，从省十二届人大常委会三次会议上获悉，“4·20”芦山强烈地震恢复重建，包括城乡居民住房重建、公共服务重建、基础设施重建、产业重建、生态重建等方面。目前，四川正积极争取中央加快启动央属企业对极重灾区实施对口捐建 ????????                                            ", 2013-5-30 17:22,1,评论,赞,新浪长微博,zz7B5aQfZ
26,"
                                                                                                    #雅安地震#【路况信息】 29日，国道318线天全县境内K2722+400两路乡冒水孔处发生泥石流，4000立方米土石堆积在公路上，其中一块200立方米巨石阻断交通。天全县交通运输局立即组织人员抢险，截至昨日18时，大型机具已经运抵现场，预计30日上午对巨石进行爆破移除，6月1日15时前抢通。 ????????                                            ", 2013-5-30 15:11,转发,评论,赞,专业版微博,zz6JZoqoW
27,"
                                                                                                    #中国梦新家园#【6月中下旬 我市首批修复加固公共建筑将基本竣工】 4月下旬，芦山地震灾区首批修复加固建筑项目启动，6个特大型国有企业、1400多人参与到修复加固工作中。此次加固维修工程包括学校、医院、体育馆等公共设施，18个点62个单体项目。目前，灾后首批修复加固公共建筑 ????????                                            ", 2013-5-30 15:11,1,评论,赞,新浪长微博,zz6JM5pkl
28,"
                                                                                                    #感恩的心感谢有您#【中国平安联合百度为雅安儿童送出3万份大病医保】5月24日11时至12时，短短一个小时内，总共有58万名网友参与了“公益一小时，为爱送平安”活动，中国平安与百度联盟以网友的名义捐出3万份“大病医保”，总保额达58.6亿元。这意味着，雅安地震震中芦山县的所有 ????????                                            ", 2013-5-30 15:11,转发,1,赞,新浪长微博,zz6JFBTQC
29,"
                                                                                                    #感恩的心感谢有您#【汉源车厘子“爱心购” 远销全国十余城】《四川日报》与互惠超市推出的汉源“朱贵荣”车厘子，每销售一件将捐出2元钱给芦山地震灾区，为帮助当地农户进行灾后重建出一份力。“爱心购”活动一时间受到各方关注，通过电话、网络预订的客户源源不断，除了众多成都 ????????                                            ", 2013-5-30 15:10,转发,评论,1,新浪长微博,zz6JniaWp
30,"
                                                                                                    #中国梦新家园#【宝兴申报建设中国大熊猫国家公园】宝兴县大熊猫栖息地景观生态系统，是我国大熊猫栖息地景观的典型代表和全球稀有景观生态系统的典范，具有全球突出的国家遗产资源价值。5月29日，从宝兴县环保局获悉，该县正在申报建设中国大熊猫国家公园，项目预计投资8.7亿元。 ????????                                            ", 2013-5-30 15:09,5,2,赞,专业版微博,zz6Jcm42a
31,"
                                                                                                    #雅安地震#【无人收购 150吨中药材告急】 西河片区是宝兴县主要的中药材种植基地,地震发生以来,全西河片区目前滞销药材的数量在150吨左右。药材运不出去,仓储成了目前最亟需解决的问题,修建一个2000平方米的标准化中药材仓库迫在眉睫。但仓库投资上百万,仅依靠合作社,势单力薄。O网页链接 ????????                                            ", 2013-5-30 15:08,转发,1,1,专业版微博,zz6IDcxS7
32,"
                                                                                                    #雅安地震#【多管齐下防内涝 120毫米暴雨也不怕】雨城区沙湾村红旗组背靠金凤山,地势低洼。往年一到雨季,山上的水全部流下来淤积在村子里,最严重时水位超过路面50厘米。这样的地方在姚桥新区还有4处,涉及居民数千人。雨季即将到来,如何有效防止内涝？“防内涝土办法”帮您分忧。O网页链接 ????????                                            ", 2013-5-30 15:08,转发,评论,赞,专业版微博,zz6Itso2i
33,"
                                                                                                    #中国梦新家园#【芦山县举行震后首场大型招聘会】5月29日，芦山县举行震后首场大型招聘会，23家内江企事业单位到灾区招工，为灾区群众提供近2000个工作岗位。招聘会得到灾区群众积极响应，当天共有近千人参加招聘会，640人与用工单位达成初步意向，121人签订用工合同。图为招聘会现场。 ????????                                            ", 2013-5-30 15:07,转发,评论,赞,专业版微博,zz6IoqX86
34,"
                                                                                                    #中国梦新家园#【做好前期规划 加强社会管理服务 推进科学重建】29日，省委常委、省总工会主席李登菊到名山区调研，看望灾区群众，了解其安置和灾后重建情况。李登菊强调，灾后重建要结合本地实际，发挥本地优势，在规划中体现当地的自然和文化特点，做好灾后重建前期规划，加强社 ????????                                            ", 2013-5-30 15:07,转发,评论,赞,新浪长微博,zz6IbERUO
35,"
                                                                                                    #中国梦新家园#【尊重规律 确保重建成果经得起历史检验】 5月29日，省政协十一届二次常委会上，省政协委员们围绕芦山地震灾后恢复重建建言献策。在他们的发言中，尊重自然、尊重科学、尊重民意、以人为本、实事求是等关键词频现，科学重建精神贯穿始终。O网页链接 ????????                                            ", 2013-5-30 15:06,转发,评论,赞,专业版微博,zz6HYqyhW
36,"
                                                                                                    26日，北京成龙慈善基金会联合北新建材“圆梦”房屋援建雅安老人安置院发车仪式在北新国家住宅产业化基地举行。????????成龙先生表示：“雅安发生地震，我们业内的很多人士也都百感交集，想要对雅安的不幸有所贡献。此次我们联系北新建材为雅安震后失去亲人、无家可归的老人们提供新型O网页链接 ????????                                            ", 2013-5-29 21:40,1,1,赞,新浪长微博,zyZRdgFhW
37,"
                                                                                                    27日，四川省农业厅在成都组织召开会议，对农业部规划设计研究院规划所承担技术支持工作的《四川芦山地震灾后恢复重建农村建设专项规划》进行了论证。????????与会专家一致认为：《规划》思路清晰、目标明确、内容全面、重点突出、结构严谨、文字精炼，提出的保障措施切实可行，具有科O网页链接 ????????                                            ", 2013-5-29 21:39,转发,评论,赞,新浪长微博,zyZR00MAI
38,"
                                                                                                    据介绍，按照目前税收政策规定，纳税人将其所得通过中国境内的社会团体、国家机关向教育和其他社会公益事业以及遭受严重自然灾害地区、贫困地区的捐赠，捐赠额未超过纳税人捐赠当期申报的个人所得税应纳税所得额30%的部分，可以从其应纳税所得额中扣除。即：捐赠扣除限额=应纳税所O网页链接 ????????                                            ", 2013-5-29 21:39,转发,评论,赞,新浪长微博,zyZQLc8ir
39,"
                                                                                                    “80后”、29岁的程洁是这所山村小学的校长。在不久前的抗震救灾中，清源中心小学在芦山县所有农村小学中第一个实现复课，让全国人民欣慰。????????复课，说起来简单，真正做起来却千头万绪，困难重重。没有材料，程洁和教师们到废墟里去刨砖头，到大川河里去挖沙；没有人手，学校42名O网页链接 ????????                                            ", 2013-5-29 21:38,1,评论,赞,新浪长微博,zyZQquQuG
40,"
                                                                                                    #感恩的心感谢有您#【朱之文为雅安捐款50万】28日上午，农民歌手朱之文在 “乔军、梁智和朋友们爱心演唱会”上透露，在雅安地震发生时，他给受灾群众捐款了50万。而之所以直到现在才说出来，是怕被网友质疑炒作。他表示，“不管大家是不是说我炒作，我只要对得起自己的良心就行了。” ????????                                            ", 2013-5-29 21:22,转发,2,2,专业版微博,zyZJMBPau
41,"
                                                                                                    #感恩的心感谢有您#【结合雅安优势 发展灾后产业项目】地震发生后，长江商学院校友会先后通过壹基金、红十字会等慈善机构，向我市提供灾后援助累计达1.9亿元。28日，市委书记徐孟加会见了长江商学院校友会代表团，向长江商学院校友会对灾区的支持和帮助表示感谢，希望长江商学院校 ????????                                            ", 2013-5-29 15:47,1,1,1,新浪长微博,zyXxSAuRm
42,"
                                                                                                    #中国梦新家园#【蒙顶山茶交所正式上线运营】27日，雅安市蒙顶山茶叶交易所正式上线运营，这是全国唯一一家通过国家验收的茶叶类专业交易所。截至27日下午6点，四川蒙顶山味独珍茶业集团有限公司等9家公司已经成功签约，成为茶交所的首批交易商。据悉，31日，交易平台上线运营暨业 ????????                                            ", 2013-5-29 15:38,2,3,1,新浪长微博,zyXubAvqQ
