序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【全省地质灾害气象风险预警】5月31日20时～6月1日20时气象预报信息分析，雅安市大部，阿坝州西部，甘孜州西北部，凉山州北部发生滑坡、崩塌、泥石流等地质灾害的风险较高。 ????????                                            ", 2013-5-31 17:24,转发,评论,赞,专业版微博,zzh2tBmPx
2,"
                                                                                                    【天气预报】今天晚上到6月1日白天：盆地各市多云间阴，其中达州、广安和泸州3市有阵雨；川西高原和攀西地区阴天有雷雨或阵雨，部分地方有中雨。24小时内，盆地最低气温：18-21℃；最高气温： 28-31℃。 ????????                                            ", 2013-5-31 17:20,转发,评论,1,专业版微博,zzh0vxcZB
3,"
                                                                                                    【14时天气实况】午后的微风依然凉爽，五月最后的凉爽天，延续着春的韵味，又带了些夏的热烈。抓紧时间摇摆吧！ ????????                                            ", 2013-5-31 14:32,1,评论,赞,专业版微博,zzfUGoRam
4,"
                                                                                                    【天气预报】31日白天到晚上：盆地各市阴间多云，其中巴中、达州、南充、广安、宜宾、泸州六市的部分地方有阵雨；川西高原阴有雷雨或阵雨，其中甘孜、阿坝两州北部的局部地方有中雨；攀西地区阴间多云有雷雨或阵雨。24小时内，盆地最高气温：西北部：26-28℃，其余地方：23-26℃; 最低气温：18-20℃。 ????????                                            ", 2013-5-31 09:26,2,1,赞,专业版微博,zzdUeedRJ
5,"
                                                                                                    【09时天气实况】人生箴言：1.有激情就敢一番事业，没激情就干一点高兴的事情；2.有事业就拼搏一番享受成就，没事业就挣点小钱享受生活；3.人世间没有什么不能放下的事情，只要你痛了，自然就会放下；4.人世间没有什么走投无路，只要你不挑剔，人生之路何止万千。 ????????                                            ", 2013-5-31 09:22,1,1,赞,专业版微博,zzdSuDITn
6,"
                                                                                                    【四川气象】 微信开通啦！四川气象公共平台每日会推送最新的天气咨讯，微信号scqx2013，欢迎搜索订阅，或通过扫描焦点图中二维码订阅。 ????????                                            ", 2013-5-30 18:02,转发,1,1,专业版微博,zz7R6CsyG
7,"
                                                                                                    (2/2）【天气预报】24小时内，盆地最低气温：17-19℃；最高气温：西北部：26-28℃，其余地方：23-26℃。 ????????                                            ", 2013-5-30 17:57,转发,评论,赞,专业版微博,zz7P5lpvL
8,"
                                                                                                    【天气预报】今天晚上到31日白天：盆地各市阴天间多云，其中巴中、达州、南充、广安、宜宾和泸州6市有阵雨；川西高原阴天有雷雨或阵雨，其中甘孜州、阿坝州2州北部的局部地方有中雨；攀西地区阴天间多云有雷雨或阵雨，其中凉山州北部的局部地方有中雨。（1/2） ????????                                            ", 2013-5-30 17:55,3,1,赞,专业版微博,zz7OAC3mB
9,"
                                                                                                    【14时天气实况】午后依然微风阵阵，凉风送爽。舒适的好天气给大家带来好心情。 ????????                                            ", 2013-5-30 14:41,转发,1,赞,专业版微博,zz6xCisHP
10,"
                                                                                                    【天气预报】 30日白天到晚上：盆地各市阴天间多云，其中巴中、达州、南充、广安、宜宾、泸州六市的部分地方有阵雨；川西高原阴天间多云有雷雨或阵雨，北部局部地方有中雨；攀西地区阴天间多云有雷雨或阵雨。24小时内，盆地最高气温：东北部：21-23℃，其余地方：24-26℃; 最低气温：17-19℃。 ????????                                            ", 2013-5-30 08:41,3,评论,赞,专业版微博,zz4blDm9q
11,"
                                                                                                    【08天气实况】早安四川：如果人生是一段旅途，快乐与悲伤就是那两条长长的铁轨，在我身后紧紧跟随。 ????????                                            ", 2013-5-30 08:38,3,评论,赞,专业版微博,zz4are05Z
12,"
                                                                                                    【四川气象】 微信开通啦！     四川气象公共平台每日会推送最新的天气咨讯，微信号scqx2013，欢迎搜索订阅，或通过扫描焦点图中二维码订阅。    ????????                                            ", 2013-5-29 17:56,转发,评论,1,专业版微博,zyYond5ns
13,"
                                                                                                    【地震灾区地质灾害预报】未来24小时雅安市的芦山县和宝兴县发生地质灾害的风险较大。 ????????                                            ", 2013-5-29 17:23,转发,评论,赞,专业版微博,zyYaS4P8T
14,"
                                                                                                    【未来三天芦山地震灾区天气预报】29日晚上到30日白天，阴天间多云有阵雨（0-2 mm）；30日晚上到31日白天，阴天间多云有阵雨（0-3 mm）；31日晚上到6月1日白天，阴天间多云有阵雨(0-5 mm)。29日最高气温：24～26℃。 ????????                                            ", 2013-5-29 17:21,转发,评论,1,专业版微博,zyYah9BMZ
15,"
                                                                                                    【全省地质灾害气象风险预警】5月29日20时～5月30日20时气象预报信息分析，雅安市、攀枝花市大部，凉山州西南部发生滑坡、崩塌、泥石流等地质灾害的风险较高。 ????????                                            ", 2013-5-29 17:01,1,评论,赞,专业版微博,zyY1Q8xPZ
16,"
                                                                                                    【14时天气实况】午安四川：只有当痛苦在可以承受的时候，我们会自怨自艾；当痛苦无法承受，我们就只会一笑置之。 ????????                                            ", 2013-5-29 14:44,3,2,赞,专业版微博,zyX8wD5ff
17,"
                                                                                                    【四川气象】 微信开通啦！     四川气象公共平台每日会推送最新的天气咨讯，微信号scqx2013，欢迎搜索订阅，或通过扫描焦点图中二维码订阅。    ????????                                            ", 2013-5-29 08:51,转发,评论,1,专业版微博,zyUPdbXKR
18,"
                                                                                                    （2/2）【天气预报】 29日晚上：盆地各市阴天间多云，有分散的阵雨或雷雨；川西高原阴天间多云有阵雨，攀西地区阴天有雷雨或阵雨，局部地方有中雨。24小时内，盆地最高气温：23-26℃；最低气温18-20℃。 ????????                                            ", 2013-5-29 08:50,1,评论,赞,专业版微博,zyUOGoIsa
19,"
                                                                                                    【天气预报】 29日白天：广安、巴中、达州、南充四市阴天有阵雨或雷雨，局部地方有中雨，盆地其余地方以阴天间多云天气为主；川西高原阴天间多云有阵雨或雷雨，局部地方有中雨，攀西地区多云间晴。（1/2） ????????                                            ", 2013-5-29 08:49,2,评论,1,专业版微博,zyUOq9BzP
20,"
                                                                                                    【08时天气实况】早安四川：万物和谐相处，心无旁骛的度过每分每秒，生活自然逍遥。 ????????                                            ", 2013-5-29 08:47,1,评论,赞,专业版微博,zyUNB19iH
21,"
                                                                                                    【全省地质灾害气象风险预警】0528 ????????                                            ", 2013-5-28 16:19,2,4,赞,专业版微博,zyOkgvvUN
22,"
                                                                                                    【地震灾区地质灾害预报】未来24小时雅安市的芦山县和宝兴县发生地质灾害的风险大。 ????????                                            ", 2013-5-28 16:16,55,8,赞,专业版微博,zyOj9nxJy
23,"
                                                                                                    【未来三天芦山地震灾区天气预报】28日晚上到29日白天,阴天有小到中雨（5-15mm），局部地方有大雨(25-35mm），并伴有雷电；29日晚上到30日白天，阴天间多云有阵雨（0-3 mm）；30日晚上到31日白天，阴天间多云有阵雨（0-4 mm）。28日最高气温：23～25℃。 ????????                                            ", 2013-5-28 16:14,3,评论,1,专业版微博,zyOiphdNe
