序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【公安部坚决拥护中央对孙政才严重违纪案处理决定】O网页链接 ?????? ????????                                            ", 9月30日 22:56,5,评论,5,Android,FofZiqBk2
2,"
                                                                                                    #警方提示#【摸黑玩手机伤视力】黑暗中看手机不会直接导致失明，但非常伤眼。①光线不足瞳孔散大、眼压升高，容易青光眼。②半躺侧卧姿势引起左右眼视力偏差、斜视。③手机离眼睛近，造成看东西时颜色偏差、变形、模糊，甚至视力损伤。如果非要熬夜，请开灯玩手机… ????????                                            ", 9月30日 20:28,4,评论,3,政务直通车,Fof0ZgKky
3,"
                                                                                                    【#我们的出征#陕西省公安厅文艺小分队赴咸阳慰问演出】绵绵秋雨过后，咸阳遍地艳阳。9月28日下午，省厅“公安文化基层行”文艺小分队顺利抵达咸阳，用两场精彩纷呈的文化盛宴，拉开了慰问演出第四站的序幕。观看演出的民警们表示：“这次演出就像是一次激情澎湃的动员会，进一步激发我们基层民警的工 ????????...展开全文c                                            ", 9月30日 18:16,2,评论,2,微博 weibo.com,Foe9le3Gm
4,"
                                                                                                    #身边暖警#【一封受助群众家属送来的感谢信】近日，乾县王村派出收到一封感谢信，信中表达了对民警的感谢和敬意。9月26日，武功县西尼安村一对夫妻（两人均为残疾人）外出办事，直至27日中午未归。当其家人心急如焚，到处寻找之时，乾县王村派出所的民警将二人送回。原来是夫妻二人迷路了，走到了离家 ????????...展开全文c                                            ", 9月30日 17:37,6,2,2,微博 weibo.com,FodTFC8DV
5,"
                                                                                                    【明天起，这些新规将影响你我生活】                                            ", 9月30日 16:33,4,2,376,政务直通车,FodtBid7A
6,"
                                                                                                    【四川广元市青川县发生5.4级地震】中国地震台网正式测定：09月30日14时14分在四川广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13千米。@中国地震台网速报 ??????据网友反馈，广元、绵阳、乐山、都江堰、成都、重庆、南充、天水、陇南等地震感强烈。愿平安！ ????????                                            ", 9月30日 15:03,1,评论,1,政务直通车,FocTc66k9
7,"
                                                                                                    让数据多跑路，让群众少跑腿。                                            ", 9月30日 14:31,5,评论,3,微博搜索,FocGbla0Y
8,"
                                                                                                    【大连一独居老人洗澡摔伤致死身有咬痕，疑家犬拖拽救主未成功】26日中午，大连市沙河口区黑石礁一居民楼里发生的一幕，令人感慨不已。独居的七旬老人洗澡时摔伤，被发现时已死亡多日。奇怪的是，他身上有动物的咬痕。原来，家里还养着一只小狗。根据事后分析判断，小狗发现主人摔伤后，试图 ????????...展开全文c                                            ", 9月30日 13:52,2,2,5,搜狗高速浏览器,Focqy8yYm
9,"
                                                                                                                                                ", 9月30日 11:43,6,2,11,政务直通车,FobzRtV5Z
10,"
                                                                                                    【#我们的出征#陕西省公安厅文艺小分队到韩城慰问演出】金秋九月入韩塬，9月27日，韩城下起了小雨，省公安厅文艺小分队来到韩城市公安局慰问演出，奉献了一场精彩纷呈的公安文化盛宴。韩城公安民警表演了自己作词的《下辈子还要当警察》，展示了身为人民警察的自豪与光荣。O网页链接 ????????                                            ", 9月30日 10:26,7,4,11,政务直通车,Fob4BiFXa
11,"
                                                                                                    【爆帅！快来感受一下咱陕西的""特警力量""】9月29日，由省公安厅组织的""砺剑2017""十九大安保全省公安特警反恐处突跨区域拉动演练在位于合阳县的陕西特警训练基地举行。高精狙步枪应用射击、摔擒技术对抗、100米射击子弹壳...演练场面简直大片！被特警蜀黍帅到的点赞 ????????                                            ", 9月30日 09:24,61,评论,53,政务直通车,FoaFtevod
12,"
                                                                                                    #烈士纪念日#【转发，铭记“血染的黎明”】自革命战争年代以来，2000多万烈士为国捐躯。而最让人叹惋的，是那些倒在黎明之前的英雄。尊崇英烈的民族，才是有血性、有希望的民族。以鲜血染红旗帜、以生命点亮共和国黎明的人，值得我们永远铭记。L公安部打四黑除四害的秒拍视频 ????????                                            ", 9月30日 08:37,8,1,4,iPhone 6,Foampv64f
13,"
                                                                                                    中秋你在哪里看月亮？                                            ", 9月30日 08:18,6,5,5,政务直通车,FoaeDiU0s
14,"
                                                                                                    #习主席带领我们强军#【速览《强军》第①集《逐梦》】习近平说，建设强大军队是接续奋斗的伟大事业，一代人有一代人的使命，现在强军的责任历史地落到了我们肩上。我们要挑起这副担子，必须敢于担当。L人民日报的秒拍视频 ????????                                            ", 9月29日 23:17,7,评论,4,iPhone 6,Fo6H4wVV3
