序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
28,"
                                                                                                    #四川青川5.4级地震# 过去100年，广元共发生五级以上地震10次，5.0到5.9级7次，6.0级到6.9级3次，7.0级以上0次，最大地震是2008年5月25日在广元市青川县发生的6.4级地震。 ​​​​                                            ", 9月30日 15:41,5,19,34,Android,Fod8B49Fh
29,"
                                                                                                    #四川青川5.4级地震# 过去5年，广元共发生三级以上地震30次，其中3.0到3.9级25次，4.0到4.9级4次，5.0到5.9级1次，6.0级以上0次，最大地震是2017年9月30日在四川广元市青川县发生的5.4级地震。 ​​​​                                            ", 9月30日 15:39,转发,6,23,Android,Fod7F8zCL
30,"
                                                                                                    #四川青川5.4级地震##四川青川5.4级地震#据移动人口大数据分析，震中20公里范围内人口数约4.2万，50公里范围内约62万，100公里范围内约684万。 ​​​​                                            ", 9月30日 15:38,4,2,24,Android,Fod7natXe
31,"
                                                                                                    #四川青川5.4级地震# 2017年1月1日以来，广元共发生三级以上地震7次，其中3.0到3.9级5次，4.0到4.9级1次，5.0到5.9级1次，6.0级以上0次，最大地震是2017年9月30日在四川广元市青川县发生的5.4级地震。 ​​​​                                            ", 9月30日 15:37,1,1,16,Android,Fod75qI4V
32,"
                                                                                                    #四川青川5.4级地震#【四川省地震局启动3级应急响应】       “9.30”青川5.4级地震发生后，四川省地震局立即启动应急预案，实施3级应急响应，成立地震应急指挥部，召开紧急会议部署应急处置工作，指派当地防震减灾部门深入震区调查了解震情灾情，同时决定派出现场工作对协助当地政府抗震救灾。      ​​​​...展开全文c                                            ", 9月30日 15:24,13,52,59,专业版微博,Fod1An9TS
33,"
                                                                                                    #四川青川5.4级地震#专业图鉴 ​​​​                                            ", 9月30日 15:19,5,10,29,专业版微博,FocZvhTjy
34,"
                                                                                                    转发微博                                            ", 9月30日 15:09,5,16,871,360安全浏览器,FocVwuWwN
35,"
                                                                                                    【四川省地震局】地震台网正式(SC)测定：17年09月30日14时26分在四川青川县（北纬32.3度，东经105.0度）发生2.6级地震，震源深度14公里。 ​​​​                                            ", 9月30日 14:57,6,39,75,Android,FocQAowWV
36,"
                                                                                                    据中国地震台网正式测定，9月30日14时14分在四川广元市青川县发生5.4级地震，震源深度13千米，震中位于北纬32.27度，东经105.00度。 ​​​​                                            ", 9月30日 14:46,64,83,98,微博 weibo.com,FocMr4qBh
37,"
                                                                                                    震中附近的各位网友，若方便请把现场照片私信给我们                                            ", 9月30日 14:46,2,27,57,360安全浏览器,FocMa9VdD
38,"
                                                                                                    #地震快讯#中国地震台网正式测定：09月30日14时14分在四川广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13千米。（ @震长 ） ​​​​                                            ", 9月30日 14:41,40,64,57,国家地震台网,FocK54kOn
39,"
                                                                                                    #地震快讯# 【四川省地震局】地震台网正式(CC)测定：17年09月30日14时14分在四川广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13公里。 ​​​​                                            ", 9月30日 14:32,106,524,458,Android,FocGBCtbi
40,"
                                                                                                    #地震快讯#中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震，最终结果以正式速报为准。（ @震长 ） ​​​​                                            ", 9月30日 14:19,787,2112,1313,国家地震台网,FocBuk0K6
41,"
                                                                                                    刚刚感受到震感比较强，正在核实 ​​​​                                            ", 9月30日 14:17,116,1987,1074,Android,FocAqnnLS
42,"
                                                                                                    #就爱大四川#【四川地理“家底”首次摸清 幅员48.6万平方千米 近8成为山地】9月29日，省政府新闻办召开新闻发布会，对外发布四川省第一次全国地理国情普查公报，公报显示我省行政区域内国土面积为48.6万平方千米，东西跨度1061.6千米，南北跨度916.5千米。（我是盆地西南山区的 ​​​​...展开全文c                                            ", 9月30日 11:08,5,71,25,专业版微博,FoblYEGuG
43,"
                                                                                                    #我爱你中国#                                            ", 9月30日 10:49,7,2,17347,360安全浏览器,Fobef7ExA
44,"
                                                                                                                                                ", 9月30日 10:12,4,评论,107785,360安全浏览器,FoaZ2aDGm
45,"
                                                                                                                                                ", 9月30日 08:35,6,评论,10915,Android,FoalEfUbU
46,"
                                                                                                    没人记得你的难堪，却有人仰望你的勇敢。各位，早上好！（八天，八天哦，想想就激动，然鹅，我要值班） ​​​​                                            ", 9月30日 08:32,转发,50,53,Android,FoaklB1Fp
