序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
16,"
                                                                                                    #阿坝政事# 【刘作明会见法国驻成都总领事馆总领事满碧滟】9月7日上午，州委书记刘作明在马尔康会见了来州拜访的法国驻成都总领事馆总领事满碧滟（FabyèneMANSENCAL）、商务参赞刘赛博（SébastienJOUIN）及中航安盟保险公司总裁欧贝格（Olivier Pequeux）一行，并就法方关心的我州生态保护及双方合作进 ????????...展开全文c                                            ", 9月8日 11:03,转发,评论,4,微博 weibo.com,FkPUZexxk,0
17,"
                                                                                                    #阿坝民生# 【截至目前九寨沟县地震灾区脆红李销售达90万斤】截至9月4日，九寨沟县郭元乡脆红李通过邮政网、淘宝网、微信等方式营销，累计销售脆红李60万斤；成都、绵阳、南充、邛崃等地水果商贩线下方式，累计销售脆红李30万斤。截至目前，九寨沟县郭元乡共销售脆红李90万斤。 ????????                                            ", 9月7日 11:36,3,1,2,微博 weibo.com,FkGHGhOvb,0
18,"
                                                                                                    #阿坝政事# 【1至8月阿坝州水质达标率为100%】2017年1至8月，阿坝州主要河流出境断面水质达到Ⅲ类标准；5个国控地表水监测断面、2个省控地表水监测断面、1个国控地表水联合监测断面水质均达到Ⅱ类标准；2个市（州）级集中式饮用水水源地、20个县级集中式地表水饮用水水源地、2个县级集中式地下水饮用水 ????????...展开全文c                                            ", 9月7日 11:33,转发,3,赞,微博 weibo.com,FkGGzbCCn,0
19,"
                                                                                                    #阿坝政事# 【阿坝州建立老人高龄津贴制度】从2013年1月1日起，凡具有阿坝州户籍且年龄在80周岁以上的老年人，均可享受高龄津贴，发放标准为80岁至89岁50元/人/月；90岁至99岁80元/人/月；100周岁以上200元/人/月和春节慰问金1000元/人。 ????????                                            ", 9月6日 20:39,转发,1,2,微博 weibo.com,FkAPstulD,0
20,"
                                                                                                    #阿坝政事#【九寨沟震后最大就业援助专场招聘会】9月5日上午，“情系灾区·就业援助”九寨沟“8.8”地震灾后重建就业援助专场招聘会在县城文化艺术中心广场举行。134家企业携1万多岗位入场，现场咨询6543人，应聘登记3764人，达成意向性协议1614人，现场面试3288人，登记培训报名意向713人。 ????????                                            ", 9月6日 10:41,转发,评论,1,微博 weibo.com,FkwUIukzg,1
21,"
                                                                                                    #阿坝政事#【截至8月底汶马高速累计完成投资145.58亿元】截至8月底，2017年度累计完成投资35.88亿元，占交通运输厅下达的年度投资目标的59.8%，自开工累计完成投资145.58亿元，占项目概算总投资的50.7%。 ????????                                            ", 9月5日 22:23,转发,评论,1,微博 weibo.com,Fks5brYvm,0
22,"
                                                                                                    #阿坝政事#【《九寨沟地震灾后重建总体规划》预计10月形成送审稿】目前，根据省“1总规5实施方案”规划体系安排部署，制定《“8·8”九寨沟地震灾后恢复重建规划编制工作方案》，深入受灾“一线”调查，加强对具体实施方案编制、行业重建等重大问题的研究，同步做好政策梳理、灾后重建项目对接等工作。 ????????                                            ", 9月5日 21:31,2,1,1,微博 weibo.com,FkrK4FjFu,1
23,"
                                                                                                    #阿坝政事# 【1-8月茂县累计接待游客近170万人次】1-8月，茂县累计接待游客1669034人次，实现旅游总收入132388.94万元。其中，羌乡古寨景区累计接待游客509212人次，中国古羌城景区累计接待游客403481人次,叠溪—松坪沟景区累计接待游客28246人次，九顶山景区累计接待游客126988人次，住宿及其他累计接 ????????...展开全文c                                            ", 9月5日 15:25,1,评论,4,微博 weibo.com,FkplwtYay,0
24,"
                                                                                                    #阿坝政事# 【九寨沟地震灾区消毒30.2万平米】九寨沟县对临时应急避险点附近29个公共厕所、31个垃圾堆放点进行了全面消毒，消毒面积累计达301684平方米，目前灾区无传染病流行和突发公共卫生事件发生。 ????????                                            ", 9月5日 15:21,转发,评论,2,微博 weibo.com,FkpjTriWz,1
25,"
                                                                                                    【绵阳援建壤塘县项目建设推进良好】2017年，壤塘县实施绵阳市援建项目11个，计划投资2765万元。到8月底，已开工9个，完成投资1569.6万元，开工率、投资完成率分别达82%、57%。 ????????                                            ", 9月4日 10:00,1,1,1,360安全浏览器,FkdNe8TOg,0
