序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
1,"
                                                                                                    你第一次坐飞机是去的哪里？（小编：广州） ????????#国庆旅游天气# ????????                                            ", 9月30日 23:38,33,274,53,微博 weibo.com,Fogg2w7CD,0
2,"
                                                                                                    #国庆旅游天气# 最省钱最舒服的国庆计划就是它了 ????????                                            ", 9月30日 21:46,13,21,80,iPhone 6s Plus,FofwTzqQS,0
3,"
                                                                                                    #秋收秋种#【江南水乡“秋风起 菱角香” 】九月下旬，浙江省湖州市吴兴区东林镇星火村马林漾200亩菱角进入成熟期。村民们纷纷划着菱桶开始采摘，成为水乡一道特有的美丽风景。新华社记者 徐昱 摄 ????????                                            ", 9月30日 16:42,14,21,59,微博 weibo.com,FodxbvAEb,0
4,"
                                                                                                    #秋收秋收# 秋收秋种与气象服务的那些事儿  ????????                                            ", 9月30日 16:19,5,2,16,微博 weibo.com,FodnQC2sa,0
5,"
                                                                                                    #2017汛期#【汉江上游持续降雨丹江口水库开闸泄洪】新华社武汉9月28日电 近日汉江流域持续降雨造成陕西安康、湖北十堰等地汛情明显，来水持续增加，导致我国南水北调中线水源地丹江口水库水位迅速增长。记者从丹江口水利枢纽管理局获悉，根据长江防汛抗旱总指挥部指令，丹江口水库今年以来第二次开闸泄 ????????...展开全文c                                            ", 9月30日 15:19,5,3,10,微博 weibo.com,FocZuF5yl,0
6,"
                                                                                                                                                ", 9月30日 14:44,11,6,26327,Weico.Android,FocLDo5Rm,0
7,"
                                                                                                    #气象中国#【澳门特区政府新任局级官员到中国气象局参观交流】9月28日下午，澳门特区政府新任局级公务员国情研修班学员到中国气象局参观交流。学员到国家预警信息发布中心、国家气象中心、国家卫星气象中心、气象影视中心等单位，参观气象预报预测等业务平台，了解国家突发公共事件预警信息发布平台建 ????????...展开全文c                                            ", 9月30日 13:59,1,评论,14,微博 weibo.com,Foct1uBda,0
8,"
                                                                                                     全国天气也是名目繁多，大家开心哦！                                            ", 9月30日 13:29,7,5,898,微博 weibo.com,Foch3uL1u,0
9,"
                                                                                                    你的假日何时开启？戳图保存国庆假日天气 ↓节日快乐啊！ #国庆旅游天气# ????????                                            ", 9月30日 12:32,2,15,31,Weico.Android,FobTYqBaI,0
10,"
                                                                                                    #秋收秋种#【金秋收获忙】金秋时节，河北省各地秋粮进入大面积收获期，田间呈现出一派繁忙景象。新华社记者 朱旭东 摄 ????????                                            ", 9月30日 10:42,3,10,25,微博 weibo.com,Fobb40ZYV,0
11,"
                                                                                                    #中秋赏月# 【今年中秋，十五的月亮十七圆，你想和谁一起赏月？[满月]】据预测，今年中秋月十五的月亮十七圆，月亮最圆时出现在10月6日2时40分。由于地月距离逐日缩短，中秋期间中国各地不仅可观赏到最圆的中秋月，而且目睹到月亮的视直径比往年更大。赶紧@ TA，一起赏月啦！ ????????                                            ", 9月30日 10:21,10,7,23,微博 weibo.com,Fob2Ghps6,0
12,"
                                                                                                    #气象中国#【澳门特区政府新任局级官员到中国气象局参观交流】 9月28日下午，澳门特区政府新任局级公务员国情研修班学员到中国气象局参观交流。　　学员到国家预警信息发布中心、国家气象中心、国家卫星气象中心、气象影视中心等单位，参观气象预报预测等业务平台，了解国家突发公共事件预警信息发布 ????????...展开全文c                                            ", 9月30日 09:30,1,4,16,微博 weibo.com,FoaHQleVY,0
