序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    【北京天气】今天有两个好消息，第一个是今天周五，明儿不上班，第二个是周末很凉爽。周末两天北京阴天，最高气温仅有30℃，凉爽的令人内牛满面。周六晚上将有雷阵雨，但也只是夜间，不影响大家白天外出。O网页链接 ????????                                                            ", 2012-8-10 08:41,转发,评论,1,iPhone客户端,ywtqudycY
2,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【房山4200名山区居民将搬至平原】房山区人口迁移办公室消息：预计将有4200名生活在山区险村的居民将迁往平原地区居住，为他们建设的住宅区将在今年8月底之前开工。市政府要求，受灾乡镇至少在入冬前要完成房屋的修复。对于险村险户，应在一年半内集中搬迁，但具体迁入地址还要结合村民意愿和镇域规则 ????????                                                            ", 2012-8-8 16:43,转发,评论,赞,微博桌面,ywdIPzElK
3,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #出行提示#今日21:30，因降雨较大，京港澳高速北京段全线封闭。 ????????                                                            ", 2012-7-27 21:52,1,评论,9,微博桌面,yuqCo5qOA
4,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    抗洪救灾 众志成城 ????????                                                            ", 2012-7-27 21:51,转发,评论,赞,微博桌面,yuqCgFPyP
5,"
                                                                                                    //@北京发布:回复@jackin剑:各有关部门都在积极做好灾后服务工作，如有需要，欢迎您拨打电话。                                            ",否,"
                                                                                                    【房屋防汛报修值班电话开通】即使大雨已经结束，但经过雨水冲刷的房屋，仍有可能出现漏雨、渗水、需要加固等状况。在此，给大家提供市住建委公布的各区县房屋防汛昼夜值班电话，市民可以通过电话报修求助。 ????????                                                            ", 2012-7-27 15:29,转发,评论,赞,微博桌面,yuo735kUr
6,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【郭金龙：北京暴雨灾害教训异常深刻】人民网报道，今日上午11时15分许，在北京暴雨重灾区房山十渡镇前头港村，正在房山区指导救灾善后工作的北京市委书记郭金龙表示，这场灾害给北京带来的教训是异常深刻的，必须不断反思，永远铭记，不断改进工作，使得这样的灾难不再出现。O网页链接 ????????                                                            ", 2012-7-27 12:31,转发,评论,144,微博桌面,yumWGkeCH
7,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【市公安局公布伤亡人员身份核实电话】经过紧张工作，公安机关已核实清楚大部分遇难人员身份，仍有少数人员身份无法确认，请有线索的失踪人员家属或知情者尽快与公安机关联系。公安机关将全力做好接待、登记、核实等工作。联系单位：市公安局治安管理总队，电话：62014533（24小时专人职守）。 ????????                                                            ", 2012-7-27 12:30,转发,评论,1,微博桌面,yumWpvduV
8,"
                                                                                                    //@北京发布:转发微博                                            ",否,"
                                                                                                    【下午有雷阵雨 周六降水明显】27日11时北京气象信息：白天以阴为主，能见度低会影响视线，注意交通安全。夜间阴有中雨，雨势逐渐加强，周六有明显降雨，局部量级较大，并伴有雷电，建议减少外出活动。降雨会导致山区出现滑坡、泥石流等地质灾害的风险加大，提醒当地政府和居民注意防范。 ????????                                                            ", 2012-7-27 11:11,转发,评论,1,微博桌面,yumqmjp8O
9,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【房山临时安置房8月5日前可入住】房山区已全力开展灾后重建工作。预计为受灾群众临时搭建的房屋将在十天左右可供灾民入住。另外计划用三个月左右时间修缮受灾房屋，对不能回迁的受灾群众，将选择搬迁安置。 ????????                                                            ", 2012-7-27 09:24,转发,评论,赞,微博桌面,yulIMCtjA
10,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【遭遇山洪泥石流如何自我保护】７月２０日以来，北方一些地区遭遇暴雨袭击，一些山区发生泥石流、山洪等地质灾害，地质专家提醒公众，山区发生山洪泥石流时，应学会自我保护。 ????????                                                            ", 2012-7-26 14:34,转发,评论,赞,微博桌面,yuek23F7h
11,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    记者亲身体验，暴雨天气 平安自救的知识。O网页链接 ????????                                                            ", 2012-7-26 12:47,转发,评论,赞,微博桌面,yudCAlnK9
12,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #汛情通报#市防汛办提示您：今日傍晚到夜间本市部分地区将出现中到大雨，相关部门已发布暴雨蓝色、汛情蓝色和地质灾害黄色预警，请广大市民远离山区、河道，注意防范泥石流、雷电等灾害，加强自身防护，确保人身安全。 ????????                                                            ", 2012-7-25 14:50,转发,评论,赞,微博桌面,yu505dwcW
13,"
                                                                                                    //@房山区卫生局:房山重灾区尚无传染病疫情。                                            ",否,"
                                                                                                    #房山重灾区尚无传染病疫情#俗话说：大灾之后有大疫，山洪退去，须警惕疫情肆虐。目前，房山区已全面启动灾后防疫工作，200多名疾控防疫人员7月24日已进驻重灾区。所以请大家放心，北京虽然遭遇罕见洪灾，但目前没有出现传染病疫情。 ????????                                                            ", 2012-7-25 10:18,转发,评论,赞,微博桌面,yu3dGqAke
14,"
                                                                                                    一起加油                                            ",否,"
                                                                                                     #今日头版# 房山区人员伤亡损失重大：受灾人口达80万 直接损失超50亿 受损房屋6.7万间；区县捐赠站点全部开放；京港澳高速路通车：抢险60小时 首次动用潜水员；暴雨中不倒的旗帜：记奋战在抗灾救援一线的党员干部。 ????????                                                            ", 2012-7-25 08:24,1,1,赞,微博桌面,yu2txs9MM
15,"
                                                                                                                                                ",否,微博已被原作者删除, 2012-7-25 08:19,-1,评论,赞,微博桌面,yu2riyDlF
16,"
                                                                                                    坍塌的路面 ????????                                            ",是,无, 2012-7-24 22:39,转发,评论,赞,微博 weibo.com,ytYDYkGmA
17,"
                                                                                                    被冲垮的鱼池 ????????                                            ",是,无, 2012-7-24 22:38,转发,评论,赞,微博 weibo.com,ytYDJx3MY
18,"
                                                                                                    塌陷的路面 ????????                                            ",是,无, 2012-7-24 22:38,转发,评论,赞,微博 weibo.com,ytYDv4tCy
19,"
                                                                                                    悬在空中的房屋 ????????                                            ",是,无, 2012-7-24 22:36,转发,评论,赞,微博 weibo.com,ytYCS437G
20,"
                                                                                                    被砸塌的房屋 ????????                                            ",是,无, 2012-7-24 22:35,转发,评论,赞,微博 weibo.com,ytYCjcTt0
21,"
                                                                                                    冲塌的路面 ????????                                            ",是,无, 2012-7-24 22:34,转发,评论,赞,微博 weibo.com,ytYBTdBsS
22,"
                                                                                                    灾后的霞云岭中心小学 ????????                                            ",是,无, 2012-7-24 22:33,1,1,赞,微博 weibo.com,ytYByvke1
23,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【视频:北京房山区长通报称人员伤亡造成重大损失】北京房山区长今日下午在新闻通气会上表示，本次暴雨灾害初步统计损失在50亿元人民币，受损房屋6.7万间，其他损失也相当巨大，在人员伤亡情况方面，实际造成了重大的损失，目前还在进一步统计中。O网页链接 ????????                                                            ", 2012-7-24 22:08,转发,评论,127,微博桌面,ytYrCaluy
24,"
                                                                                                    致敬 //@Funhill房山:致敬李方洪                                            ",否,"
                                                                                                    【致敬李方洪】“还是我先来吧。”一场61年来最强的暴雨来袭时，46岁的燕山分局向阳路派出所所长李方洪在辖区积水严重的凤凰亭村救助群众时，被一根漏电的电线杆斜拉线击倒而殉职。谁也没想到，这竟是他留在世上的最后一句话。 ????????                                                            ", 2012-7-23 14:45,1,评论,赞,iPhone客户端,ytM7crptH
25,"
                                                                                                    感谢大家的关心，目前108霞云岭乡段已经全线通车，雨后天气变晴，风景确实迷人！ ????????                                            ",是,无, 2012-7-23 14:40,转发,1,赞,iPhone客户端,ytM5cBxdU
26,"
                                                                                                    致敬英雄                                            ",否,"
                                                                                                    良乡供水告急！全城30万人面临断水，急需调用长阳第三水厂水源进行调配，已经抢险一天一夜的长阳供水厂抢险队队长郭云峰带领全队同志奔赴供水管线，“我是队长我来，你们谁都别下去”，他熟练的找到阀门打开，而他却再也没有能上来。“阀门已经打开，水供上了”成为了这位80后供水战士的最后一句话。 ????????                                                            ", 2012-7-23 14:32,转发,评论,17,iPhone客户端,ytM1WeuYu
27,"
                                                                                                    雨过天晴了，感谢各级领导、亲朋好友的关系与支持！ ????????                                            ",是,无, 2012-7-22 20:09,转发,评论,赞,iPhone客户端,ytEO0ogus
28,"
                                                                                                    技术不错啊                                            ",否,"
                                                                                                    #小米手机随手拍#雨后霞云岭 ????????                                                            ", 2012-7-19 11:55,转发,评论,赞,iPhone客户端,yt9iiwl1o
29,"
                                                                                                    转发微博。                                            ",否,微博已被原作者删除, 2012-7-19 11:50,-1,评论,赞,iPhone客户端,yt9gb1Mgw
30,"
                                                                                                    //@新宠儿女子组合: 转发微博                                            ",否,"
                                                                                                    #＂心连心＂霞云岭慰问演出# 新宠儿组合-歌唱北京 @新宠儿组合 ????????                                                            ", 2012-7-16 10:22,转发,评论,赞,微博 weibo.com,ysGp6ldKY
31,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【王安顺任北京市政府党组书记】昨天，北京市政府召开体会议。会上，市委书记、市长郭金龙宣布关于市政府领导同志任职的通知，市委决定，王安顺任市政府党组书记。王安顺表示，经中央同意，市委决定由我担任市政府党组书记，这是对我的极大信任，接过这副担子，我深感责任重大。O网页链接 ????????                                                            ", 2012-7-13 08:15,转发,评论,123,微博桌面,ysdhH3P2y
32,"
                                                                                                    好山好水好心情——“霞云岭之夏‘绿海红歌歌唱会’” 房山区副区长曹蕾讲话 ????????                                            ",是,无, 2012-7-12 11:12,转发,评论,赞,微博桌面,ys513yIGT
33,"
                                                                                                    好山好水好心情——“霞云岭之夏‘绿海红歌歌唱会’” 霞云岭村自编舞蹈《欢聚一堂》 ????????                                            ",是,无, 2012-7-12 11:10,转发,评论,赞,微博桌面,ys50s4D3P
34,"
                                                                                                    好山好水好心情——“霞云岭之夏‘绿海红歌歌唱会’” 耿凤莲-《毛主席派人来》 ????????                                            ",是,无, 2012-7-12 11:08,1,评论,赞,微博桌面,ys4ZEFXjk
35,"
                                                                                                    好山好水好心情——“霞云岭之夏‘绿海红歌歌唱会’” 《我爱家乡霞云岭》 ????????                                            ",是,无, 2012-7-12 10:58,1,评论,赞,微博桌面,ys4VD1fn0
36,"
                                                                                                    好山好水好心情——“霞云岭之夏‘绿海红歌歌唱会’” ????????                                            ",是,无, 2012-7-12 10:57,转发,评论,赞,微博桌面,ys4UWrTlz
37,"
                                                                                                    《毛主席派人来》、《我爱这蓝色的海洋》、《西沙河我爱的家乡》、《祖国在我的心上》等老艺术家们的经典作品再一次在我们的耳边响起；舞蹈《红歌绿海蓝蓝的天》代表霞云岭的发展愿景；村民自编自演快板书《我爱家乡霞云岭》表达了乡亲们对家乡说不完的故事道不尽的美，和对家乡美好变化的赞叹。 ????????                                            ",是,无, 2012-7-12 10:10,转发,评论,赞,微博桌面,ys4Cel7SM
