序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
16,"
                                                                                                    1955年8月29日我国现代话剧和电影的奠基人之一的洪深在北京逝世，终年61岁。洪深学名洪达，字伯骏，号潜斋，别号浅哉，他从中国话剧和电影的草创时期开始，就进行了编剧、导演、表演等全面的实践和理论探索，在戏剧理论方面，造诣很深，成绩卓著，是现代文学史上屈指可数的戏剧理论家。 ????????                                            ",是,无, 2012-8-29 09:13,转发,评论,赞,微博 weibo.com,yzmKIjjAi
17,"
                                                                                                    为战友顶一个！！！                                            ",否,"
                                                                                                    大家好！我是冈华！一名普通的消防战士！敬请大家在8月29日星期三晚8点，中央电视台三套《星光大道》5号选手:冈华！谢谢大家关注！谢谢啦！ O网页链接 (chang.weibo.com) ????????                                                            ", 2012-8-29 06:10,1,3,1,iPhone客户端,yzlyGoqLX
18,"
                                                                                                    回复@冰雪未溶: //@冰雪未溶:刚看完北京卫视，你们太可爱了～被磕掉门牙的哥们儿，乖～你的牙是在训练时光荣牺牲的……（看你们穿那套衣服都觉得热……辛苦了，兵哥哥们）                                            ",否,"
                                                                                                    立陶宛的陆军孩子不适合当消防员啊~~~ 剖门救人的速度 不太快~~~ ????????                                                            ", 2012-8-28 23:44,1,评论,赞,iPhone客户端,yzj1Nnpir
19,"
                                                                                                     //@铁公鸡大师之友:刚刚看了北京卫视的节目才算是真正理解了初中学的那篇文章《谁是最可爱的人》，深深的印在我脑海里“他们的品质是那样的纯洁和高尚，他们的意志是那样的坚韧和刚强，他们的气质是那样的淳朴和谦逊，他们的胸怀是那样的美丽和宽广！”祝我们的消防战士们及您的家人幸福平安                                            ",否,"
                                                                                                    立陶宛的陆军孩子不适合当消防员啊~~~ 剖门救人的速度 不太快~~~ ????????                                                            ", 2012-8-28 23:40,转发,评论,赞,iPhone客户端,yzj03x2nM
20,"
                                                                                                    立陶宛的陆军孩子不适合当消防员啊~~~ 剖门救人的速度 不太快~~~ ????????                                            ",是,无, 2012-8-28 17:43,9,7,赞,微博 weibo.com,yzgFlegV3
21,"
                                                                                                    //@屈灵合: 喜极生悲//@胡诹白咧: 家教之过啊！ //@毛头老怪:乐极生悲！                                            ",否,微博已被原作者删除, 2012-8-28 09:42,-1,1,赞,微博 weibo.com,yzdvY8ARC
22,"
                                                                                                    [群体围观]#每日火情#大家来看看！                                            ",否,"
                                                                                                    #每日火情# ????????                                                            ", 2012-8-28 09:19,转发,评论,赞,微博 weibo.com,yzdmF2NQt
23,"
                                                                                                    #消防员#提示：今天白天还将有短时强阵雨，并请市民出行注意交通安全。 ????????                                            ",是,无, 2012-8-27 11:18,2,2,赞,微博 weibo.com,yz4Izduoq
24,"
                                                                                                    [群体围观]#每日火情#大家来看看！                                            ",否,"
                                                                                                    #每日火情# ????????                                                            ", 2012-8-27 09:24,转发,评论,赞,微博 weibo.com,yz3Ym7Q6H
25,"
                                                                                                    互相支撑的，才是一家人！ ????????                                            ",是,无, 2012-8-24 17:04,4,2,赞,iPhone客户端,yyEHnEvsY
26,"
                                                                                                    照相 O网页链接                                            ",否,"
                                                                                                    昨天农历“七夕节”，在北京展览馆隆重举行了“爱在金盾??情缘七夕”青年民警集体婚礼。市委、市总工会、市妇联、市公安局等领导出席活动。市局所属各单位60对新婚夫妇、家属、所在单位领导400余人参加活动。其中消防总队也有15对新婚夫妇出席仪式。 ????????                                                            ", 2012-8-24 13:44,转发,2,赞,微博 weibo.com,yyDog5Mjb
27,"
                                                                                                    “看神马看，没见过奥利奥啊？！~~~”大家午间愉快！~~~ ????????                                            ",是,无, 2012-8-24 12:25,10,5,赞,iPhone客户端,yyCSb8bNw
28,"
                                                                                                    #每日火情#大家来看看！                                            ",否,"
                                                                                                    #每日火情# ????????                                                            ", 2012-8-24 09:14,转发,评论,赞,微博 weibo.com,yyBCE4cpU
29,"
                                                                                                    [群体围观]这些#消防标识#大家认识吗？知道神马意思吗？今天消防员为大家推出常见的几种标识，大家都来看看，大家可以[收藏]一下，多学习一点总是好的，并祝大家[七夕]快来！ ????????                                            ",是,无, 2012-8-23 13:49,11,4,赞,微博 weibo.com,yytZRgW2P
30,"
                                                                                                    莫让情人节变成“情人劫”。                                            ",否,"
                                                                                                    #友情提示#七夕是中国的情人节，是情侣们追求的浪漫节日，今晚外出活动人群较多，且人们大多沉浸在喜悦中，容易放松警惕，不法分子往往利用这点作案。@中国维和警察 提醒您，外出时应注意看管自己的财物，尽量不在偏僻处停留且在外逗留时间不宜过晚，以确保人身与财物安全，莫让情人节变成“情人劫”。 ????????                                                            ", 2012-8-23 10:56,1,1,赞,微博 weibo.com,yysRuABdc
31,"
                                                                                                    [七夕]每年农历七月初七这一天是我国汉族的传统节日七夕节。因为此日活动的主要参与者是少女，而节日活动的内容是以乞巧为主，故而人们称这天为“乞巧节”或“少女节”、“女儿节”。七夕节是我国传统节日中最具浪漫色彩的一个节日，也是过去姑娘们最为重视的日子。现又被认为是“中国情人节”。[玫瑰] ????????                                            ",是,无, 2012-8-23 07:27,1,2,赞,微博 weibo.com,yyruOBykJ
32,"
                                                                                                                                                ",否,"
                                                                                                    明天就是中国的传统节日""七夕""节了,曾有商贩向年轻情侣卖力兜售孔明灯,并美其名曰""许愿灯"",声称可帮助燃放者实现心愿。实际上,孔明灯属于明火,燃放后很难控制,一旦被吹落到房顶上,或者其他易燃物上,很容易引发火灾,甚至还有可能影响民航客机的安全。为此提醒,燃放孔明灯隐患重重,追求浪漫时勿忘危险。 ????????                                                            ", 2012-8-22 14:36,4,1,赞,微博 weibo.com,yykSvoYjp
33,"
                                                                                                    这么多滴警察，你喜欢哪个呢？[群体围观] ????????                                            ",是,无, 2012-8-22 14:33,4,4,赞,微博 weibo.com,yykR258iV
34,"
                                                                                                    #历史上的今天#1904年8月22日伟大领袖邓小平同志出生，邓小平是中国共产党第二代领导核心，马克思主义者，无产阶级革命家、政治家、军事家、外交家，同时也是中国人民解放军、中华人民共和国的主要领导人之一。他是中国社会主义改革开放和现代化建设的总设计师，创立了邓小平理论。 ????????                                            ",是,无, 2012-8-22 08:54,转发,2,赞,微博 weibo.com,yyiDud5oc
35,"
                                                                                                    麻烦这位车主将猫猫从车中放出来，它很需要您的关爱！还是提醒家中饲养宠物的朋友们，既然饲养了它们，就善待它们！不要轻易放弃！@领养小铺                                            ",否,微博已被原作者删除, 2012-8-22 00:18,-1,7,赞,iPhone客户端,yyfg0FzFD
36,"
                                                                                                    #每日火情#大家来看看！                                            ",否,"
                                                                                                    #每日火情# ????????                                                            ", 2012-8-21 09:30,转发,评论,赞,微博 weibo.com,yy9rzxK2G
37,"
                                                                                                    //@赴汤蹈火119: 这段小视频，告之大道理！                                            ",否,"
                                                                                                    【实拍北京住宅楼失火男女借床单逃生】火场逃生，值得学习。只需您54秒时间。O网页链接 ????????                                                            ", 2012-8-21 09:29,6,3,赞,微博 weibo.com,yy9riFGPe
38,"
                                                                                                    #l历史上的今天# 大家知道谁发明了望远镜吗？知道是在什么时候发明的吗？1609年8月21日，意大利科学家伽利略展示了人类历史上第一架按照科学原理制造出来的望远镜，伽利略找来一段空管子，一头嵌了一片凸面镜，另一头嵌了一片凹面镜，做成了世界上第一个小天文望远镜。 ????????                                            ",是,无, 2012-8-21 09:12,3,2,赞,微博 weibo.com,yy9kp7tGP
39,"
                                                                                                    #历史上的今天#1935年8月21日，红军开始#过草地#。行军队列分左右两路，平行前进。右路军由毛泽东、周恩来、徐向前等率领，自四川毛儿盖出发，进入草地。经过７天的艰苦努力，右路军到达草地尽头的班佑地区。右翼为徐向前、陈昌浩率领的红30军和红4军。 ????????                                            ",是,无, 2012-8-21 08:40,1,评论,赞,微博 weibo.com,yy97taRjO
40,"
                                                                                                    手机充电器—潜在的危险源！                                            ",否,"
                                                                                                    #消防提醒#【手机充电器—潜在的危险源】天气过热的情况下，手机充电器散热较慢，很容易发生爆炸。所以，手机充电时应将充电器插在易散热的地方；充电要掌握好时间，不能“连续作战”，更不能一天到晚将充电器插在插座上；人如果长时间离开房间，要将充电器拔下来，以免引起火灾。 ????????                                                            ", 2012-8-20 16:26,5,2,赞,微博 weibo.com,yy2K5rq6M
41,"
                                                                                                    紧张的工作，闲暇之余，注意劳逸结合！跟着这对有爱滴父女一起运动一下，放松一下吧！~~~ ????????                                            ",是,无, 2012-8-20 09:44,2,评论,赞,微博 weibo.com,yy06NiAiF
42,"
                                                                                                    时刻注意交通安全！！！                                            ",否,"
                                                                                                    【郑州连霍高速柳林收费站处发生严重车祸 7人受伤】8月18日上午在连霍高速柳林收费站附近发生一起严重车祸，两辆轿车相撞后导致7人受伤。当时有一女士被夹在车内不能出来，消防官兵赶到后，才将她的腿弄出来，后紧急送往医院。目前，警方对事故正在调查处理中。车祸，血淋淋的教训 ????????                                                            ", 2012-8-20 09:41,转发,评论,赞,微博 weibo.com,yy05w6guO
43,"
                                                                                                    “我是一个兵，来自大森林！~~~”看咱这身装备，很酷吧？！~~~各位早上好！~~~ ????????                                            ",是,无, 2012-8-20 08:40,22,9,1,微博 weibo.com,yxZGV5ghk
44,"
                                                                                                    扩散！希望宝贝早日回家！！！                                            ",否,微博已被原作者删除, 2012-8-20 08:37,-1,5,赞,微博 weibo.com,yxZFM9MrB
45,"
                                                                                                    原来……帅哥都在我们的队伍里呀？有没有被帅到？愿意加入我们的队伍嘛？！哈哈！~~~ ????????                                            ",是,无, 2012-8-18 21:41,4,17,赞,iPhone客户端,yxLX2sxgK
46,"
                                                                                                    敬礼！为了我们的战友，也为了始终陪伴在我们身边，最忠诚的朋友！敬礼！ ????????                                            ",是,无, 2012-8-18 01:11,10,5,赞,iPhone客户端,yxDTOgQ5e
47,"
                                                                                                    6招让宝宝安全乘电梯（三）：5、乘坐垂直电梯时，不要让宝宝把手放在电梯门旁，防止电梯门开启时，挤伤手指。6、不要让宝宝随便去按垂直电梯旁边的按钮。 ????????                                            ",是,无, 2012-8-17 10:52,3,评论,赞,微博 weibo.com,yxyh4hCVa
48,"
                                                                                                                                                ",否,"
                                                                                                    昨天早上7时许，丰台区四方景园四区4号楼一住户家中失火，一名男子爬到空调外挂机处被消防员救下。火被扑灭后，人们在其家中发现了大量动物尸体。据了解，该男子独身一人，爱饲养动物，其养的4条狗、2只刺猬、12只鸡以及乌龟等动物在大火中全部丧生。 ????????                                                            ", 2012-8-17 10:52,7,5,赞,微博 weibo.com,yxygQFKZO
49,"
                                                                                                    6招让宝宝安全乘电梯（二）：3、在上电梯和下电梯时，最容易出危险，上电梯时让宝宝先上，家长在后面保护。下电梯时，看好时机提醒宝宝迈腿。4、不要让宝宝在滚动扶梯上来回地跑，也不要同小伙伴们在扶梯上玩耍、攀爬或打闹。因为一旦跌倒了，会从电梯上滚下来，受到伤害。 ????????                                            ",是,无, 2012-8-17 10:51,4,评论,赞,微博 weibo.com,yxygJzk6z
50,"
                                                                                                    6招让宝宝安全乘电梯1、父母要肩负起宝宝监护人的责任，任何情况下都不能让宝宝单独坐电梯。平时要向宝宝灌输安全乘梯知识。2、如果父母抱着宝宝乘扶梯，要考虑宝宝的高度，避免宝宝头部撞到其他物品上。如果宝宝的玩具掉在行走着的电梯上，不要让宝宝捡，以免夹住宝宝手指。 ????????                                            ",是,无, 2012-8-17 10:50,10,评论,赞,微博 weibo.com,yxyg9w0hh
51,"
                                                                                                    北京晨报报道：8月14日北京市公安局首个“爱警日”启动，公安局长傅政华及领导班子成员率两千余名处级干部走上街头，替基层民警执勤巡逻。今后每年8月份的第二个星期六将确定为全局“爱警日”，并安排全局各级领导干部替民警执一天勤、站一天岗，让广大一线民警适时倒休。 ????????                                            ",是,无, 2012-8-16 10:43,1,评论,赞,微博 weibo.com,yxoMMvR8K
52,"
                                                                                                    有木有觉得这款#安全带T恤#的设计很有创意，看似安全带T恤的设计使你摆脱了交警的排查，但是，你有木有想过，不带安全带的后果是神马呢？是你扔了的救命符，把自己向死神推了一把！ ????????                                            ",是,无, 2012-8-16 09:12,1,2,赞,微博 weibo.com,yxobKxIPX
