序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    @北京丰台 @北京发布                                            ",否,"
                                                                                                    图为7月21日晚，@北青网 记者拍摄的丰台区长辛店街道救援人员背出受困群众 ????????                                                            ", 2012-7-27 10:32,3,2,赞,微博 weibo.com,yumals86k
2,"
                                                                                                    长辛店街道，机关所有干部都要联系5、6户受灾居民，还发放了联系卡24小时联系。 ????????                                            ",是,无, 2012-7-27 10:32,3,5,赞,微博 weibo.com,yumag81k4
3,"
                                                                                                    图为7月21日晚，@北青网 记者拍摄的丰台区长辛店街道救援人员背出受困群众 ????????                                            ",是,无, 2012-7-27 10:31,6,4,赞,微博 weibo.com,yumac1ZTp
4,"
                                                                                                    @北京发布                                            ",否,"
                                                                                                    这是许多长辛店人注定终身难忘的一夜，雨大水深，在救援人员的搀扶下，他们不舍地离开居住了几代人的老宅。向奋战在一线的救援人员与工作人员致敬！愿善良的长辛店人早日重建家园！ @北京丰台 图为7月21日晚丰台区长辛店街道的救援人员营救受灾群众。 ????????                                                            ", 2012-7-27 10:28,2,1,赞,微博 weibo.com,yum8KainE
5,"
                                                                                                    这是许多长辛店人注定终身难忘的一夜，雨大水深，在救援人员的搀扶下，他们不舍地离开居住了几代人的老宅。向奋战在一线的救援人员与工作人员致敬！愿善良的长辛店人早日重建家园！ @北京丰台 图为7月21日晚丰台区长辛店街道的救援人员营救受灾群众。 ????????                                            ",是,无, 2012-7-27 10:26,8,5,赞,微博 weibo.com,yum87smeJ
6,"
                                                                                                    @北京丰台 @北京发布                                            ",否,"
                                                                                                    大雨当夜，丰台区长辛店街道的工作人员与地区消防支队官兵第一时间赶到前线，冲进齐胸深的污水中，一个一个背出了北关、东山破等地的部分被困群众，由于当时情况紧急，只留下了几张照片，图为工作人员用冲锋舟转移被困居民。 ????????                                                            ", 2012-7-27 10:18,转发,评论,赞,微博 weibo.com,yum4ECZdG
7,"
                                                                                                    大雨当夜，丰台区长辛店街道的工作人员与地区消防支队官兵第一时间赶到前线，冲进齐胸深的污水中，一个一个背出了北关、东山破等地的部分被困群众，由于当时情况紧急，只留下了几张照片，图为工作人员用冲锋舟转移被困居民。 ????????                                            ",是,无, 2012-7-27 10:17,6,6,赞,微博 weibo.com,yum4nvFL6
8,"
                                                                                                    这些图片都是真实的，都是在安置点实地采访拍摄！向辛苦的工作人员致敬，更愿住在这里的居民们早日归家！                                            ",否,"
                                                                                                    大雨过后,丰台长辛店街道的受灾居民住进了安置点,大雨后的防疫消毒工作特别重要。医务工作者们穿梭在居民中间，发放救助物资、清理救助站卫生、安抚受灾群众的情绪，给小朋友检查身体、给老人们量血压。感谢这些一直工作在抗灾一线的工作人员们。 ????????                                                            ", 2012-7-27 10:03,1,1,赞,政府版微博,yulYTnqBP
9,"
                                                                                                    @北京丰台                                            ",否,"
                                                                                                    暴雨过后，66058部队的官兵们纷纷走入长辛店街道受灾百姓家中，由于很多民房太深，抽水泵进不去，他们只能用脸盆一次一次地搬运出淤积的污水和泥沙，一直坚持了整整三天。 ????????                                                            ", 2012-7-24 12:32,1,评论,赞,微博 weibo.com,ytUFIzuVH
10,"
                                                                                                    暴雨过后，66058部队的官兵们纷纷走入长辛店街道受灾百姓家中，由于很多民房太深，抽水泵进不去，他们只能用脸盆一次一次地搬运出淤积的污水和泥沙，一直坚持了整整三天。 ????????                                            ",是,无, 2012-7-24 12:31,8,7,赞,微博 weibo.com,ytUFp5nRg
11,"
                                                                                                    @北京丰台                                            ",否,"
                                                                                                    面对暴雨，长辛店街道出现了一批“不要命”的好干部。在东山坡社区，刚刚做完手术才三天的薛淑菊书记在大雨当夜走进齐胸深的污水，挨家挨户敲门喊人，足足在水中泡了六个小时，与部队官兵共同营救居民40余人。当晚，薛书记的病便复发了，但她仍然坚持在一线，仅用药物维持，两天内只睡了3个小时。 ????????                                                            ", 2012-7-24 11:36,转发,评论,赞,微博 weibo.com,ytUj2Desg
12,"
                                                                                                    面对暴雨，长辛店街道出现了一批“不要命”的好干部。在东山坡社区，刚刚做完手术才三天的薛淑菊书记在大雨当夜走进齐胸深的污水，挨家挨户敲门喊人，足足在水中泡了六个小时，与部队官兵共同营救居民40余人。当晚，薛书记的病便复发了，但她仍然坚持在一线，仅用药物维持，两天内只睡了3个小时。 ????????                                            ",是,无, 2012-7-24 11:36,11,5,赞,微博 weibo.com,ytUiQdz17
