序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    噼里啪啦的雨声，昭显着今天的阵雨可是真大—— ????????                                            ",是,无, 2012-8-27 16:13,转发,评论,赞,微博 weibo.com,yz6E71YWA
2,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #每日天气#市气象台：上午的降雨集中在城区南部，最大降雨量在大观园地区，达到54.3毫米。下午云量依然较多，但大部分地区不会出现降雨。明天北京天气渐渐转晴，后天是个大晴天，气温明显上升，最高气温能达到34度。（不会吧，怎么又热起来了？家里凉席都撤了。）注意防晒降温。 ????????                                                            ", 2012-8-27 12:29,转发,评论,赞,微博 weibo.com,yz5bg2wwE
3,"
                                                                                                    盛开的花朵 ????????                                            ",是,无, 2012-8-27 12:18,转发,评论,赞,微博 weibo.com,yz56JCuGK
4,"
                                                                                                    //@甘家口航天社区: 转发微博                                            ",否,"
                                                                                                    野草遮不住太阳的光芒。（BY佚名）早安，各位。 ????????                                                            ", 2012-8-27 09:02,转发,评论,26,微博 weibo.com,yz3Pd2iIu
5,"
                                                                                                    //@水润京华: 转发微博                                            ",否,"
                                                                                                    #雨水控制与利用#《新建建设工程雨水控制与利用技术要点》突出“先控后用，控用结合”的规划设计理念，主要是在规划、设计、审批及施工图审查等各个环节，加强雨水控制与利用工程的监督管理工作。《技术要点》中所有条款，在各个环节都是要强制执行，还请大家及时了解。[呵呵] ????????                                                            ", 2012-8-23 14:45,转发,评论,赞,微博 weibo.com,yyummf1EN
6,"
                                                                                                    分享图片--圆明园的荷花 ????????                                            ",是,无, 2012-8-23 14:12,转发,评论,赞,微博 weibo.com,yyu8Z4OBZ
7,"
                                                                                                                                                ",否,"
                                                                                                    #大美海淀#8万余株向日葵都向着太阳，游客也绽放出阳光般笑脸，“金色夏日——向日葵文化展”在北京植物园拉开帷幕。金灿灿的黄色钻葵、身材“矮小”的切花向日葵以及被大家熟知的食葵和油葵金灿灿地铺了一地，展览将一直持续到9月中旬。 ????????                                                            ", 2012-8-21 13:47,转发,评论,赞,微博 weibo.com,yyb7Z9HZC
8,"
                                                                                                    看看这是什么地方 ????????                                            ",是,无, 2012-8-21 07:52,转发,4,赞,微博 weibo.com,yy8NVzXrH
9,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    了解一下北京气象信息获取途径吧！[呵呵] ????????                                                            ", 2012-8-20 13:11,转发,评论,赞,微博 weibo.com,yy1t6dRpd
10,"
                                                                                                    #汛期天气#                                            ",否,"
                                                                                                    【北京天气：午后北部有雷阵雨】今晨，北京大部天空云量较多，相对湿度较大，体感比较潮湿。今天白天阴间多云，午后北部地区雷阵雨，最高气温30℃。预计雨量不会很大，但大家出门还是带上一把伞吧。图片来自@Dream-world冯 O网页链接 ????????                                                            ", 2012-8-20 09:09,转发,1,赞,微博 weibo.com,yxZSHbqxM
11,"
                                                                                                    传一张圆明园的天鹅图 ????????                                            ",是,无, 2012-8-17 15:37,16,6,赞,微博 weibo.com,yxA8Og8W3
12,"
                                                                                                    #汛期天气#                                            ",否,"
                                                                                                    【17日早晨6点北京天气预报】 今天白天多云转阴，偏南风2、3级，最高气温29℃，白天依然有些闷热感，傍晚开始门头沟，房山有阵雨；夜间阴有阵雨，南转北风1、2级，最低气温21℃。外出带上雨具，注意出行安全。 ????????                                                            ", 2012-8-17 09:01,1,评论,赞,微博 weibo.com,yxxxYhv2D
13,"
                                                                                                    2012年7月永丰、温泉、翠湖、太舟坞四座再生水厂安全稳定运行，月处理总量112.3247万吨，1至7月累计处理760.6153万吨，水质均达到北京市《水污染物排放标准》中的Ⅰ级B标准。 ????????                                            ",是,无, 2012-8-14 09:17,3,评论,赞,微博 weibo.com,yx5mTtaNc
