序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
22,"
                                                                                                    九寨沟县7.0级地震灾情专报(8月23日)       九寨沟管理局8月23日主要开展以下工作：       一、社区工作       卫生防疫：阿坝州人民医院到社区、安置区进行医疗巡诊，检查指导发热、腹泻病员情况；红原县疾控中心到安置点进行水质检测和卫生安全检查；九寨沟县、理县卫生监督执法大队监督员到安 ​​​​...展开全文c                                            ", 8月24日 12:29,1,评论,4,微博 weibo.com,Fiz4pd923
23,"
                                                                                                    九寨沟县7.0级地震灾情专报(8月22日)九寨沟管理局8月22日主要开展以下工作：一、社区工作卫生防疫：九寨沟县和红原县疾控中心对安置点进行卫生防疫检查，检查了解当天发热、腹泻病员情况，对居民健康、“消杀灭”、环境卫生、生活饮用水水质监测等工作进行检查指导并赠送灭虫药剂；九寨沟县卫生监 ​​​​...展开全文c                                            ", 8月23日 09:16,1,评论,11,微博 weibo.com,FionkAJ6v
24,"
                                                                                                    发布了头条文章：《老党员在前，年轻人跟上！》 °老党员在前，年轻人跟上！ ​​​​                                            ", 8月23日 09:15,转发,评论,5,微博 weibo.com,FionbnJwI
25,"
                                                                                                    8月8日，九寨沟地震，尤仲泽仁主动申请回家乡参加救援，却在救援期间，两过家门而不入。致敬！ °消防战士回家乡救灾 两过家门不入 ​​​​                                            ", 8月23日 09:13,转发,评论,15,微博 weibo.com,Fiom7gvvi
26,"
                                                                                                    发布了头条文章：《向大爱无疆的救援队们致敬》 °向大爱无疆的救援队们致敬 ​​​​                                            ", 8月18日 18:15,4,评论,41,微博 weibo.com,FhGLFvFhP
27,"
                                                                                                    发布了头条文章：《九寨沟景区村寨抗震救灾工作有序有力开展》 °九寨沟景区村寨抗震救灾工作有序有力开展 ​​​​                                            ", 8月17日 18:03,2,评论,21,微博 weibo.com,FhxgxaXxE
28,"
                                                                                                    景区抗震救灾英雄者联盟，一路有我一路相伴 °景区抗震救灾英雄者联盟，一路有我一路相伴 ​​​​                                            ", 8月16日 18:51,4,评论,32,微博 weibo.com,Fho9fbxtv
29,"
                                                                                                    一封感谢信2017年8月8日21时19分，生我养我的这片故土突如其来的灾难打破了我平静幸福的生活。今天是九寨沟县7.0级地震第七天，这些天我见证了大自然山崩地裂的哭泣，经历了失去儿子撕心裂肺的痛，经历了和从死神手中逃脱妻子相逢的惊喜，经历了人生太多的悲喜。失联亲人搜救过程中我看了很多，想了 ​​​​...展开全文c                                            ", 8月16日 17:56,1,评论,36,微博 weibo.com,FhnNcflZY
30,"
                                                                                                    这是今日的九寨沟，海子依旧，美丽依然                                            ", 8月16日 15:35,32,评论,19744,微博搜索,FhmRN1JZC
31,"
                                                                                                    2017年8月14日上午，局长赵德猛在沟口九寨沟管理局“8·8”地震抗震救灾领导小组临时办公点主持召开会议，就“8·8”地震灾害评估、防治及灾后重建等相关事宜与中国科学院成都山地所崔鹏院士率领的专家组进行会商。 °九寨沟管理局与中科院成都山地所专家组会商灾情 ​​​​                                            ", 8月15日 13:13,1,评论,7,微博 weibo.com,FhcvOxtCp
32,"
                                                                                                    【杨克宁州长在九寨沟管理局调研受灾情况】2017年8月14日，州委副书记、州长杨克宁在九寨沟管理局赵德猛局长、徐荣林书记陪同下，到九寨沟管理局检查抗震救灾工作，看望慰问了管理局干部职工，对管理局前期抗震救灾工作取得的成绩给予肯定。并提出相关要求。O网页链接 ​​​​                                            ", 8月15日 12:25,1,评论,10,360安全浏览器,Fhccif7HP
33,"
                                                                                                    愿在天堂安好愿生者坚强                                            ", 8月15日 11:35,6,评论,36329,360安全浏览器,FhbS2DG2r
34,"
                                                                                                    【战斗在前，筑起抗震救灾的坚强堡垒】2017年8月8日，九寨沟发生7.0级地震，灾害发生后，九寨沟基层党组织在九寨沟管理局党委的领导下快速响应，积极应对。O网页链接 ​​​​                                            ", 8月15日 11:29,1,评论,14,360安全浏览器,FhbPuyPJ4
35,"
                                                                                                    发布了头条文章：《营救被困人员、抢通生命通道-- 九寨沟景区专职消防队的震后24小时》 °营救被困人员、抢通生命通道-- 九寨沟景区专... ​​​​                                            ", 8月14日 20:29,3,评论,24,微博 weibo.com,Fh5W8s4W0
36,"
                                                                                                    九寨沟管理局“8.8”地震抗震救灾专报（8月13日）九寨沟管理局8月13日主要开展了以下工作：一、党组织建设成立3个抗震救灾临时党支部，组织党员突击队6支、50人。...展开全文c                                            ", 8月14日 19:45,3,评论,16,360安全浏览器,Fh5E6BTLo
37,"
                                                                                                    神奇的大自然，地震后第六天，珍珠滩秀丽，五花海孔雀河道恢复清澈。图片转自王海林（手机拍摄） ​​​​                                            ", 8月14日 17:38,33,评论,153,微博 weibo.com,Fh4OQ2o6e
38,"
                                                                                                    地震后的九寨沟自愈能力强大，众多海子已恢复清澈，景色美丽依旧，对九寨沟未来很有信心！°九寨沟海子已恢复清澈！中科院专家：我对她的...                                            ", 8月14日 16:53,56,评论,6519,微博 weibo.com,Fh4wEn0Ed
39,"
                                                                                                    【“通路勇士”谱写救灾之歌】  天灾无情，人间有爱。正因为有他们这样的无畏勇敢、大爱无私的精神，才能使我们每位受灾的群众心中充满温暖，才能怀着希望走向抗震救灾胜利的明天。O网页链接 ​​​​                                            ", 8月13日 21:29,5,评论,45,360安全浏览器,FgWTPtZfv
40,"
                                                                                                    发布了头条文章：《撑起生命的划船手任贵元》 °撑起生命的划船手任贵元 ​​​​                                            ", 8月12日 21:56,转发,评论,59,微博 weibo.com,FgNEE8g1B
41,"
                                                                                                    发布了头条文章：《九寨沟地震 || 两天两夜，10人被困孤岛，获救时泪奔》 °九寨沟地震 || 两天两夜，10人被困孤岛，获救... ​​​​                                            ", 8月12日 21:50,1,评论,48,微博 weibo.com,FgNC4zI7L
42,"
                                                                                                    6000米高空俯瞰九寨沟，我们不说再见，等你“补妆”归来！ °6000米高空俯瞰九寨沟，我们不说再见，等你“... ​​​​                                            ", 8月12日 18:25,38,评论,106,微博 weibo.com,FgMgKvu1I
43,"
                                                                                                    九寨沟景民联合全力投入抗震救灾 °九寨沟景民联合全力投入抗震救灾 ​​​​                                            ", 8月11日 22:23,3,评论,51,微博 weibo.com,FgEp9haNm
44,"
                                                                                                    发布了头条文章：《九寨沟“8.8”地震：抗震救灾工作取得八个重大阶段性成效》 °九寨沟“8.8”地震：抗震救灾工作取得八个重大... ​​​​                                            ", 8月11日 00:45,7,评论,45,微博 weibo.com,FgvTZvziK
45,"
                                                                                                    #8.8地震辟谣# 九寨沟景区内千人滞留 °#8.8地震辟谣#九寨沟景区内千人滞留 ​​​​                                            ", 8月9日 16:29,83,评论,87,微博 weibo.com,FgjeseDKZ
46,"
                                                                                                    【九寨沟管理局“8.8”地震抗震救灾工作开展情况通报】“8.8”地震抗震救灾工作开展情况        2017年8月8日21:19分，九寨沟县境内发生7.0级地震，景区灾情严重。地震发生后，我局全力开展抗震救灾工作，现将有关情况汇报如下：       一、及时成立抗震救灾领导小组       灾情发生后，我局领导 ​​​​...展开全文c                                            ", 8月9日 15:10,14,评论,50,360安全浏览器,FgiIgdIbc
47,"
                                                                                                    关于九寨沟景区灾情通报：       2017年8月8日21:19分，九寨沟县境内发生7.0级地震，景区灾情严重。针对此次地震灾情，九寨沟管理局经实地勘查，现将景区内各景点受灾情况通报如下：        日则沟情况：全长18公里，镜海拐弯处堵塞，以上路段正在勘察中。成功营救6名失联居民，由于老虎嘴道路严重 ​​​​...展开全文c                                            ", 8月9日 15:08,738,3,372,360安全浏览器,FgiHkhsta
48,"
                                                                                                    通告：        2017年8月8日21时19分，九寨沟县境内发生7.0级地震,九寨沟景区接待条件受到严重影响。当前九寨沟管理局正全力开展景区抢险救援、游客疏导工作。         为保证游客游览安全，九寨沟景区从8月9日起停止接待游客。具体接待游客时间另行通告。已经预订和购买景区8月9日入园门票车票的游 ​​​​...展开全文c                                            ", 8月9日 12:13,12,评论,59,微博 weibo.com,FghyaAchi
49,"
                                                                                                    通告：       2017年8月8日21时19分，九寨沟县境内发生7.0级地震,九寨沟景区接待条件受到严重影响。当前九寨沟管理局正全力开展景区排险工作。       为保证游客游览安全，九寨沟景区从8月9日起停止接待游客。具体接待游客时间另行通告。目前，已经预订了8月9日及以后门车票的游客可到阿坝文旅办理 ​​​​...展开全文c                                            ", 8月8日 23:52,225,6,318,微博 weibo.com,FgcHqs4gf
50,"
                                                                                                    啊啊啊~~~美到我快要窒息~\(≧▽≦)/~啦啦啦                                            ", 8月8日 17:10,34,评论,16,微博搜索,Fga4vDcfW
51,"
                                                                                                    蓝蓝绿绿、绿绿蓝蓝让我们一起开始欢歌吧                                            ", 8月8日 16:35,9,评论,29,微博搜索,Fg9Q2gbZK
52,"
                                                                                                    我就说很美嘛，谢谢小姐姐真心的赞美哦                                            ", 8月8日 13:12,2,评论,13,微博搜索,Fg8vVsycN
53,"
                                                                                                    此刻阳光好，美好在眼前！                                            ", 8月7日 13:21,2,评论,10,微博搜索,FfZ8Lslp0
54,"
                                                                                                    用眼睛记录，收获最美！                                            ", 8月7日 13:20,3,评论,2,微博搜索,FfZ8o7bXa
55,"
                                                                                                    小心心也送给你哦                                            ", 8月7日 11:00,1,评论,37,微博搜索,FfYdLqawP
56,"
                                                                                                    穿越时空，感受2014年的夏天#九寨沟旅游#                                            ", 8月4日 16:00,转发,1,6,微博搜索,FfxTTwP47
57,"
                                                                                                    好看+1，你们来接力吧#九寨沟旅游#                                            ", 8月4日 15:59,1,评论,2,微博搜索,FfxTzoTfY
58,"
                                                                                                    那你可以看看冬天的九寨童话，也很不错哦~                                            ", 8月3日 09:34,转发,评论,2,360安全浏览器,FflWYBVOm
59,"
                                                                                                    #中国醉美黄金旅游走廊#                                            ", 8月3日 09:33,转发,评论,1,360安全浏览器,FflWvEG06
60,"
                                                                                                                                                ", 8月3日 09:32,2,评论,3,360安全浏览器,FflW5BCcO
61,"
                                                                                                    九寨沟的美无法用相机来表达 欢迎经常来哦~~~思密达                                            ", 8月2日 17:16,-1,评论,11,微博搜索,FffxTqbC3
62,"
                                                                                                    九寨沟的绚丽夺目，浓墨重彩的山水画~                                            ", 8月2日 13:59,7,评论,1,微博搜索,FfefS5VUI
63,"
                                                                                                    一句话：反正就是各种美美哒                                            ", 8月2日 10:07,转发,评论,4,微博搜索,FfcJPanMj
64,"
                                                                                                    说好的哦，不见不散！                                            ", 8月1日 11:13,2,评论,赞,微博搜索,Ff3K3nATi
65,"
                                                                                                    阳光正好，风景正美，而你，正在画中游走。                                            ", 8月1日 11:12,1,1,9,微博搜索,Ff3JEkssx
66,"
                                                                                                    来这里的小姐姐们，也美美哒！                                            ", 8月1日 08:56,1,评论,4,微博 weibo.com,Ff2QxuPAQ
67,"
                                                                                                    舒服的水声，让人怡然自得                                            ", 7月31日 15:12,1,评论,1,微博搜索,FeVSz1vWJ
68,"
                                                                                                    这个宝宝吟的一首好诗，视频也是真实还原九寨的美，必须赞赞赞                                            ", 7月31日 12:18,13,评论,6,微博 weibo.com,FeUJSyvYe
69,"
                                                                                                    所以宝宝就在这里常驻吧，拥抱这里的美同时也欢迎一年四季经常来哦，不同季节的美也不同哦~~                                            ", 7月31日 09:57,1,评论,2,微博搜索,FeTOJDk1b
70,"
                                                                                                    准备好了吗，来过九寨20℃的夏天！！#带着微博去九寨# #清爽一夏# ​​​​图by简途旅行 ​​​​                                            ", 7月28日 10:37,3,评论,16,360安全浏览器,FerNDifbi
71,"
                                                                                                                                                ", 7月28日 10:31,1,评论,18,微博搜索,FerL9jDuD
72,"
                                                                                                                                                ", 7月28日 10:29,转发,评论,1,微博搜索,FerKfaVUj
73,"
                                                                                                    你拍得最棒了，满分给你，不要骄傲哈                                            ", 7月27日 21:00,1,评论,8,搜狗高速浏览器,FemrRtCqn
74,"
                                                                                                    天气太热，知道你们需要降温，来来来，今年三月的九寨美图给你降温咯！ 夸我夸我 #避暑好去处# #九寨沟旅游#                                            ", 7月27日 12:04,1,评论,1,360安全浏览器,FeiWgsHvS
75,"
                                                                                                    九寨天气晴好，不骄不躁，阳光里遇见一个凉爽的夏日 #避暑好去处# #九寨沟旅游#                                            ", 7月27日 09:12,2,评论,1,360安全浏览器,FehOxaoEB
76,"
                                                                                                    蓝天清水，清凉夏日。                                            ", 7月26日 17:06,1,评论,3,微博搜索,FebumfIOs
77,"
                                                                                                    小心心送给你                                            ", 7月26日 13:13,1,评论,3,微博搜索,Fe9XQCQOR
78,"
                                                                                                    我在阳光明媚里，遇见你！                                            ", 7月26日 09:23,2,评论,1,微博搜索,Fe8shyTuo
79,"
                                                                                                    下一次的相遇，愿我们都能遇见彼此的不一样。                                            ", 7月26日 09:17,1,评论,16,微博 weibo.com,Fe8q03DiS
80,"
                                                                                                    美腻的小姐姐，希望你在这人间仙境中玩的愉快哦                                            ", 7月25日 17:25,1,1,10,微博搜索,Fe2bHfNcE
81,"
                                                                                                    就是这么傲娇的九寨沟，美的不可方物哦                                            ", 7月25日 15:23,1,评论,6,微博搜索,Fe1oeAJwi
82,"
                                                                                                    这枚宝宝感悟的好深刻                                            ", 7月25日 13:53,2,评论,4,微博搜索,Fe0NEotYb
83,"
                                                                                                    这个蓝，蓝的让人心向往之                                            ", 7月25日 12:54,2,评论,1,微博搜索,Fe0pokM8G
84,"
                                                                                                    美美哒，继续鼓鼓掌                                            ", 7月25日 10:49,转发,评论,4,微博搜索,FdZAD4niX
85,"
                                                                                                    我也这么觉得呢                                            ", 7月25日 09:44,转发,评论,5,微博搜索,FdZatqa2s
86,"
                                                                                                    青山绿水好风光，悠悠夏日好清爽~心动了吗？心动就赶紧出发呀！~图by在路上 ​​​​#带着微博去九寨# #避暑就去九寨沟# ​​​​                                            ", 7月24日 15:16,12,评论,28,360安全浏览器,FdRUKdCwn
87,"
                                                                                                                                                ", 7月24日 12:06,转发,1,3,微博搜索,FdQFL6w0J
88,"
                                                                                                    漂~亮~                                            ", 7月24日 12:01,转发,评论,5,360安全浏览器,FdQDAEuEo
89,"
                                                                                                    天然无添加~最自然的美 ~                                            ", 7月24日 12:01,1,评论,3,360安全浏览器,FdQDp9iCu
90,"
                                                                                                    夏天在哪里啊，夏天在哪里？夏天就在20°C的凉爽里 ​​​​                                            ", 7月21日 14:17,2,评论,12,360安全浏览器,FdpfdaoVA
