序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
26,"
                                                                                                    #公益海淀#中关村地区社会组织公益行活动在中关村街道社区服务中心门前广场上举行，每月一次的志愿活动已经开展了一年多，在义务理发现场，4把理发椅明显不能满足需求，等待理发的人群自发排起长队等候。 ​​​​                                            ", 2012-8-22 08:19,4,6,赞,微博 weibo.com,yyipr4N35
27,"
                                                                                                    还是用有线耳机吧，童鞋们                                            ", 2012-8-21 13:48,6,2,赞,微博 weibo.com,yyb8g27vt
28,"
                                                                                                    #大美海淀#8万余株向日葵都向着太阳，游客也绽放出阳光般笑脸，“金色夏日——向日葵文化展”在北京植物园拉开帷幕。金灿灿的黄色钻葵、身材“矮小”的切花向日葵以及被大家熟知的食葵和油葵金灿灿地铺了一地，展览将一直持续到9月中旬。 ​​​​                                            ", 2012-8-21 13:44,23,4,赞,微博 weibo.com,yyb6X5qQJ
29,"
                                                                                                    #教育风采#在第27届全国青少年科技创新大赛中, 海淀共有11个青少年科技项目入选参加终评决赛（北京市入选终评的项目共23项）,获得5金5银,且北京市获得英特尔英才奖4项和北京公益学会科技创新奖3项由海淀包揽,最终成绩名列前茅,展现了海淀青少年的蓬勃朝气和强劲创新实力。 ​​​​                                            ", 2012-8-21 08:40,6,评论,赞,微博 weibo.com,yy97s00Y4
30,"
                                                                                                    转发微博                                            ", 2012-8-21 08:23,7,评论,5,微博 weibo.com,yy90G6mef
31,"
                                                                                                    转发微博                                            ", 2012-8-21 08:23,9,1,赞,微博 weibo.com,yy90mzivD
32,"
                                                                                                    转发微博                                            ", 2012-8-21 08:21,2,1,赞,微博 weibo.com,yy8ZO12BD
33,"
                                                                                                    学习知识，安全第一                                            ", 2012-8-20 14:38,1,1,赞,微博 weibo.com,yy228pcVq
34,"
                                                                                                    大家一起帮帮这位母亲//@海淀区政府网站: 帮转了~                                            ", 2012-8-20 14:37,4,2,赞,微博 weibo.com,yy21E03mL
35,"
                                                                                                    #民生海淀#海淀游泳场馆水质GPRS远程在线监测系统启动。此次共从选取10家客流量较大、社会影响较重的游泳场馆作为在线监测的监测点，系统可24小时不间断将水质卫生指标数据传输到远程监控平台。监督部门可即时掌握泳池水质数据变化，对不符合标准的单位可及时进行预警并要求其采取控制措施尽快改善。 ​​​​                                            ", 2012-8-20 14:33,3,1,赞,微博 weibo.com,yy202ncdb
36,"
                                                                                                    转发微博                                            ", 2012-8-20 09:20,1,1,1,微博 weibo.com,yxZXa64bE
37,"
                                                                                                    转发微博                                            ", 2012-8-20 09:18,-1,评论,赞,微博 weibo.com,yxZW8yG5n
38,"
                                                                                                    #民生海淀#跨清河高架桥工程主体部分基本完工，工人正在进行引桥的施工。据了解，清河高架桥预计今年年底建成通车，清河地区居民由此进入城区可以避开京藏高速的拥堵，从高架桥通过连接八家东西线路直通五道口的双清路，沿双清路直达中关村。这条跨清河和五环的高架桥全长400米，为双向4车道。 ​​​​                                            ", 2012-8-20 09:13,26,9,赞,微博 weibo.com,yxZUhC9Qn
39,"
                                                                                                    转发微博                                            ", 2012-8-18 08:28,14,2,赞,微博 weibo.com,yxGKRetad
40,"
                                                                                                    转发微博                                            ", 2012-8-17 17:23,1,1,赞,微博 weibo.com,yxAPIyJAe
41,"
                                                                                                    美丽的翠湖                                            ", 2012-8-17 16:32,4,3,赞,微博 weibo.com,yxAuNDPcW
42,"
                                                                                                    转发微博                                            ", 2012-8-17 16:16,5,2,赞,微博 weibo.com,yxAoDAxib
43,"
                                                                                                    终于出伏了，准备秋装，早晚防凉                                            ", 2012-8-17 16:14,5,3,赞,微博 weibo.com,yxAnH5rBd
44,"
                                                                                                    学习清洗饮水机啊                                            ", 2012-8-17 09:42,5,评论,赞,微博 weibo.com,yxxOnFlfj
45,"
                                                                                                    #民生海淀# “坐月子饮食原则：控制热量，少盐、少油、少糖为主……”京城首家两岸合资医院北京宝岛妇产医院“首都幸福孕育促进计划”拉开帷幕。其中，北京宝岛妇产医院与北太平庄街道办联办的“幸孕之旅，宝岛伴您行——准妈妈课堂进社区”大型公益活动同时启动，两位专家与孕妇和家属互动交流。 ​​​​                                            ", 2012-8-17 09:40,10,评论,赞,微博 weibo.com,yxxNDgQSZ
46,"
                                                                                                    记得带雨具哟                                            ", 2012-8-17 07:49,2,4,赞,微博 weibo.com,yxx4ye0ES
47,"
                                                                                                    #民生海淀#安宁庄西路南段道路铺油完工，铺油总面积约为5149平方米。安宁庄西路南段改造工程位于海淀区清河地区，是一条南北方向的城市次干路，起点为上地村南路，终点为朱房村北路。该路的建成通车，较大完善了中心城北部地区路网系统及配套市政基础设施，大力缓解了清河地区交通压力和居民出行条件。 ​​​​                                            ", 2012-8-17 07:47,16,5,赞,微博 weibo.com,yxx3LssMF
48,"
                                                                                                    确实立秋了，晚上很舒服，各位童鞋早上加油啊，一天好心情                                            ", 2012-8-16 06:26,1,4,赞,微博 weibo.com,yxn6zzYNK
49,"
                                                                                                    骗子又有新花样，擦亮眼睛啊                                            ", 2012-8-15 14:40,8,1,赞,微博 weibo.com,yxgUm90Rg
50,"
                                                                                                    #创新海淀#【蛟龙‘游进’中关村】由中国科学院支持举办《院士大讲堂》开课。担任“蛟龙”号载人潜水器副总设计师朱敏研究员，与在场听众分享了“蛟龙”号研制试验鲜为人知的动人故事，介绍世界深海探测的激烈竞争，共同展望中国深海载人潜水的美好前景，带领大家走进神秘瑰丽的深海世界。 ​​​​                                            ", 2012-8-15 14:37,1,1,赞,微博 weibo.com,yxgTvyMBP
51,"
                                                                                                    学习啦                                            ", 2012-8-15 10:45,1,评论,赞,微博 weibo.com,yxfn69Mqf
52,"
                                                                                                    转发微博                                            ", 2012-8-15 10:44,1,评论,赞,微博 weibo.com,yxfmJ6PTy
53,"
                                                                                                    提醒各位童鞋，最好提前网上弄清价格配置，心里有数，不被忽悠，网购也是重要选择啦！                                            ", 2012-8-15 10:44,转发,1,赞,微博 weibo.com,yxfmEnGo7
54,"
                                                                                                    #民生海淀#【颐和园有支义务指路队】她六岁整，6年时间已经服务游客40万人次，她是北京市唯一一支双语志愿服务团队，每周末休息时间都在颐和园附近服务，有见过他们的么？举手 ​​​​                                            ", 2012-8-15 10:28,3,2,赞,微博 weibo.com,yxfgrktm5
