序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
21,"
                                                                                                    #办理反馈# @執著等待668 向 @昆明市长 反映西山区西华北路永力西苑小区停煤气问题收悉 ，现将昆明市住建局调查情况回复如下。 ​​​​                                            ", 2014-4-23 16:21,转发,评论,1,微博 weibo.com,B14sl5z9f
22,"
                                                                                                    #办理反馈# @头颅高昂 向 @昆明市长 反映西山区兴港名城小区项目昼夜施工扰民问题收悉，现将西山区环保局调查情况反馈如下。 ​​​​                                            ", 2014-4-23 16:16,转发,4,1,微博 weibo.com,B14qAAYQ2
23,"
                                                                                                    #办理反馈# @蓝火大王 向 @昆明市长 反映书林街书林一小拆除教学楼夜间施工扰民问题收悉。现将西山区环保局调查情况反馈如下。 ​​​​                                            ", 2014-4-23 16:08,3,2,赞,微博 weibo.com,B14mYDn4r
24,"
                                                                                                    #办理反馈# @邓菊- 向 @昆明市长 反映在昆明站等83路公交30分钟来了一辆车。期间23路、236路公交几乎两分钟就有一班到达。建议适量增加83路公交的车次的问题收悉。现将昆明市公交公司调查情况反馈如下，见长微博。 ​​​​                                            ", 2014-4-23 13:06,转发,5,1,微博 weibo.com,B13b9aILr
25,"
                                                                                                    #办理反馈# @Marianne爱吃 向 @昆明市长 反映西坝路改扩建项目从20点直至凌晨5点不间断地施工，施工噪音非常大的问题收悉。现将西山区环保局调查情况反馈如下，见长微博。 ​​​​                                            ", 2014-4-23 12:50,2,3,1,微博 weibo.com,B1350hqO2
26,"
                                                                                                    #办理反馈# @氵氺水 @昆明市长 反映子君村经济适用房楼下停放保时捷高档车，并询问为什么经济适用房会由企业单位来购买问题收悉。现将主管部门昆明市住建局调查情况反馈如下，见长微博。 ​​​​                                            ", 2014-4-22 16:51,转发,4,赞,微博 weibo.com,B0Ve7FOEL
27,"
                                                                                                    #办理反馈# @凌晨stella 向 @昆明市长 反映万宏路旁边的施工工地通宵施工扰民问题收悉，现将盘龙区政府调查处理情况反馈如下，见长微博。 ​​​​                                            ", 2014-4-22 08:52,4,12,赞,微博 weibo.com,B0S5QgaQP
28,"
                                                                                                    #办理反馈# @仰壳睡觉的猫儿 向 @昆明市长 反映盘龙区小坝立交桥旁溪畔丽景楼盘最近几天施工不舍昼夜，周围居民无法休息问题收悉。现将盘龙区政府调查处理情况回复如下： ​​​​                                            ", 2014-4-21 16:38,1,2,3,微博 weibo.com,B0LIz2GkT
29,"
                                                                                                    #办理反馈# @没有夏娃的伊甸园 @昆明12345市长热线 反映26路车难等，早晚高峰期平均30—40分钟才能等到一辆车问题收悉，现将市交通运输局调查情况反馈如下。 ​​​​                                            ", 2014-4-21 16:30,3,4,5,微博 weibo.com,B0LFgyRmc
30,"
                                                                                                    #办理反馈# @梨可788375237 向 @昆明市长 反映红锦路荷塘月色小区四号门处球场变成了垃圾场和停车场问题收悉，现将五华区政府调查情况回复如下，见长微博。 ​​​​                                            ", 2014-4-21 16:09,1,1,1,微博 weibo.com,B0LwAtKko
