序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
22,"
                                                                                                    【精神病患者裸奔惹群众报警，民警出警联系家属将其领回】7月30日12时许，在十堰火车站桃园御品背后，火车站北广场，一年轻精神病患者，因病发赤身裸体在广场上奔跑，被过路群众发现并报警，民警出警至现场，迅速将该病患控制，并联系其家属将其领回！@平安茅箭 ​​​​                                            ", 2015-7-30 17:02,6,5,8,微博 weibo.com,Ctw8JFi40
23,"
                                                                                                    【大学生误入境外贩毒集团，吞食3000麻古人体运毒】名牌大学生，因家庭变故尝试在网上卖肾，受老乡诱惑误入境外贩毒集团。在暴力威胁与金钱诱惑下，他在中缅边境吞食近3000粒麻古，辗转数千公里运毒来宜。7月22日晚，该男子刚下飞机，被多名便衣民警摁倒在地。@平安宜昌 ​​​​                                            ", 2015-7-30 17:00,转发,评论,4,微博 weibo.com,Ctw82j3VB
24,"
                                                                                                    【男子为吃饭 抢劫被拘】7月21日23时，受害人李某独自一人走在回家的途中，被刘某从背后持板砖将其拍倒欲实施抢劫，因其强烈反抗，刘某遂放弃抢劫后逃走。根据李某提供的嫌疑人衣着特征和逃跑路线，最终在沿途监控上发现该男子。目前，刘某已被十堰市公安局茅箭分局@平安茅箭 刑拘，案件在侦。 ​​​​                                            ", 2015-7-30 16:40,25,2,2,微博 weibo.com,CtvZK7x9m
25,"
                                                                                                    【警讯快报】27日，宜昌市榔坪镇的一位秦姓村民接到自称北京警方的电话，称其涉嫌洗黑钱，并准备按照对方的“警示”执意要给对方汇去3万元“保证金”。幸亏民警及时得知赶到银行前阻止，才避免其受骗。荆哥提醒，这类的电话诈骗是老套路，立刻报警，让真蜀黍去找这些假蜀黍谈谈人生@平安宜昌 ​​​​                                            ", 2015-7-30 16:10,转发,2,7,360安全浏览器,CtvNsmfow
26,"
                                                                                                    向警营军魂致敬！@公安部打四黑除四害                                             ", 2015-7-30 16:10,2,1,7,iPhone 6 Plus,CtvNqi5DW
27,"
                                                                                                    我们一直在路上                                            ", 2015-7-30 15:31,转发,评论,6,iPhone 6 Plus,CtvxI31nV
28,"
                                                                                                    【警讯快报】“母女大盗”落网。6月起，十堰市房县妇女陈某首次盗窃得手后，觉得找到了“致富捷径”，带着29岁的女儿频繁出入各大超市，相互配合实施盗窃。7月27日，两人行窃时被反扒民警当场抓获。@平安房县 O首次扒窃初尝甜头 母女俩找到""致富捷径""盗窃... ​​​​                                            ", 2015-7-30 15:13,转发,评论,2,360安全浏览器,Ctvqh4TgX
29,"
                                                                                                    请爱护身边的“汪星人”                                            ", 2015-7-30 11:27,5,2,7894,360安全浏览器,CttWGjKpS
30,"
                                                                                                    【警讯快报】昨日，黄冈市黄州警方通报，破获城区系列“两抢”案件，将犯罪嫌疑人陈某及其同伙梅某一举抓获。主犯陈某在两个星期内连续作案6起，涉案价值达3万余元。警方提醒：女性出门尽量结伴而行，少带贵重物品，一旦发生抢夺事件，应当机智地与其周旋，安全优先，然后迅速报警找蜀黍哦！@平安黄冈 ​​​​                                            ", 2015-7-30 11:24,2,1,5,360安全浏览器,CttVx5HxY
31,"
                                                                                                    【讲义气为他人出头 成逃犯追悔莫及】本是酒店老板的付某为帮朋友解决经济纠纷，邀约十几名社会青年手持棍棒将两名男子打伤后逃走，后被襄阳市公安局高新分局@襄阳高新分局110 列为网上逃犯追捕，7月20日被抓获，现已被警方刑事拘留。谈起此事，付某后悔莫及——讲义气，更要守法律，否则，得不偿失！ ​​​​                                            ", 2015-7-30 11:00,转发,评论,2,微博 weibo.com,CttLylc5v
32,"
                                                                                                    【警讯快报】讲义气？NO，只是害自己！本是酒店老板的付某为帮朋友解决经济纠纷，邀约十几名社会青年手持棍棒将两名男子打伤后逃走，后被高新分局列为网上逃犯追捕，7月20日被抓获，现已被高新警方刑事拘留。谈起此事，付某后悔莫及——讲义气，更要守法律，否则，得不偿失！@平安襄阳 ​​​​                                            ", 2015-7-30 10:37,转发,评论,4,360安全浏览器,CttCtpn33
33,"
                                                                                                    【警方提示】消费维权小知识，小伙伴们看过来哦！@平安茅箭 ​​​​                                            ", 2015-7-30 09:12,4,评论,1,360安全浏览器,Ctt45rqG0
34,"
                                                                                                    【“焦警”心声】如果这两天您报警，请给处警的民警一点耐心，能忍着近40度的高温，没有空调，顶着烈日，他们离烤肉只差一撮孜然......当空调、电扇里吹出阵阵凉风，他们却正在火热的路面奋战，他们的家人正担心他们的身体，等待他们平安归来……致敬，焦警！@平安宜昌 ​​​​                                            ", 2015-7-30 08:35,10,1,16,360安全浏览器,CtsP2h6DG
35,"
                                                                                                    平安每天报·早安心情好——若是自己没有尽力，就没有资格批评别人不用心；开口抱怨很容易，但是闭嘴努力的人更值得尊敬。共勉，早安 ​​​​                                            ", 2015-7-30 07:27,4,3,5,iPhone 6 Plus,CtsnemZIP
36,"
                                                                                                    平安每天报·晚安时间到——荆哥最近熬夜写东西，感觉眼睛疼疼的#今天怎~么不~开心~#然而明天还要早起上班晚安了 ​​​​                                            ", 2015-7-29 22:48,1,8,5,iPhone 6 Plus,CtoYNdJsw
37,"
                                                                                                                                                ", 2015-7-29 22:06,30,4,3,iPhone 6 Plus,CtoHDsdNE
38,"
                                                                                                    【蛛丝马迹露端倪，民警盘查抓获盗窃团伙】近日，襄阳市公安局高新警方在巡逻时查获一起摩托车盗窃团伙。民警在巡逻中发现三名男子形迹可疑遂上前盘问，发现摩托车锁芯被撬，并当场搜出盗窃作案工具。经过审查，三名男子交代在老河口盗窃事实。目前三人已移交老河口警方处理。@襄阳高新分局110 ​​​​                                            ", 2015-7-29 18:47,1,评论,4,iPhone 6 Plus,CtnoPoL1S
39,"
                                                                                                    【警方动态】7月29日上午，根据全市“大练兵”活动统一部署，襄阳市公安局高新分局@襄阳高新分局110 在诸葛亮露天体育场开展队列会操演练，为保证训练效果，队员们克服炎热，放弃休假，认真体会练习动作要领，充分展示参训民警团结一致、顽强拼搏的精神风貌。 ​​​​                                            ", 2015-7-29 18:17,1,1,10,iPhone 6 Plus,CtncsjevB
40,"
                                                                                                    【刑侦大队积极追赃获群众好评】6月1日凌晨，两名流窜于宜昌、十堰的惯犯在十堰郧阳区位于新华书店旁的联通营业厅实施入室盗窃。6月30日，十堰市公安局郧阳区分局@平安郧阳 将犯罪嫌疑人绳之以法后展开积极追赃，目前已成功追回部分赃物赃款↓↓↓ ​​​​                                            ", 2015-7-29 16:51,2,2,4,专业版微博,CtmDGngwM
