序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
20,"
                                                                                                    【云南省国家级传统村落数量居全国第一】云南省住房和城乡建设厅厅长罗应光介绍，自2012年全省传统村落调查工作启动以来，我省传统村落登记上报1371个，其中294个列入国家级传统村落名录，占全国国家级传统村落总数的20%，数量位居全国之首。O云南省国家级传统村落数量居全国第一 ​​​​                                            ", 2014-4-30 12:00,8,6,4,人民微管家,B26JXwtcl
21,"
                                                                                                    【五一泥石流国际汽车越野赛与您相约东川】2014中国东川泥石流国际汽车越野赛将于4月26日至5月7日在昆明市东川区境内举行。来自澳大利亚等国的摩托车顶尖车手，将在汽车超级短道赛比赛现场表演空中翻飞和人车分离、迅即合一等高难度的摩托车特技。相约东川，感受速度和激情！O五一泥石流国际汽车越野赛与您相约东川 ​​​​                                            ", 2014-4-30 11:30,1,2,2,人民微管家,B26xMhaUl
22,"
                                                                                                    【缅中两国首都间第一条往返航线开通 助力云南桥头堡建设】4月29日，中国与缅甸两国首都间（北京—昆明—内比都）第一条往返国际航线开通，这是自缅甸迁都至内比都后，中缅两国首都间第一条往返国际航线。内比都航线是东航继仰光、曼德勒后开通的第三条中缅空中通道。O缅中两国首都间第一条往返航线开通 助力云南... ​​​​                                            ", 2014-4-30 11:00,4,评论,6,人民微管家,B26lBzRit
23,"
                                                                                                    【""哈尼梯田杯""第三届云南本土歌曲创作与演唱大赛火热报名】“哈尼梯田杯”第三届云南本土歌曲创作与演唱大赛正在火热报名中，时间为2014年4月24日至2014年5月20日，报名地点为省音协办公室及省各州市音协、各高校音乐学院（音乐系）；比赛时间为2014年5月28日至2014年6月1日。O""哈尼梯田杯""第三届云南本土歌曲创作与演唱大... ​​​​                                            ", 2014-4-30 10:30,2,评论,2,人民微管家,B269qzFCr
24,"
                                                                                                    //@春城晚报: 【如何购票】①普通储值票（卡）：只要20元押金，以10元的整数倍进行充值即可。②老年卡：老年免费卡和老年优惠卡可由亲属代办，无需年检，老年优惠卡到期后，可到办理点退卡，申请老年免费卡。③单程票：持50元及其以下的纸币到自动售票机处购买。④学生卡：5折优惠，无需年检。                                            ", 2014-4-30 10:17,15,11,61,360安全浏览器,B264a6c8F
25,"
                                                                                                    【云南表彰劳动模范和先进工作者】29日，云南省第二十一届劳动模范和先进工作者表彰大会在昆明隆重举行，来自全省各行各业的300名劳动模范和先进工作者，29名职工技术技能大赛技术状元和260名技术能手，以及荣获全国五一劳动奖状、全国五一劳动奖章和全国工人先锋号的单位、集体和个人受到表彰。云南网 ​​​​                                            ", 2014-4-30 10:00,1,1,1,人民微管家,B25XfiYbB
26,"
                                                                                                    转发微博                                            ", 2014-4-30 09:33,4,评论,13,360安全浏览器,B25Mi0ta8
27,"
                                                                                                    星云湖位于云南省玉溪市江川县城北1公里处，与抚仙湖仅一山之隔，一河相连，俗称江川海。由于湖水碧绿清澈，波光妩媚迷人，月明之夜，皎洁的月光映照湖面，如繁星闪烁，坠入湖中，晶亮如云，故而取名为星云湖。@玉溪发布厅                                            ", 2014-4-30 09:31,11,3,1,360安全浏览器,B25LtsjJd
28,"
                                                                                                    【今日昆明地铁首期工程全线贯通 春城迎来地铁时代】4月30日凌晨6点20,晨光微熙,雨中的地铁站焕然一新,代表昆明地铁首期工程全线贯通试运营的第一列机车从北部客运站开出。从此时起,昆明城才有了打通整个城市南北向的地铁干线,春城真正迎来地铁时代。O4月30日昆明地铁首期工程全线贯通 春城迎来地... ​​​​                                            ", 2014-4-30 09:00,19,9,17,人民微管家,B25yTlJm7
29,"
                                                                                                    【分享 云南之美】云南，一个将生活过成一首诗的地方。据@云南旅游必读   ​​​​                                            ", 2014-4-29 22:02,14,7,10,人民微管家,B21fOgUTR
30,"
                                                                                                                                                ", 2014-4-29 21:47,37,6,1,360安全浏览器,B219Lznin
31,"
                                                                                                    中毒没？                                            ", 2014-4-29 21:47,44,13,7,360安全浏览器,B219CrxPR
32,"
                                                                                                    【慎用指甲油！】指甲油本身含有有毒有害物质，对于皮肤敏感人群、孕妇等是绝对不建议使用的。指甲油中含有碳酸酯，长期被人体吸收，容易引起孕妇流产及畸形儿的发生，还会影响婴儿腰部以下的器官，引起生殖器畸形，这就是碳酸酯阻碍雄性激素发挥作用造成的恶果。据@凤凰卫视 ​​​​                                            ", 2014-4-29 21:00,15,6,5,人民微管家,B20QE5EV8
33,"
                                                                                                    【大理白族扎染】2006年5月入选国家级非物质文化遗产保护名录。扎染在民间也叫“疙瘩染”。一般以白棉布为原料，板蓝根为染料。扎染主要有画刷图案、绞扎、浸泡、染布、蒸煮、晒干、拆线、碾布等步骤。图案多为表现自然、花鸟和寓意吉祥的题材，大致约一千多种纹样。据@大理非物质文化遗产博物馆 ​​​​                                            ", 2014-4-29 20:00,16,4,5,人民微管家,B20sj0RSz
