序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
24,"
                                                                                                    #行在南京#7月31日起江宁出租车正式调价，起步价从6元/2公里调整至9元/3公里，而且与市区的出租车一样，江宁出租车早晚高峰期也要“双计费”了，每等5分钟就相当于多坐了1公里。眼看着江宁的出租车价格向市区看齐，今后在江宁打哪种出租车在费用上的差别将相差无几。 ​​​​                                            ", 2015-7-31 10:00,转发,3,2,南京旅游网站群,CtCNK9BDH
25,"
                                                                                                    【印度向中国公民发放电子签证】印度驻华使馆昨天发布，前往印度旅游的中国公民可在网上申请电子签证。①至少提前4个工作日申请签证，签证费60美元 ②停留期30天，不能延签 ③只能从新德里、孟买、加尔各答等9个国际机场入境。泰姬陵、阿格拉红堡、恒河…你想去吗？ ​​​​                                            ", 2015-7-31 09:30,转发,评论,赞,皮皮时光机,CtCBAkriK
26,"
                                                                                                     没有买卖就没有杀害,保护野生动物刻不容缓                                            ", 2015-7-31 08:55,1,1,2931,南京旅游网站群,CtCnlqlR1
27,"
                                                                                                    #历史上的今天#1849年7月31日,匈牙利爱国诗人裴多菲在瑟克什堡大血战中同沙俄军队作战时牺牲,仅26岁。裴多菲的诗在匈牙利广为流传,并且被翻译成数十种语言,为国外读者所熟悉。鲁迅先生在《为了忘却的记念》一文中,曾引用了裴多菲的一首诗：“生命诚宝贵,爱情价更高；若为自由故,二者皆可抛！” ​​​​                                            ", 2015-7-31 08:22,转发,1,1,南京旅游网站群,CtC9VjeoQ
28,"
                                                                                                    #天气预报#大家早安！市气象台今日发布的天气预报：全市晴到多云，午后到夜里局部有时阴有阵雨或雷雨；西南风白天4级左右，夜里2到3级；最高气温35℃左右，明晨最低气温27℃到28℃。  ​​​​                                            ", 2015-7-31 07:40,转发,1,1,南京旅游网站群,CtBSTdaiB
29,"
                                                                                                    #心灵鸡汤#【30个建议给正奋斗的你】①真诚面对自己，你爱自己，别人才会爱你；②不怕失败，青春有无数机会重来；③给梦想一次破茧而出的机会；④保持开放不封闭的心态；⑤不断超越过去的自己，人生的赛跑，你的终极对手只有一人，那就是你自己。 ​​​​                                            ", 2015-7-30 23:09,转发,评论,2,皮皮时光机,Ctyxt7XI8
30,"
                                                                                                    #温馨提示#十幅高情商的画，告诉你朴素的人生哲理，快来学习吧！ ​​​​                                            ", 2015-7-30 22:24,2,评论,2,南京旅游网站群,Ctyfcc91X
31,"
                                                                                                                                                  ", 2015-7-30 21:39,转发,1,3,南京旅游网站群,CtxWX3UvA
32,"
                                                                                                    #光影南京#日落江边红胜火！~@心火燎缘-徐毓马 摄于燕子矶 ​​​​                                            ", 2015-7-30 20:54,转发,评论,1,皮皮时光机,CtxEIcmLo
33,"
                                                                                                    #南京旅游#【溧水夏季三日游旅游线路推荐】线路：傅家边→山凹村→竹海大道→无想山→天生桥→卧龙湖→大金山→周园→怡人山水；特色：享受水果采摘乐趣——寻找历史踪迹——漫步自然呼吸——探寻慢生活密码 。等你来哦 @溧水区旅游局 @溧水发布 ​​​​                                            ", 2015-7-30 20:09,8,3,1,南京旅游网站群,Ctxmsb5Wt
34,"
                                                                                                     //@高淳发布: 每晚，开心的不仅是蚊子，更是围观的我们啦！                                            ", 2015-7-30 19:00,1,评论,赞,南京旅游网站群,CtwUoC9EJ
35,"
                                                                                                                                                ", 2015-7-30 18:15,-1,评论,6,iPhone 6 Plus,CtwCetBuz
36,"
                                                                                                    #温馨提示#【常喝三汤，远离失眠】失眠有很多原因，血虚就是其中的一个。对于血虚失眠的人，今天小编就介绍三种汤，帮助你们扫除困扰。  ​​​​                                            ", 2015-7-30 17:54,3,评论,1,南京旅游网站群,CtwtBCYaU
37,"
                                                                                                    关注                                            ", 2015-7-30 17:18,4,1,843,iPhone 6 Plus,CtwfbcEXR
38,"
                                                                                                    家长必修，不能让悲剧重演！                                            ", 2015-7-30 17:10,1,评论,42,iPhone 6 Plus,CtwbX8QdL
39,"
                                                                                                                                                  ", 2015-7-30 17:09,1,评论,14,南京旅游网站群,Ctwbl24iA
40,"
                                                                                                    在学校读书，只为离学校求职业做准备，这种读书并不算真读书。离开学校后，不论任何职业、环境而读书，才是必需的，但又是自由的                                            ", 2015-7-30 17:07,3,评论,171,iPhone 6 Plus,CtwaQz2fj
41,"
                                                                                                    【科学家发现第六种味道：“肥”】科学界普遍认同“五味”为酸、甜、苦、咸、鲜，但美国珀杜大学科学家新近确认第六种味觉——肥。什么是“肥”？试想一口咬住多汁牛排时的感觉…如果可以把“肥”提炼成一种作料，把黄瓜吃出烤肉味，将不再难。O科学家发现酸甜苦咸鲜外第六种味道——“肥”今天，你吃出“肥”味了吗？ ​​​​                                            ", 2015-7-30 16:24,1,评论,1,皮皮时光机,CtvT7m4JN
