ID,微博内容
22,#阜宁灾情抢险救援# 【江苏电网运行全力保障盐阜地区用电】6月23日14时30分左右，盐城阜宁地区出现强雷电、暴雨、冰雹、龙卷风等强对流天气，造成房屋倒塌、人员伤亡、道路受阻、部分地区电力中断。国网江苏省电力公司快速应对，及时调整电网运行方式，全力保障盐阜地区用电。????????此次灾害造成阜宁地 ????????...展开全文c
23,#阜宁强龙卷风# 6月24日下午，盐城供电公司抢修人员正在阜宁县新沟镇大楼村抗灾救灾指挥部调试一台360千瓦发电机，保证抗灾救灾指挥部和受灾村民晚上照明生活用电。@国家电网 @电网头条 @国资小新 @亮报 @中国电力新闻网 @国家电网报手机报 @国家电网报 ????????
24,#阜宁强龙卷风# 6月24日早上6点，连云港供电公司首批支援抢修工作人员奔赴盐城阜宁支持抢修工作。8点27分，支援抢修队到达盐城市阜宁供电公司，8点45分两台发电车分别到达阜宁县人民医院北院和南院两个现场，到达医院后立即开始放电缆线、核相。据了解，他们的任务主要是保障手术室和ICU，以及门诊楼台 ????????...展开全文c
25,#阜宁强龙卷风# 截至24日11时，灾害中受损的盐城地区1条110千伏、8条35千伏、25条10千伏线路和786个台区恢复送电，6.93万户停电用户恢复用电。1125个台区的6.57万用户由于房屋受损等原因短期内难以恢复。@国家电网 @电网头条 @国家电网报手机报 @国网江苏电力95598 @国家电网报 @亮报 @国资小新????????????...展开全文c
26,#阜宁强龙卷风# 截至24日8时，灾害中受损的盐城地区1条110千伏、8条35千伏、25条10千伏线路和1252个台区恢复送电，4.28万户停电用户恢复用电。其它未恢复的线路和台区正在紧张抢修中，其中重要用户阜宁水厂已安排2辆应急发电车到现场提供保电。阜宁县政府利用当地一所学校作为灾民安置点，盐城公司3辆 ????????...展开全文c
27,#阜宁强龙卷风#????6月24日，国网江苏省电力公司无锡供电公司连夜准备救援物资，集中救援力量，于早上7点整前准备就绪，第一批由35名抢修队员，6辆抢修车辆组成的电力抢修突击队伍于7点30分驱车驶往盐城（阜宁）投入电力抢修工作。@电网头条 @国网江苏电力@国网江苏电力95598 @国家电网@国家电网报 ????????...展开全文c
28,国网江苏电力最新消息：龙卷风、冰雹等天气造成盐城局部地区输电塔受损，多个地方跳闸，盐城电力部门立即组织抢险，有900多人快速投入了救灾工作，全省发电车已经奔赴现场，开展抢修保障工作，此外120辆车随时待命。电网主网运行正常，低压电网的抢修工作正在紧张紧急24小时不间断地进行。@电网头条????????????...展开全文c
29,#阜宁加油# 6月23日14:15左右盐城市阜宁县狂风暴雨雷鸣，局部地区遭遇强龙卷风，风力约17级，现场房屋倒塌较多。目前，经现场初步了解，500kV线路跳闸2条，两基塔倒塔。220kV线路跳闸4条，倒塔4基。35kV跳闸5条。10kV线路跳闸25条。江苏省电力公司已经组织第一时间奔赴现场，联合地方政府，组织运检、 ????????...展开全文c
30,7月26日18时58分，滨海县滨海港镇木楼村遭遇龙卷风袭击，造成35千伏八振线9支线杆不同程度受损，120导线断线一根。由于断线位于玉米地中间，道路不通所有物资全靠人员肩扛，步行两公里才能到抢修现场，目前国网滨海县供电公司正组织抢修。@盐城晚报的微博 @亮报 @电网头条 @国网江苏电力 @国家电网报 ????????
31,#阜宁加油 抗灾复电#一夜无眠！龙卷风、冰雹等天气造成盐城局部地区输电塔受损，多个地方跳闸，盐城电力人立即组织抢险，有900多人投入了救灾工作，全省14辆发电车已经奔赴现场，开展抢修保障工作，此外120辆车随时待命。电网主网运行正常，低压电网的抢修工作正在24小时不间断地进行。向依然战斗在一 ????????...展开全文c
32,#江苏盐城龙卷风冰雹# 有一种爱叫做舍身忘己，有一种真叫做无私奉献，有一种精神叫做众志成城。“6·23盐城龙卷风冰雹特大灾害”发生后，党中央、国务院作出重要批示，省委和省政府主要领导高度重视，当晚即赶到灾区现场指挥。省卫生计生委第一时间启动应急响应，全力组织做好医疗救治和卫生防疫工作， ????????...展开全文c
33,#江苏盐城龙卷风冰雹# 多家媒体跟踪报道盐城风雹灾害救助情况：省市县医务工作者持续推进救治、防疫工作。详情请看：O微新闻︱媒体报道：盐城风雹灾后救治、防疫持... ????????
34,#江苏盐城龙卷风冰雹# 近日，江苏省市县卫生计生部门在全力做好受伤人员医疗救治工作的同时，迅速开展灾后卫生防病工作。截至26日24时，疾病监测未发现异常情况。详情请看：O微新闻 | 省市县卫生计生部门迅速开展灾后卫... ????????
35,#江苏盐城龙卷风冰雹# 灾后疫情防疫工作全面启动： L秒拍视频 . ????????
36,#江苏盐城龙卷风冰雹# 中国医师节：救死扶伤的坚守，请看报道：O网页链接 ????????
37,#江苏盐城龙卷风冰雹# 伤员救治最近情况： L秒拍视频 . ????????
38,#江苏盐城龙卷风冰雹# 6月23日白昼如夜的下午，狂风扫过江苏盐城阜宁县、射阳县的几个乡镇，给大地留下了一条弧形带状的伤疤，所到之处无不断壁残垣、一片狼藉。面对这场突如其来的灾难，各级卫生应急力量在第一时间行动，医疗救治、疾病防控很快展开，很多人度过了两个难忘的不眠之夜。请看报道： ????????...展开全文c
39,#江苏盐城龙卷风冰雹# 背着背包问诊，网友称“这个姿势赞”，其实是驰援的省人医医生包里装着救命药。请看报道：O网页链接 ????????
40,#江苏盐城龙卷风冰雹# 【把党旗插在受灾最严重的地方】阜宁、射阳极端天气灾害发生后，全省各级党组织、各地党员领导干部挺身在前，冲锋战斗在第一线，把党旗插在受灾最严重的地方，用实际行动来体现各级党组织和广大党员的战斗力、影响力、凝聚力、向心力。请看报道：O网页链接 ????????
41,#江苏盐城龙卷风冰雹# 多家媒体报道灾后救治防疫有序推进，详情请看：O微新闻 | 多家媒体报道灾后救治防疫有序推进 ????????
42,#江苏盐城龙卷风冰雹# 江苏卫生计生委发布灾区食品卫生核心信息，详情请看：O微专题 | 江苏卫生计生委发布灾区食品卫生核... ????????
43,#江苏盐城龙卷风冰雹# 江苏卫生计生部门全力救治盐城龙卷风冰雹严重灾害受伤人员，详情请看：O微新闻 | 江苏卫生计生部门全力救治盐城龙卷... ????????
44,#江苏盐城龙卷风冰雹# 【泗洪卫生计生委及康复医院职工为阜宁灾区踊跃捐款】6月23日阜宁县遭遇特大暴雨、龙卷风和冰雹袭击后，泗洪县卫生计生委立即组织泗洪康复医院骨科、脑外科、急诊科组成的医疗救援小组星夜赶赴阜宁受灾较为严重的陈良镇新涂村开展救治工作。救灾的同时，泗洪县卫生计生委及康复医 ????????...展开全文c
45,#江苏盐城龙卷风冰雹# 【现场报道】盐城阜宁：龙卷风后第三天。详情请看：O（盐城龙卷风灾害现场报道）盐城阜宁：龙卷风... ????????
46,#江苏盐城龙卷风冰雹# 【江苏盐城龙卷风冰雹灾害善后处置有序推进】卫生计生部门正全力救治江苏省阜宁县和射阳县龙卷风灾害伤员，截至目前，已经有102人出院，继续留院治疗的病人有744人。医院救治、灾后防疫正高效有序地展开。详情请看：O江苏盐城龙卷风冰雹灾害善后处置有序推进 ????????
47,#江苏盐城龙卷风冰雹# 阜宁县射阳县龙卷风伤员医疗救治情况，详情请看长图： ????????
48,#江苏盐城龙卷风冰雹# 江苏疾控人员灾区消杀，确保灾后无大疫。°江苏疾控人员灾区消杀 确保灾后无大疫 ????????
49,#江苏盐城龙卷风冰雹#????盐城市迅速开展医疗卫生应急救援，全力构筑生命“绿色通道”。O网页链接 ????????
50,#江苏盐城龙卷风冰雹# 江苏盐城：加紧救治龙卷风冰雹灾害伤员。 L秒拍视频 . ????????
51,#江苏盐城龙卷风冰雹# 卫生计生队伍全力投入盐城救援，详情请看链接： O【突发】卫生计生队伍全力投入盐城救援 ????????
52,#江苏盐城龙卷风冰雹# 江苏省阜宁人民医院保证伤员救治，想方设法腾出床位。请看央广网记者报道：O江苏市阜宁人民医院保证伤员救治 想方设法腾... ????????
