序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
16,"
                                                                                                    【今天是个“大日子”——国际不打小孩日！】从来没有被爸爸妈妈打过的童鞋，骄傲地举个手啊！今天是“国际不打小孩日”，也称“拒绝体罚日”，旨在宣传正面管教方法。家长们，多点耐心与倾听，多点赞誉与引导，孩子就会多一点快乐哦！拜托各位，今天不演“武打片”哦！via@人民日报 ????????                                            ", 2013-4-30 10:01,1481,247,34,专业版微博,zuvSUwVBs
17,"
                                                                                                    【“王二小”老故事有了新电影[走你]】#文化资讯#“牛儿还在山上吃草，放牛的却不知哪里去了……”还记得小英雄“王二小”的课文吗？还会唱《歌唱二小放牛郎》的歌吗？暴露年龄的哦！@上海美术电影制片厂 的动画电影《西柏坡2：英雄王二小》已在本市62家东方影院放映啦，带孩子去看看吧[电影] ????????                                            ", 2013-4-30 09:29,153,126,8,专业版微博,zuvG2pRtX
18,"
                                                                                                    【本市调整完善灵活就业人员参加城保办法】#劳动保障#自谋生活，担心没有社会保障？灵活就业人员也可参与城保!@上海12333 说，符合条件的灵活就业人员可以参加城镇职工基本养老、医疗保险。5月1日起，相关办法将进一步调整完善。参保对象、参缴险种和比例、缴费与待遇等详见长微博，或咨询@上海12333 ????????                                            ", 2013-4-30 08:56,136,29,14,专业版微博,zuvsMm5iR
19,"
                                                                                                    【早7时全市PM2.5小时浓度37.2】#空气质量#放假又下雨，真心不开心，可是今天空气质量不错，稍感安慰~~来看PM2.5各监控点浓度值：最高的虹口凉城为57.2，最低的浦东张江为24.2。更多信息请关注@上海环境??或登录上海空气质量实时发布系统O上海市空气质量实时发布系统 ????????                                            ", 2013-4-30 07:46,188,53,14,专业版微博,zuv0gpEw2
20,"
                                                                                                    【今天急速降温10度，最高仅17度，阴有雨转阴到多云】#早安上海#魔都的天气有多纠结，用数字来说话！作为4月的最后一天，今天最高17度，和1月-3月各月最后一天相比，居然毫无优势！！难以置信，对不对？事实是，1月31日最高17度，2月28日最高17度，3月31日最高16度~~ ????????                                            ", 2013-4-30 07:00,895,175,21,专业版微博,zuuHMvrXA
21,"
                                                                                                    【每日一书??《日夜书》】#灯下夜读#TA们曾经都是知青，而今成为官员、工人、企业家、艺术家，50后的人生轨迹和恩怨纠葛，折射出人性的光辉和时代的变迁。@韩少功 以大眼界诊断时代，以大悲悯直指人心，写了一部具有社会广角与人性深度的心灵之作。@上海文艺出版社 ????????                                            ", 2013-4-29 22:12,36,13,6,专业版微博,zurfoFTyN
22,"
                                                                                                    【上海野生动物园非洲区、亚洲区正式开放[撒花]】#探索上海#五一小长假去哪里玩?@上海野生动物园 隆重推出新建的非洲动物区和亚洲动物区，非洲区不仅有犀牛、长颈鹿、河马等大型食草动物，也有非洲草原大迁徙主角——角马；亚洲区则有海南坡鹿、梅花鹿、骆驼等十几种食草动物。想不想去感受下[花心] ????????                                            ", 2013-4-29 21:19,458,118,17,专业版微博,zuqTUBKWj
23,"
                                                                                                    【健身房里的六个误区】#便民提示#闲暇时去健身房锻炼身体，放松精神也增强体质！[奋斗]不少人一边跑步一边读杂志、不吃早餐去参加有氧操班、一定要运动到大汗淋漓……其实这些都不正确哦！@徐汇体育 提示大家避免六个最糟糕的体育锻炼习惯，充分用好在健身房的时间哦 ????????                                            ", 2013-4-29 20:29,310,70,28,专业版微博,zuqzu9ziE
24,"
                                                                                                    【高三的考生家长看过来！2013高考咨询问答集萃】#教育新知#复习备战高考已经要进入冲刺阶段，志愿如何填写很关键！@上海教育@上海国子监 今天下午连续4个小时直播+微访谈，回答考生和家长的问题。小布选取了部分问答，什么时候开始填志愿？平行志愿是怎么回事？要不要愿意调剂？…来看长微博吧 ????????                                            ", 2013-4-29 19:19,260,32,13,专业版微博,zuq75y6y0
25,"
                                                                                                    【今天下半夜雨量中到大，明天阴有雨转阴到多云，13-16度】#天气预报#欢迎免费体验4D ""魔都天气""。今晚你将感受纯自然、无添加、声光俱全的超抓狂体验。雨水、闪电、雷声、降温,感悟天气变幻的真谛。晚归筒子请自备雨伞、避雷针等体验工具，造成""落汤鸡""、感冒等不良后果,""魔都天气""概不负责 ????????                                            ", 2013-4-29 17:34,766,134,13,专业版微博,zupqvEczY
