序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【快讯：四川西昌一酒店发生大火 明火已扑灭】今日18点左右，四川西昌中心城区尚雅酒店突发大火，目前大火基本被扑灭。截至20时，消防车仍在清理余火，尚未接到人员伤亡报告。受大火和救援影响，该路段临时交通管制，多辆公交车改道而行。（四川日报） ????????                                            ", 2016-1-31 21:00,转发,评论,赞,Weico.iPhone,DfIiQ0WhI
2,"
                                                                                                    【九图带你看懂，2月1日起哪些新规将影响你我生活！】                                            ", 2016-1-31 20:59,转发,评论,15,Weico.iPhone,DfIiC800E
3,"
                                                                                                    对生命负责，勿做低头族！                                            ", 2016-1-31 19:13,转发,评论,911,HTC Desire 820,DfHBzz66p
4,"
                                                                                                    广铁提醒：旅客候车勿提前超3小时 ????????                                            ", 2016-1-31 14:39,转发,评论,赞,HTC Desire 820,DfFOd4rtx
5,"
                                                                                                    【小孩子玩鞭炮安全隐患多[最右]】①不单独燃放鞭炮 ②放鞭炮地点要开阔③要把鞭炮固定住④远离柴火堆等易燃物⑤放完不要马上靠近燃放区⑥哑炮“不靠近⑦不要将鞭炮放进玻璃瓶等器皿中燃放⑧燃放鞭炮不打闹⑨不把鞭炮扔进井盖下水道等地方,这里往往有沼气,会引发爆炸!尽可能不放鞭炮!@北京消防 ????????                                            ", 2016-1-31 14:06,转发,评论,赞,HTC Desire 820,DfFAPmZeR
6,"
                                                                                                    【冬天别做这些事，危险！】①用洗衣机洗羽绒服：易爆炸；②加油前不消除静电：油雾与静电火花相遇可能引发明火；③不及时清理烟囱：易造成煤气中毒；④车内开暖气睡觉：可能导致一氧化碳中毒；⑤使用万用孔插座：容易使接触片过热导致火灾；⑥买电极式热水袋：容易短路或爆炸…万万想不到↓↓ ????????                                            ", 2016-1-31 13:09,1,评论,赞,Weico.iPhone,DfFdJorZJ
7,"
                                                                                                    【春节防火早知道】农历新年要到了，你造吗？春运正式开始了，你造吗？这段时间是事故高发期，你造吗？常用消防安全知识你不知道？@龙江消防 ????????                                            ", 2016-1-31 10:51,转发,评论,赞,HTC Desire 820,DfEjsfx4y
8,"
                                                                                                    广州天气寒冷 8天30人洗澡时一氧化碳中毒死亡                                            ", 2016-1-31 10:50,转发,评论,36,HTC Desire 820,DfEjadsOI
9,"
                                                                                                    【一图看懂：春运返乡自驾走高速 哪些危险行为会致命？】家，是父母的怀抱，是温馨的港湾。蜀黍希望每一个人都能安全、文明地抵达各自的目的地，轻松享受来之不易的温暖。那么问题来了：如何才能安全抵达温馨的港湾呢？@北京消防 ????????                                            ", 2016-1-31 10:48,转发,评论,赞,HTC Desire 820,DfEigkgwq
10,"
                                                                                                    #消防提示#【不是什么都能“微波”的】微博炉能做很多美食，看上去好像无所不能。但是，微波炉也有自己的难处，有些东西就不要放进去了吧，会很危险的，我们给大家制作了使用纠错指南，戳图学习啦↓@陕西消防 ????????                                            ", 2016-1-31 10:43,转发,评论,赞,HTC Desire 820,DfEgerYWH
11,"
                                                                                                    【别让“它受伤了”】1、严禁擅自使用、移动、拆除公共消火栓；2、严禁埋压、圈占、损坏公共消火栓及其附属设施；3、严禁在公共消火栓周围10米范围内摆摊设点、泊车、堆放物品或修建妨碍灭火取水的建筑物；4、其他损害公共消火栓、妨碍消火栓使用的行为。@成都市公安消防支队 ????????                                            ", 2016-1-31 01:10,转发,评论,赞,微博 weibo.com,DfAvFlRIf
