序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    大雪天路滑易结冰，司机朋友一定要小心驾驶。阴暗的地方、桥梁上、高架道路及小路口容易结冰，开车经过这些地方时，必须加倍小心。遇有突发状况，尽量减速，并保持镇定。在冰雪路段，需要控制行车的速度与方向，切勿猛打方向盘                                            ", 2016-1-31 16:27,83,5,20,华为 P8max,DfGvS5aK7
2,"
                                                                                                    【莫斯科一工厂火灾致８人死亡】位于莫斯科市东部一家工厂３０日晚发生火灾，至少造成８人死亡。据塔斯社报道，该工厂火灾过火面积超过５００平方米，还造成这家工厂一间厂房顶棚坍塌。目前大火已被扑灭，调查人员在现场发现多处着火点，存在人为纵火的可能性。O莫斯科一工厂火灾致８人死亡                                            ", 2016-1-31 12:37,56,5,1,华为 P8max,DfF0EhlOd
3,"
                                                                                                    【彻底清除隐患】不能清出了家里的不安全因素，增加了公共区域的火灾隐患！                                            ", 2016-1-31 10:51,149,7,5,华为 P8max,DfEjDqSha
4,"
                                                                                                                                                ", 2016-1-31 10:51,105,5,4,华为 P8max,DfEjwC4e5
5,"
                                                                                                    #全国消防电视公益广告大赛获奖作品展播#【预防多一点，火灾少一点】生活中常见的消防安全隐患，其实要消除他们很简单，只要您多留心，就能防患于未然。由云南消防总队制作的这则公益广告，用新年剪纸的表现形式，提醒您注意消防安全，获得公益广告大赛二等奖。L预防多一点 火灾少一点 ????????                                            ", 2016-1-31 10:45,70,3,5,微博 weibo.com,DfEh1cbVk
6,"
                                                                                                                                                ", 2016-1-30 19:56,158,6,128,华为 P8max,DfyspoPNA
7,"
                                                                                                                                                ", 2016-1-30 19:56,86,8,7,华为 P8max,DfysevjeP
8,"
                                                                                                                                                ", 2016-1-30 19:48,76,6,1067,华为 P8max,DfypfvEdy
9,"
                                                                                                    及时灭火，避免火烧连营！                                            ", 2016-1-30 19:48,33,4,53,华为 P8max,DfyoYmM6i
10,"
                                                                                                    【郭声琨：逆火而行感动了全国人民】他说，公安消防部队牢记使命、忠诚履职，顽强拼搏、扎实工作，始终坚持人民利益至上，在一次次血与火、生与死的严峻考验面前，不畏艰险、英勇奋战，作出了巨大奉献和牺牲。他们逆火而行、勇往直前的身影，感动了全国人民，不愧为党和人民的忠诚卫士。                                            ", 2016-1-30 10:32,374,43,45,微博 weibo.com,DfuLshxet
11,"
                                                                                                    #全国消防电视公益广告大赛获奖作品展播#【“毛子哥”系列消防公益广告】春节快到了，要安全燃放烟花爆竹；家庭消防安全应注意点啥？“三清三关”是指什么？看“毛子哥”教您消防安全知识。该系列获得全国消防电视公益广告大赛二等奖L“毛子哥”系列消防公益广告1 L“毛子哥”系列消防公益广告2 L“毛子哥”系列消防公益广告3 ????????                                            ", 2016-1-30 10:32,71,4,8,微博 weibo.com,DfuLfi5ev
12,"
                                                                                                    【郭声琨：提升消防工作水平 服务经济社会发展】郭声琨强调，要深入学习贯彻习近平总书记系列重要讲话和关于公共安全工作的重要指示精神，聚焦风险防控，坚持改革创新，不断加强和改进消防工作，更好服务经济社会发展，最大限度保护人民群众生命财产安全。 °郭声琨：提升消防工作水平 服务经济社会发展 ????????                                            ", 2016-1-30 09:29,612,38,45,微博 weibo.com,DfulV3dvG
13,"
                                                                                                                                                ", 2016-1-30 06:55,69,13,35,华为 P8max,Dftls39NM
14,"
                                                                                                    36天的救援，今晚将见证奇迹！                                            ", 2016-1-29 20:50,106,6,836,微博搜索,DfpnzA3iq
15,"
                                                                                                    春节放烟花爆竹是孩子们最开心的事儿，监护人一定要教育熊孩子别向窨井里扔鞭炮！                                            ", 2016-1-29 16:56,143,6,1632,华为 P8max,DfnQRguZJ
16,"
                                                                                                    #全国消防电视公益广告大赛获奖作品展播#【元芳之死】狄仁杰有个口头禅“元芳，你怎么看？”在这则公益广告中也不例外，这不，两人正吃饭，突然着火了，元芳怎么逃生？发生了什么？什么是错误的逃生方法？这则由云南消防总队制作的公益广告或许能给您一些启发。L狄仁杰之防火篇 ????????                                            ", 2016-1-29 11:00,81,4,6,微博 weibo.com,Dflw7a00j
17,"
                                                                                                    【消防员救完火淋雨睡着了……看着心疼心酸】福州支队的消防员经过一夜的火灾现场清理，他们累了，他们淋着雨抱着水袋就睡着了，看着实在心疼，眼泪差点流下。福建新闻晨报的记者记录下这感人瞬间，同时也呼吁大家注意消防安全，减少损失，理解消防员致敬！ ????????                                            ", 2016-1-29 09:25,175,32,207,微博 weibo.com,DfkTTkG4q
18,"
                                                                                                    【家庭防火好习惯】每天出门或夜间就寝前，抽出三至五分钟时间，对家里液化气炉具、电气线路、门窗等彻底检查一遍，确认没有问题后，方可出门或就寝；平时日常生活中，就要养成“三清三关”的好习惯，即：“阳台清、过道清、厨房清；关电源、关煤气、关门窗”。 ????????                                            ", 2016-1-29 08:32,268,10,18,微博 weibo.com,Dfky2tN1C
19,"
                                                                                                    【假期已来临，家长应教孩子些东西】一、教会孩子背诵家庭电话号码、所住城市和小区名、家庭成员的名字；二、教会孩子遇事拨打110求助；三、教会孩子辨认警察、军人、保安等穿制服人员；三、教会孩子在商场、超市、公园等公共场所与父母走失，马上找穿制服的工作人员。 ????????                                            ", 2016-1-29 06:00,314,8,29,微博 weibo.com,Dfjyll8mH
20,"
                                                                                                                                                ", 2016-1-28 22:57,102,9,6,华为 P8max,DfgN1zuaK
21,"
                                                                                                    必须点赞！                                            ", 2016-1-28 22:14,85,11,24,微博 weibo.com,DfgvA3Xpc
22,"
                                                                                                                                                ", 2016-1-28 17:28,135,2,24,华为 P8max,DfeDqnfWa
23,"
                                                                                                                                                ", 2016-1-28 17:06,23,1,2,华为 P8max,DfeuvuFSq
24,"
                                                                                                                                                ", 2016-1-28 16:26,33,2,10,华为 P8max,Dfee5cumw
25,"
                                                                                                    在房内获悉起火后，先别着急跑出去！开门前要先用手触摸门把锁，若温度很高，或有烟雾从门缝钻进，千万别贸然开门；若温度正常，可打开门缝观察外面通道的情况，再决定是否逃离。若大火和浓烟封闭通道无法逃离时，只能退守房内采取相应对策：用湿布条堵塞门窗缝隙，用水浇在门窗上等待救援。                                            ", 2016-1-28 14:17,63,4,1,华为 P8max,DfdnOhlFm
26,"
                                                                                                    #全国消防电视公益广告大赛获奖作品展播#【请消除您生命中每一个隐患】每年都有消防官兵因为扑救火灾而受伤甚至牺牲，这些看起来无所不能的“英雄”其实很多只是普通的90后，也是父母的儿子，妻儿的依靠…全国消防电视公益广告大赛创意奖作品，呼吁您消除消防隐患保护消防员的生命L请消除您生命中每一个隐患 ????????                                            ", 2016-1-28 11:00,193,12,24,微博 weibo.com,Dfc5ChG7Z
27,"
                                                                                                    【家有幼童 别铺桌布】许多家庭中，都会铺有桌布，对有小孩的家庭来说，是有危险的。孩子想拿到桌子上的东西时，会去拉扯桌布，这样就很容易将桌子上的物品一同拉下，导致孩子被砸伤，甚至被桌上翻到的热食烫伤。 ????????                                            ", 2016-1-28 08:28,171,10,29,微博 weibo.com,Dfb5Vd6js
28,"
                                                                                                    战友，抓紧时间睡吧，哪怕在雨中。也许下一分钟，出发的警铃就可能再次响起！                                            ", 2016-1-28 07:10,496,7,179,华为 P8max,DfaAC41d7
29,"
                                                                                                                                                ", 2016-1-28 07:10,134,9,33,华为 P8max,DfaAkBsDb
30,"
                                                                                                    【遇火情时，小毛巾也有大用途】现实生活中，一些人不懂消防常识，不会使用消防工具，往往是发生火灾事故的重要原因之一。一条普通的毛巾在火灾逃生中我们可以如何利用它呢？一条小小的毛巾在火场中能够充当什么样的角色呢？ ????????                                            ", 2016-1-28 06:00,258,6,23,微博 weibo.com,Dfa7QsFOL
31,"
                                                                                                    【公安部消防局部署：全力防控春节火灾事故】公安部消防局1月26日召开火灾防控工作视频调度会，贯彻落实中央政法工作会议、全国公安厅局长会议精神，分析通报近期火灾形势，对春节消防安全工作进行部署。 °公安部消防局部署：全力防控春节火灾事故 ????????                                            ", 2016-1-27 16:05,162,7,15,微博 weibo.com,Df4F1F08a
32,"
                                                                                                    心疼！                                            ", 2016-1-27 14:54,101,16,145,华为 P8max,Df4cg6cyM
33,"
                                                                                                    这母亲够糊涂！这萌娃够聪明！                                            ", 2016-1-27 14:54,76,3,7,华为 P8max,Df4cbmeeZ
34,"
                                                                                                    萌萌哒！操得了水枪，拿得起剪刀！水带缚火魔，小刀剪玩猴！为巧手消防员点赞！                                            ", 2016-1-27 14:03,63,13,49,微博 weibo.com,Df3RtsLWL
35,"
                                                                                                    【双层卧铺客车发生意外如何逃生？】春运,乘坐双层大巴回家也是不少童鞋的选择。为避免意外，请注意：①卧铺位上不要放行李；②抢救伤员应先保证自身安全；③大巴起火要切记：1.遮住口鼻；2.弯腰行进；3.短暂屏气；4.切忌喊叫；5.衣燃勿跑...也许你用不到，请转给急需的人，或许能救命！                                            ", 2016-1-27 14:02,514,评论,11,微博 weibo.com,Df3Raylwu
36,"
                                                                                                                                                ", 2016-1-27 14:02,53,评论,141,微博 weibo.com,Df3R3sCQa
37,"
                                                                                                    怎么能这样搞啊！                                            ", 2016-1-27 14:01,36,12,14,微博 weibo.com,Df3QTFNel
38,"
                                                                                                    #全国消防电视公益广告大赛获奖作品展播#【消防栓的自述】一个普通的消防栓，在日常生活中，您可能并不会在意他，也不知道保护他，爱护他…但危险来临时，消防栓却是消防队员灭火必须的帮手。这则由陕西消防总队制作获得创意奖的公益广告，将消防栓拟人化，呼吁我们爱护消防器材。L消防栓的自述 ????????                                            ", 2016-1-27 11:15,188,18,22,微博 weibo.com,Df2Ldp7T5
39,"
                                                                                                    【 一起动手 消除家中消防安全隐患】1、楼梯通道是紧急情况下的逃生通道，切不可随意堆放杂物；2、阳台上的杂物要及时清理，长期堆放杂物不仅自身存在隐患，春节期间燃放烟花爆竹，可能会被飞落火星引燃，酿成火灾； 3、规范家庭用火用电，安全使用家庭电器；4、消防车道切不可随意占用，保证畅通。 ????????                                            ", 2016-1-27 08:24,302,18,16,微博 weibo.com,Df1DNwkMt
40,"
                                                                                                    【运输、储存、销售、燃放烟花爆竹消防安全提示】在春节燃放烟花爆竹是我国传统习惯，同时也是火灾多发时段，为防止烟花爆竹引起的火灾和人员伤亡事故，请点击大图查看“运输、储存、销售、燃放烟花爆竹消防安全知识”，祝愿大家度过一个平安祥和的春节。 ????????                                            ", 2016-1-27 06:15,157,5,9,微博 weibo.com,Df0NrfLWp
41,"
                                                                                                    霸王级寒潮把消防员折腾成这样了！O网页链接 ????????                                            ", 2016-1-26 23:34,59,11,54,分享按钮,DeYaQfoUr
42,"
                                                                                                                                                ", 2016-1-26 18:35,453,30,114,华为 P8max,DeWdrwmSB
43,"
                                                                                                                                                ", 2016-1-26 18:34,82,3,163,华为 P8max,DeWdhsH4g
44,"
                                                                                                                                                ", 2016-1-26 13:38,79,9,46,华为 P8max,DeUgV4YGB
45,"
                                                                                                    【冬季空巢老人防火需注意】冬季易起火，除了居民家中电器、电线老化引发火灾以外，老人卧床吸烟、在家中烧香拜佛、乱堆杂物、使用煤气灶具不慎、缺乏处置初期火灾的能力也是导致火灾发生的重要原因！请转给更多人看，让家里的老人能远离火灾，平平安安 ????????                                            ", 2016-1-26 09:32,386,25,21,微博 weibo.com,DeSF6zM1M
46,"
                                                                                                    #消防电视公益广告大赛获奖作品展播#【火灾就像定时炸弹】我们看似平静安稳的生活中，是否隐藏着什么隐患呢？把消防安全隐患比喻成定时炸弹，是否言过其实？一起看看这则由河北消防总队制作的公益广告，或许能引起您更多的重视，该作品获得消防电视公益广告大赛创意奖L火灾就像定时炸弹 ????????                                            ", 2016-1-26 09:07,133,11,8,微博 weibo.com,DeSuQ9odZ
47,"
                                                                                                    【“闹海风”救援】大风夹带雪花狂舞，救援十分不易！救援期间气温降至零下二十多度！“闹海风”是回流性大风并伴有吹雪、雪暴的天气现象，又称“诺海风”，系蒙语，意思是疯狗的狂叫声。吉木乃县两山之间峡谷地带，冬季大风经峡谷挤压，风力骤然增强，加上夹带的沙雪，容易形成“闹海风”。                                            ", 2016-1-26 09:04,32,3,3,华为 P8max,DeStJhs05
48,"
                                                                                                                                                ", 2016-1-25 17:46,88,2,16,华为 P8max,DeMt75SVn
49,"
                                                                                                    【辽宁营口市鲅鱼圈区商业大厦发生火灾】据营口新闻网报道，1月25日凌晨3点，营口市鲅鱼圈区商业大厦发生火灾，近200余名消防官兵在现场全力展开扑救，安监，环保等部门也及时展开环境监测。目前，扑救工作正在有序进行，没有人员伤亡，环境检测结果表明，尚未造成环境次生灾害。 ????????                                            ", 2016-1-25 10:29,498,22,39,微博 weibo.com,DeJBErS09
50,"
                                                                                                    【春节火灾隐患大排查】距离春节越来越近，年味儿越来越浓，正在忙着置办年货的你，是否关注过家里的消防安全，来！咱们一起，一项一项排查，我们的口号是要年味儿！不要烟味儿！@陕西消防 ????????                                            ", 2016-1-25 10:17,351,13,17,微博 weibo.com,DeJwPqtM0
51,"
                                                                                                    【极寒天气下的消防兵】今年冬天，全国大部分地区都在遭遇多年未遇的寒潮，就连云南、四川、重庆、广东等地都飘起了雪，而祖国最北端的内蒙古呼伦贝尔， 室外最低气温已接近零下50度！在滴水成冰的天气下，消防官兵在处置火场和救援时，面临的真是冰与火的双重考验！为辛苦付出的消防员点赞 ????????                                            ", 2016-1-25 10:13,567,28,94,微博 weibo.com,DeJv970ad
52,"
                                                                                                    燃放烟花爆竹一定要注意安全！                                            ", 2016-1-24 23:22,72,4,9,微博搜索,DeFeOg8Qt
53,"
                                                                                                                                                ", 2016-1-24 21:34,128,2,116,华为 P8max,DeExksOPr
54,"
                                                                                                    辛苦了！                                            ", 2016-1-24 17:44,98,21,185,华为 P8max,DeD1VpmEJ
55,"
                                                                                                    1月24日2时55分，北京市朝阳区孙河乡前苇沟村542号平房发生火灾，4时44分被扑灭，过火面积约150平方米，造成8人死亡，5人受伤。 据初步了解，起火建筑为砖混结构平房，系当地村民自建的出租房屋，建筑面积约225平方米。目前，伤亡人员身份和火灾原因正在调查核实中。                                             ", 2016-1-24 12:20,259,31,30,华为 P8max,DeAUqtq9c
56,"
                                                                                                    #全国消防电视公益广告大赛获奖作品展播#【灾祸不会逗你玩】在娱乐至上的今天，好多时仿佛都可以用轻松幽默的方式去表现，但诙谐的背后，却又告诫您一个严肃的实事—“灾祸不会逗你玩”，不认真消除隐患，有一天真的可能“引火烧身”。消防电视公益广告大赛创意奖作品，一起欣赏吧L灾祸不会逗你玩 ????????                                            ", 2016-1-24 11:00,135,8,15,微博 weibo.com,DeAnDdjKt
57,"
                                                                                                    【加油站注意事项】加油站有不少需要注意的事项，稍不留心就可能造成安全隐患或影响到他人。@中国消防提醒：禁止吸烟，别打电话，加油前熄火……为了您和他人的安全，转发提醒你身边开车的朋友吧！ @山东消防 ????????                                            ", 2016-1-24 08:00,184,13,9,微博 weibo.com,DezcziaJ0
58,"
                                                                                                    极寒天气灭火，战友们辛苦了！                                            ", 2016-1-23 21:50,101,22,143,华为 P8max,DevcYvwvs
59,"
                                                                                                                                                ", 2016-1-23 15:03,98,6,10,华为 P8max,Desy30zzM
60,"
                                                                                                    南方雪少，见雪兴奋，消防员宝宝也没能淡定！                                            ", 2016-1-23 14:49,80,8,15,华为 P8max,Dessa5fxS
61,"
                                                                                                    #痛悼战友曾杰#听到曾杰同志去世的消息，全国公安消防官兵深切悼念这位官兵心目中严格而亲切的好战友，被大家赞誉为消防行业著名的全国建审专家。他永远值得我们敬仰和怀念！ ????????                                            ", 2016-1-23 14:45,97,12,30,专业版微博,DesqC2kcz
62,"
                                                                                                    #痛悼战友曾杰#曾杰，1967年2月出生，1989年同济大学毕业后入伍，上海市公安消防总队防火监督部部长、高级工程师。2016年1月12日上午，他在工作中突感身体不适，医院检查确诊为主动脉夹层，急需手术治疗。18日上午9时进行手术，21日清晨5:45分突然晕厥，经抢救无效去世，倒在了他无限热爱的岗位上。 ????????                                            ", 2016-1-23 13:52,95,37,133,专业版微博,Des56tdQu
63,"
                                                                                                    #消防电视公益广告大赛获奖作品展播#【预防火灾，从知道到做到】在公安部消防局组织的“全国消防电视公益广告评选活动”中，辽宁总队报报送的《预防火灾 从知道到做到》荣获创意奖。这则公益广告采用定格漫画的形式，不但创意新颖，还介绍了社区家庭火灾防范知识要点，一起看看吧L预防火灾，从知道到做到 ????????                                            ", 2016-1-23 11:00,235,17,12,微博 weibo.com,DeqX8mEzz
64,"
                                                                                                    【家庭防火自查清单】周末了，消防蜀黍提醒您，没事别出去吃吃喝喝，回家查查家庭防火安全也是不错的选择，我爱我家~安全第一。 ????????                                            ", 2016-1-23 08:26,700,32,15,微博 weibo.com,DepWCEQMP
65,"
                                                                                                    消防队，平安港湾！孩子，为你点赞！                                            ", 2016-1-22 18:58,55,14,59,华为 P8max,DekEW7aeb
66,"
                                                                                                    #消防电视公益广告大赛获奖作品展播#【消防公益 与我同行】消防安全，不仅需要消防员蜀黍的努力，还要靠你、我、他，我们每一个人都参与其中，江苏镇江消防支队创意拍摄的消防公益广告“消防公益 与我同行”以其巧妙地创意获得了全国消防电视公益广告大赛创意奖，一起点观看L消防公益 与我同行 ????????                                            ", 2016-1-22 11:04,106,5,17,微博 weibo.com,DehynnEeb
67,"
                                                                                                    【烟花爆竹需安全燃放】春节将近，燃放烟花爆竹将迎来高峰期。小编提醒大家，燃放烟花爆竹需注意安全①选购正品。②依法燃放。③安全燃放。④文明燃放。当然，为了安全和环保，请尽量少燃放或不燃放。燃放后也请及时清扫场地，发现余火应及时进行泼水灭火处理。 ????????                                            ", 2016-1-22 08:15,239,15,12,微博 weibo.com,DegrFeRZh
68,"
                                                                                                    【一氧化碳中毒安全常识】一氧化碳中毒，是冬日常见的安全隐患之一。尤其是秋冬天，因为取暖造成的一氧化碳中毒事件不胜枚举，许多人在淋浴、取暖、用火等方面缺乏必要的安全常识，最后造成了无法挽回的后果。@重庆消防 为您搜集整理了一些关于一氧化碳中毒的安全常识：一起学起来！ ????????                                            ", 2016-1-22 06:00,294,21,20,微博 weibo.com,DefyRFfkP
69,"
                                                                                                    又是电动车起火！                                            ", 2016-1-21 22:21,66,5,3,华为 P8max,DecyIEhJY
70,"
                                                                                                    战友，扛住！亲们，请伸出你的手吧！                                            ", 2016-1-21 22:17,103,13,215,华为 P8max,DecwWadnd
71,"
                                                                                                                                                ", 2016-1-21 21:09,22,6,16,华为 P8max,Dec5nhDQM
72,"
                                                                                                    目前救援仍在进行，现场还在下着雪，仍有一人失踪，祈福！                                            ", 2016-1-21 13:40,44,10,4,华为 P8max,De99qCXTl
73,"
                                                                                                    #消防电视公益广告获奖作品展播#【请勿堵塞消防疏散通道】获2015年度消防电视公益广告大赛一等奖。小区的消防疏散通道，是在关键时刻保证人员疏散逃生、消防车救援顺利通行的生命通道，一旦被堵塞，发生意外后果不堪设想，保证疏散通道的畅通，是我们每个人的责任和义务。L请勿堵塞消防通道 ????????                                            ", 2016-1-21 11:00,87,7,11,微博 weibo.com,De868Cow3
74,"
                                                                                                    【勿用微波炉加热带壳食物 谨防爆炸】微波炉加热忌使用封闭容器。加热液体时应使用广口容器，因为在封闭容器内食物加热产生的热量不容易散发，使容器内压力过高，易引起爆破事故。即使在煎煮带壳食物时，也要事先用针或筷子将壳刺破，以免加热后引起爆裂、飞溅，弄脏炉壁，或者溅出伤人。 ????????                                            ", 2016-1-21 08:28,258,21,14,微博 weibo.com,De76rxuSR
75,"
                                                                                                    【安全使用“充电宝”】（1）购买合格产品，不选择无品牌、无生产厂名、厂址的三无产品，选择与自己电子设备容量相近的产品。（2）正确使用，禁止拆卸、撞击充电宝，严防长时间充电导致爆炸。（3）充电和存放时，禁止在周边堆放易燃可燃物。（4）如发现电池鼓胀、漏液，应停止使用。 ????????                                            ", 2016-1-21 06:00,193,11,8,微博 weibo.com,De68n8oow
76,"
                                                                                                    →_→//@陕西消防:躺枪…… //@康明的地盘:哎呦，吓我一跳啊！“陕西应急救援总队”。猛一看以为是政府机构，细研究才发现是民间组织。这名字和政府背景的“陕西省应急救援总队”只有一字之差。如此起名有误导大众之嫌，民间机构名称注册管理需更科学更严谨。                                            ", 2016-1-20 23:40,78,4,1087,华为 P8max,De3EfuQdR
77,"
                                                                                                                                                ", 2016-1-20 23:35,135,6,11,华为 P8max,De3C9bJmf
78,"
                                                                                                    #政务V影响力峰会#祝贺@安徽消防 @天津消防 获得“飞跃奖”！                                            ", 2016-1-20 17:10,19,4,24,华为 P8max,De1698GgO
79,"
                                                                                                    祝贺公安部机关的@公安部打四黑除四害 @公安部刑侦局??????和@中国消防 获奖！                                            ", 2016-1-20 16:26,19,1,21,华为 P8max,De0Ojowgh
80,"
                                                                                                    //@广东消防:这是广州市花城广场的消防安全主题公园。目前，广东省建成消防安全主题公园88个，消防宣传示范街99条，消防科普教育基地92个。                                            ", 2016-1-20 16:21,40,10,94,华为 P8max,De0Maci5g
81,"
                                                                                                    感谢亲们的支持，@中国消防 今日下午在“2016政务V影响力峰会”获得“全国十大中央机构微博”奖。军功章属于您！ 2广州·粤海喜来登酒店(Sheraton Guangzhou Hot... ????????                                            ", 2016-1-20 16:03,35,6,24,华为 P8max,De0EZtb09
82,"
                                                                                                    #消防公益广告获奖作品展播#【安全燃放烟花爆竹】春节临近，烟花爆竹又开始走入我们的视线，如何安全储存、燃放烟花爆竹？四川德阳消防的公益广告一起告诉我们。此公益广告在2015年全国消防电视公益广告大赛中获得一等奖哦L安全燃放烟花爆竹 ????????                                            ", 2016-1-20 11:00,189,5,15,微博 weibo.com,DdYFEnBnt
83,"
                                                                                                    今日0时29分，江西省上饶市广丰区洋口镇一花炮厂成品和半成品库房发生爆炸。上饶消防支队接警后，迅速调派7辆消防车、40余名官兵赶赴现场救援。据悉，爆炸共造成4人失联、10余人受伤，搜救工作仍在进行中。                                            ", 2016-1-20 08:35,88,4,1829,华为 P8max,DdXIThOBI
84,"
                                                                                                    【洗衣机安全隐患】现代生活，洗衣机已经逐渐成为家庭最重要的家用电器之一了。同时也正是因为洗衣机为常见且经常使用的家电，很多人往往在使用习惯上不加注意，一些危害洗衣机或者危害安全的洗衣方法十分常见。那么如何杜绝洗衣机安全隐患？我们又该如何预防？详见下图！ ????????                                            ", 2016-1-20 08:33,248,12,12,微博 weibo.com,DdXHYwdK4
85,"
                                                                                                                                                ", 2016-1-20 07:18,139,10,1829,华为 P8max,DdXdUif79
86,"
                                                                                                    【骑电动车时哪些行为最危险？】电动车给人们的生活带来了很多便利，骑乘者不分男女老少，不过要提醒大家，有些骑乘的行为，很可能会引发意外。跟着@山东消防 看看骑电动车时哪些行为最危险？ ????????                                            ", 2016-1-20 06:00,226,14,9,微博 weibo.com,DdWHSfSft
87,"
                                                                                                    #德阳市绵竹小岗剑山体滑坡#成都支队地震救援队和搜救犬分队已做好增援准备，随时待命。                                            ", 2016-1-19 23:55,32,6,10,微博 weibo.com,DdUjX73G2
88,"
                                                                                                    广州最繁华地带花城广场的消防元素。 2广州 ????????                                            ", 2016-1-19 18:29,181,28,94,华为 P8max,DdSbCa6X3
89,"
                                                                                                    灭火救援、社会救助，遇到堵车，消防员都快急出心脏病了！最郁闷的是，堵车成了大小城市的常态。消防员的急脾气活生生给堵车练出来的！                                            ", 2016-1-19 16:29,71,2,192,微博 weibo.com,DdRoJhxyU
90,"
                                                                                                                                                ", 2016-1-19 16:13,216,4,1,微博 weibo.com,DdRii57Z8
91,"
                                                                                                    是该反思！//@筱蕊self：可有谁想过如果不是应急车道被堵 或许他们可以更早到达事故现场 为什么人们都把重心放在消防员身上 难道我们不该反思一下这件事 难道消防员现在去事故现场都不用消防车了吗 到底是什么 对这种事熟视无睹 只想说 我看到了消防员背后的心酸                                            ", 2016-1-19 16:05,43,5,2159,微博 weibo.com,DdRf9lTLP
92,"
                                                                                                                                                ", 2016-1-19 15:52,67,5,7,微博搜索,DdR9TrI31
93,"
                                                                                                    #消防公益广告获奖作品展播#【硬汉胡军演绎消防公益广告】近日，在公安部消防局组织的“全国消防电视公益广告评选活动”中，由北京消防总队组织拍摄的，演员胡军代言的消防公益广告“学习消防知识，您将终身受益”，获得一等奖。一起欣赏硬汉胡军演绎的消防员是什么样子~~O网页链接 ????????                                            ", 2016-1-19 14:12,120,10,23,微博 weibo.com,DdQvdpKbG
94,"
                                                                                                    领导说，2015数据还行，2016得大幅提升！亲们，请多支持小编！『我和小伙伴的2015』O网页链接『我和小伙伴的2015』O网页链接 ????????                                            ", 2016-1-19 08:49,34,5,36,华为 P8max,DdOodfAj9
95,"
                                                                                                    【抢险救援社会救助出动次数远超灭火战斗】全国消防队伍共接警出动112万起，出动车辆204.1万辆次、1197.7万人次。其中，火灾扑救33.9万起，占总数的30.3%；抢险救援（31.6万起）和社会救助（26.3万起），占总数的51.7%。另外，公务执勤1.1万起，其他出动19.1万起。                                            ", 2016-1-19 08:40,104,3,52,华为 P8max,DdOks6JyO
96,"
                                                                                                    【衣服烤暖气 这事很危险[霹雳]】 冬天来了，天气寒冷，从外面一回来，顺手把衣服脱下放在电暖器上面烘烤，看起来很方便，实际可是很危险的哦。 消防蜀黍提醒：冬季使用取暖设备，应远离可燃易燃物，不可直接烘烤衣物，使用一段时间应及时关闭电源，不可长时间通电使用。 ????????                                            ", 2016-1-19 08:28,231,14,8,微博 weibo.com,DdOfs7I5r
97,"
                                                                                                    【开车看手机，会出多大事？】车速60km/h时，低头看手机3秒，相当于盲开50米，一旦遇到紧急情况，刹车至少需20米。据统计，开车看手机时发生事故概率是普通驾驶的23倍；开车打电话时发生事故概率是普通驾驶的2.8倍。你还在车里做这样的危险动作？改掉这个坏习惯吧！ ????????                                            ", 2016-1-19 06:30,224,11,17,微博 weibo.com,DdNtyr8Bb
98,"
                                                                                                                                                ", 2016-1-18 21:11,109,1,137,华为 P8max,DdJP1DlJJ
99,"
                                                                                                                                                ", 2016-1-18 20:47,148,4,20,华为 P8max,DdJFaiNDx
100,"
                                                                                                    【谨防火灾伤害老人】新疆吐鲁番胜金乡阿克塔木村一位72岁老人、福建泉州德化县国宝乡格头村一位84岁老人于1月18日凌晨，江苏盐城盐都区龙冈镇一位65岁老人、四川达州达川区里坪社区一位90岁老人、江西九江浔阳区浔阳东路一位62岁老人、广东东莞虎门镇南栅村一位60岁老人于1月17日在火灾中不幸遇难。 ????????                                            ", 2016-1-18 13:58,61,5,16,360安全浏览器,DdGYYtOi2
