序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
17,"
                                                                                                    【地震造成途经广元站1列旅客列车扣停 上千名旅客受影响 7列车晚点】#四川要闻#记者从成都铁路局广元车务段获悉，受青川县5.4级地震影响，截至目前，已造成广元站1列旅客列车扣停在站内，途经广元站7列旅客列车晚点，分别是兰渝线3列，宝成线4列，到达广元站的时间未定。1000余名旅客出行受到不 ​​​​...展开全文c                                            ", 9月30日 15:39,4,12,9,微博 weibo.com,Fod7JklPW
18,"
                                                                                                    【青川国土资源局：目前未收到有关人员伤亡和损失报告】#权威发布#9月30日下午，记者从青川县国土资源局获悉，截至目前全县未收到有关地质灾害灾险情的人员伤亡和损失的报告。县国土资源局已第一时间启动预案，通过短信预警平台召集各乡镇及相关单位进行地质灾害应急排查，地灾隐患点监测人员随 ​​​​...展开全文c                                            ", 9月30日 15:30,3,4,26,微博 weibo.com,Fod4dcB8B
19,"
                                                                                                    【广元青川县城乔庄镇目前一切平稳】#四川要闻#9月30日下午15:00，地震发生后，四川发布客户端记者连线正位于青川县城乔庄镇的人民日报数字四川记者马青青，现场目前一切平稳，较为有序。（记者 张药滟） ​​​​                                            ", 9月30日 15:26,5,5,20,微博 weibo.com,Fod2I8fkm
20,"
                                                                                                    【请注意！江油至峨眉山  成都至西安等多次列车已被扣停】#四川服务#据成都铁路局消息，目前扣停的列车为↓↓相关信息还在进一步收集整理之中。铁路部门提醒，由于今天恰逢中秋国庆黄金周大假旅客运输高峰日，有出行安排的旅客请随时关注@西南铁路 或站车公告的列车运行信息。（记者 张药滟） ​​​​                                            ", 9月30日 15:19,5,3,10,微博 weibo.com,FocZP65x2
21,"
                                                                                                    【宝成线、西成客专、兰渝线供电设备正在进行“拉网式”全覆盖检查】#四川要闻#9月30日14时14分，广元市青川县发生5.4级地震。地震发生后，与震源相隔较近的成都东、青白江、绵阳、广元、江油供电车间以及成都东、成都变配电车间，对宝成线、西成客专、兰渝线接触网、电力、变配电所等供电设备开 ​​​​...展开全文c                                            ", 9月30日 15:14,3,3,25,微博 weibo.com,FocXPeUvS
22,"
                                                                                                    #四川青川5.4级地震#据移动人口大数据分析，震中20公里范围内人口数约4.2万，50公里范围内约62万，100公里范围内约684万。 ​​​​@中国地震台网速报 ​​​​                                            ", 9月30日 14:59,3,6,12,微博 weibo.com,FocRwlCrh
23,"
                                                                                                    刚刚在广元市青川县发生的5.4级地震，已核实绵阳和广元两地，目前为止，没有收到电网受损报告。                                            ", 9月30日 14:55,6,3,164,微博 weibo.com,FocPK5FKS
24,"
                                                                                                    四川省内多地震感明显。地震发生后，成都铁路局紧急扣停了运行在宝成铁路成都至广元段、绵成乐铁路成都东至江油段的所有列车，铁路部门正在组织人员对设备进行检查。同时西成客专联调联试指挥部派出技术人员对沿线设备、青川站站房开展安全排查。（记者  张药滟）                                            ", 9月30日 14:37,13,26,164,微博 weibo.com,FocIzEHSe
25,"
                                                                                                    #地震快讯#省政府新闻办权威发布，据四川省地震局测定，09月30日14时14分在四川广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13千米。 ​​​​                                            ", 9月30日 14:35,55,78,164,微博 weibo.com,FocHYq5ko
26,"
                                                                                                    四川的小伙伴大家还好吗                                            ", 9月30日 14:20,18,100,149,微博 weibo.com,FocBUzQ8y
27,"
                                                                                                    #地震快讯#中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震，最终结果以正式速报为准。（ @中国地震台网速报 ） ​​​​                                            ", 9月30日 14:19,82,223,149,国家地震台网,FocBuBDxt
28,"
                                                                                                    【提升自我！24本好书给你充充电】#午间微语#平日总抱怨压力大，没时间读书，可一放假就熬夜打游戏、聚会、刷剧…趁假期，拓宽自己的视野，给自己充充电：《诗的八堂课》《中华文明读本》《四种分叉》《欧洲漫画史》…24本人文社科类好书↓↓让知识拓展生命的厚度！转存，慢慢读起来！ ​​​​via.人 ​​​​...展开全文c                                            ", 9月30日 14:08,12,8,7,微博 weibo.com,FocwT8LVk
29,"
                                                                                                    【经济头条 | 今起92号汽油每升上调0.16元 0号柴油每升上调0.17元】#经济头条#①发改委：29日24时起，90号汽油每升上调0.16元，92号汽油每升上调0.16元，95号汽油每升上调0.17元；②数据显示，截至2016年底，全国基本医疗保险参保人数超过13亿人，参保覆盖率稳固在95%以上。更多：O网页链接 ​​​​                                            ", 9月30日 14:06,6,4,5,微博 weibo.com,FocwfduOd
30,"
                                                                                                    【再好吃不过开心花甲】原本长沙一带流行的一种夜宵小吃，现在已经到处都能吃到。关键要放剁椒酱和豆豉。自己买好花甲，干净又卫生，吃着花甲吸着粉，爽！ ​​​@四川美食搜索 ​​​​                                            ", 9月30日 12:20,10,3,13,微博 weibo.com,FobOQfAM7
31,"
                                                                                                    【成都成为亚洲首个“慢食之都”】#连线市州#第十四届成都美食旅游节暨第七届国际慢食全球大会开幕式日前举行。在现场，国际慢食协会创始人兼主席卡洛·佩特里尼授予成都亚洲首个“慢食之都”称号，成都又获得了一个新的城市名片。快来看看在成都究竟有什么美食值得你流连忘返 ​​​​                                            ", 9月30日 12:00,1277,606,1826,微博 weibo.com,FobGPc0i5
32,"
                                                                                                    【国庆中秋期间 四川无大范围强降雨过程】#四川天气#据省气象台消息，预计国庆假期期间：我省无大范围强降雨过程，大部分为阴天或多云天气，多分散降雨，且以夜雨为主，气温接近常年，但盆地东北部和攀西地区、川西高原部分时段有中到大雨，局部地方暴雨。 ​​​​                                            ", 9月30日 11:40,4,2,5,微博 weibo.com,FobyBtq9B
