序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #鹿驰快讯#【明儿天气今儿看】今天夜里到明天白天晴，局部有时阴有阵雨或雷雨，东南风3-4级，气温在29-36度。预计明天最高气温35度，最低气温27度，东南风3-4级。双休日到下周一，继续烧烤模式，还是要注意防暑哦！预计8月2日以后，高温将有所缓解。 ????????                                            ", 2016-7-29 16:42,转发,评论,赞,搜狗高速浏览器,E165kErJR
2,"
                                                                                                    #鹿驰快讯#【午睡多久比较好？给你一份科学指导】上班的童鞋们，一般都会利用午休时间小憩。可是你知道吗？午睡的时间也有健康讲究，正确的睡眠时间对恢复精力有重要影响。戳图↓↓找到适合自己的午休方式吧~ ????????                                            ", 2016-7-29 16:41,4,评论,赞,搜狗高速浏览器,E164JpgLM
3,"
                                                                                                    #快乐驿站#隔着屏幕感受到一丝凉风 ????????                                            ", 2016-7-29 16:37,转发,评论,赞,搜狗高速浏览器,E163jls7i
4,"
                                                                                                    #鹤观天下#【十三五苏北高铁补短板 江苏将形成2小时通勤圈】2010年7月1日，沪宁城际铁路通车运营，苏南地区开始有了高铁，连接南京、镇江、常州、无锡、苏州五市；一年后，京沪高铁运行，这条纵贯南北的高铁线再次串起这五座城市，苏北只在徐州停靠；又两年后，宁杭高铁开通，所经仍是苏南站点；今年5 ????????...展开全文c                                            ", 2016-7-29 16:31,转发,3,1,搜狗高速浏览器,E160EtXCs
5,"
                                                                                                    #鹿驰快讯#【盐城9岁女孩获江苏青少年象棋锦标赛冠军】近日，由江苏省体育局、江苏省教育厅主办，盐城市棋类运动协会承办的2016江苏省青少年象棋锦标赛在盐落幕，我市棋手在9个组别的比赛中赢得3个冠军。 ????????                                            ", 2016-7-29 16:28,转发,1,赞,搜狗高速浏览器,E15ZpzWRG
6,"
                                                                                                    #鹿驰快讯#【上半年全市完成工业投资1048.5亿元】7月28日，从市经信委获悉，今年1至6月份，全市完成工业投资1048.5亿元，同比增长14.6%，总量居全省第二、苏北第一，增速居全省第五。 ????????                                            ", 2016-7-29 16:25,转发,评论,赞,搜狗高速浏览器,E15Y89XNT
7,"
                                                                                                    #黄海潮声#【市“双十佳”先进事迹巡回演讲走进市直机关】7月28日下午，全市2015年度“十佳勤政标兵”和“十佳服务明星”先进事迹报告会在市行政中心举行，市直各部门和单位近500名代表聆听了先进事迹。身患重病，家庭生活困难，却依然矢志不渝坚守工作岗位的孙长忠；坚持“把最好的粮油供给部队，把最 ????????...展开全文c                                            ", 2016-7-29 16:21,1,评论,赞,搜狗高速浏览器,E15WB1Fup
8,"
                                                                                                    #鹤观天下#【别拿痛苦取乐！今天，你愿为它们转发吗？】从小被敲掉牙齿，拔掉爪子，被迫完成种种违背天性的动作。上高台、钻火圈、走平衡木，稍有不从就遭抽打……这是老虎为取悦人类遭受的痛苦。和老虎一样，许多动物都被残忍地训练。它们也有感情，它们也会疼。今天，世界爱虎日，拒绝动物表演，支持 ????????...展开全文c                                            ", 2016-7-29 11:30,2,评论,1,搜狗高速浏览器,E142FmuMm
9,"
                                                                                                    #盐城正能量#【市民每天熬爱心绿豆汤送给环卫工】持续高温，环卫工人头顶骄阳，格外辛苦。连日来，市区街头常见温情一幕，每天早上，总有一名男子骑着电动三轮车，拉着一大桶绿豆汤分送到市区4个环卫工人休息点，供环卫工人和一些高温下的工作者饮用，已连续10天。 ????????                                            ", 2016-7-29 11:25,20,6,24,搜狗高速浏览器,E140wEEAF
10,"
                                                                                                    #黄海潮声#盐城市人大常委会任免名单 ????????                                            ", 2016-7-29 11:21,转发,评论,赞,搜狗高速浏览器,E13YY3WFK
