序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    网约车新政！                                            ", 2016-7-29 16:33,3,评论,1198,微博 weibo.com,E161reqIb
2,"
                                                                                                    我是烈日下的盐城“焦警”，我为自己“带盐”                                            ", 2016-7-29 09:22,2,10,49,微博 weibo.com,E13cFyhF2
3,"
                                                                                                                                                ", 2016-7-28 20:47,1,1,24,iPhone 6,E0YfVEMjX
4,"
                                                                                                    O“盐城公安微警务”攻略之七丨监所预约会见，微...“盐城公安微警务”攻略之七丨监所预约会见，微信一键解决！ ????????                                            ", 2016-7-28 20:45,转发,1,赞,iPhone 6,E0YfhrVFS
5,"
                                                                                                    O“盐城公安微警务”攻略之六丨不用再排队！用微...“盐城公安微警务”攻略之六丨不用再排队！用微信就能妥妥地办理出入境业务 ！ ????????                                            ", 2016-7-28 20:43,转发,1,赞,iPhone 6,E0Yeyfh64
6,"
                                                                                                                                                ", 2016-7-27 21:43,转发,1,651,iPhone 6,E0Pcpp3AJ
7,"
                                                                                                    #百万民警视频受训#【对民警规范执法有何意义？】清华大学法学院教授余凌云：通过视频培训，对大家关心的常见问题，怎样算正确的处置，做一个非常形象的介绍，有利于民警统一认识、规范执法、减少纠纷；对公众而言，了解警察对常见问题的处理方式，能够帮助公众监督执法、维护权益、规范自身。                                            ", 2016-7-27 21:42,1,评论,504,iPhone 6,E0PbUo6sc
8,"
                                                                                                    连日来，市气象台持续发布高温黄色预警信号。在连续的高温天气中，有这么一个特殊的群体，他们顶烈日、冒高温、战酷暑，以饱满的热情坚守在第一线，他们就是盐城警察。我发布了文字《汗从裤管流到鞋子里，走近顶着烈日执勤的一线民警》 °汗从裤管流到鞋子里，走近顶着烈日执勤的一线... ????????                                            ", 2016-7-27 12:00,6,9,16,微博 weibo.com,E0LnA4710
9,"
                                                                                                    O“盐城公安微警务”攻略之五丨开车发生轻微碰擦...“盐城公安微警务”攻略之五丨开车发生轻微碰擦怎么办？使用微信“轻微交通事故快处”最便捷！ ????????                                            ", 2016-7-26 18:35,1,评论,3,iPhone 6,E0ExFgut7
10,"
                                                                                                    O公安部举办规范执法视频演示培训会 百万民警...公安部举办规范执法视频演示培训会 百万民警通过视频集中受训 ????????                                            ", 2016-7-26 18:30,转发,3,赞,iPhone 6,E0EvuvOw0
11,"
                                                                                                    【如何识别假录取通知书，转给高考学子】                                            ", 2016-7-26 18:04,1,评论,27,iPhone 6,E0EkYj8RN
12,"
                                                                                                    利用“微商”开展网络传销有什么特点？打击难度在哪里？国家有何举措？针对微商传销的一系列问题，带你一图读懂，详见下图↓ ????????                                            ", 2016-7-26 18:02,转发,评论,1,iPhone 6,E0Ekgm16M
13,"
                                                                                                    O郭声琨：以真抓促落实 以实干求实效 确保公安...郭声琨：以真抓促落实 以实干求实效 确保公安改革任务落实到位 ????????                                            ", 2016-7-26 07:34,1,评论,1,iPhone 6,E0AdedzUT
14,"
                                                                                                    O“盐城公安微警务”攻略之四丨全市107家公安备...“盐城公安微警务”攻略之四丨全市107家公安备案开锁公司权威汇总，生活不再为“锁”事烦心！ ????????                                            ", 2016-7-25 18:31,1,评论,3,iPhone 6,E0v5qvepa
15,"
                                                                                                    “盐城公安微警务”攻略之三丨想了解全盐城多少人跟你同名吗？戳进来就知道！O“盐城公安微警务”攻略之三丨想了解全盐城多少... ????????                                            ", 2016-7-25 18:30,转发,1,2,iPhone 6,E0v546WXe
16,"
                                                                                                    O“盐城公安微警务”攻略之二｜车被堵了？“自助...“盐城公安微警务”攻略之二｜车被堵了？“自助移车”分分钟助你“突围”！ ????????                                            ", 2016-7-25 18:29,转发,评论,1,iPhone 6,E0v4Grh4d
17,"
                                                                                                    警察小哥开启高温战斗模式                                            ", 2016-7-24 11:02,1,2,119,iPhone 6,E0iILFmpT
18,"
                                                                                                    盐城公安“微警务”平台集群全新升级！98个服务事项开启指尖模式！O盐城公安“微警务”平台集群全新升级！98个服务... ????????                                            ", 2016-7-22 20:07,转发,2,3,iPhone 6,E03qOAfYI
19,"
                                                                                                    出国务工注意事项O出国打工 千万小心，小心，再小心！ ????????                                            ", 2016-7-22 10:36,转发,评论,1,iPhone 6,DFX9D5ezN
20,"
                                                                                                    郭声琨对公安机关防汛抗洪抢险救灾工作作出批示O郭声琨对公安机关防汛抗洪抢险救灾工作作出批... ????????                                            ", 2016-7-21 22:17,转发,1,赞,iPhone 6,DFSjlipe5
21,"
                                                                                                    公安机关打击整治网络侵犯公民个人信息犯罪成效显著O公安机关打击整治网络侵犯公民个人信息犯罪成... ????????                                            ", 2016-7-21 09:11,转发,评论,4,iPhone 6,DFNaxfwlQ
22,"
                                                                                                    坚决把电信网络诈骗犯罪高发势头打下去O李伟强调 坚决把电信网络诈骗犯罪高发势头打... ????????                                            ", 2016-7-21 09:09,转发,评论,2,iPhone 6,DFN9Ip58A
23,"
                                                                                                    “只有你对群众笑了，群众才会对你笑！群众笑了，就是对我们公安民警最大的奖励和最好的肯定！”这是盐城市公安局亭湖分局毓龙派出所户籍民警胥山花常挂在嘴边的一句话，20多年服务群众，很多人都记住了她那张让人温暖的笑脸。O20多年服务如一日 这位户籍警经手20多万件户... ????????                                            ", 2016-7-20 19:17,1,1,13,iPhone 6,DFHHOlrqR
24,"
                                                                                                    盐城警方邀你破案第七季O发现他们立刻报警 | 警方邀你破案第七季 ????????                                            ", 2016-7-20 19:11,1,1,4,iPhone 6,DFHFCr9T9
25,"
                                                                                                    看看这些很危险的手机使用坏习惯你有木有？                                            ", 2016-7-20 15:34,1,评论,75,iPhone 6,DFGfmcwVX
26,"
                                                                                                    新型传销来了，三招教你识别骗局O新型传销来了，三招教你识别骗局 ????????                                            ", 2016-7-19 20:15,3,评论,3,iPhone 6,DFyERdDKJ
27,"
                                                                                                    市公安局交警支队在市区范围内开展道路交通治安大整治“百日行动”，行动期间，重点整治以下十大违法行为：O盐城市区机动车乱鸣喇叭，最高将被处罚100元... ????????                                            ", 2016-7-19 20:03,2,3,6,iPhone 6,DFyzYjWLE
28,"
                                                                                                    孟建柱：坚定不移推动司法责任制改革全面开展O孟建柱：坚定不移推动司法责任制改革全面开展 ????????                                            ", 2016-7-19 19:51,转发,评论,2,iPhone 6,DFyv9kXKT
