序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    警徽在风暴中闪耀O网页链接 ????????                                            ", 2016-6-26 20:58,19,7,16,iPhone 6,DC46Sn6Ns
2,"
                                                                                                                                                ", 2016-6-26 17:56,36,11,572,iPhone 6,DC2VifzGQ
3,"
                                                                                                    伟大的母爱超越生死                                            ", 2016-6-26 14:35,28,3,342,iPhone 6,DC1BJuhW2
4,"
                                                                                                    这两天，一张有关阜宁灾区的图片在网上刷屏，6 月 26 日更是登上了《人民日报》！这张由现代快报摄影记者徐洋拍摄的图片，为什么会这样 "" 火 ""，背后究竟有着怎样的故事？O网页链接 ????????                                            ", 2016-6-26 14:20,123,17,30,iPhone 6,DC1vn45a2
5,"
                                                                                                    护卫生命通道的48小时灾情发生后，阜宁当地交警部门迅速组织警力上路，开展清通道路等交通保障任务。省公安厅交警总队迅速指令盐城交警部门抓紧时间抢通救援道路，要求周边地区给予人员和装备支持，并派出工作组赶赴阜宁灾区，协调指导灾区道路交通保障工作。总队高速公路指挥调度中心同步调度阜宁地 ????????...展开全文c                                            ", 2016-6-26 12:06,134,8,34,iPhone 6,DC0D9cWNW
6,"
                                                                                                    【内地公安机关与香港警方将召开粤港边界打击偷渡行动联合工作会议】6月27日下午，内地公安机关与香港警方将在深圳召开粤港边界打击偷渡行动第三次联合工作会议，就2月份以来双方联合展开的粤港边界打击偷渡行动进行阶段性通报，共同就下一步深化推进合作，加大行动打击力度……『内地公安机关与香港警 ????????...展开全文c                                            ", 2016-6-26 12:02,40,2,2,iPhone 6,DC0Bw9eY0
7,"
                                                                                                    【郭声琨在北京市调研禁毒工作时强调 凝聚全社会力量综合治理毒品问题 坚定不移久久为功打赢禁毒人民战争】在国际禁毒日到来之际，国务委员、国家禁毒委员会主任、公安部部长郭声琨24日来到北京市公安局强制隔离戒毒所调研，慰问基层禁毒工作者，看望戒毒人员。 ????????                                            ", 2016-6-26 10:17,231,16,27,iPhone 6,DBZUHc6ol
8,"
                                                                                                    逆风而行的“火线”英雄 ????????                                            ", 2016-6-26 09:09,231,22,42,iPhone 6,DBZt5mInU
9,"
                                                                                                    警徽在风暴眼中闪光在江苏盐城６·２３特大风雹灾害中，阜宁县陈良镇是受灾最严重、人员伤亡最多的镇区之一。２５日，记者来到这个镇了解到，地处风暴眼的陈良派出所干警在第一时间投入到救援中，从所长到普通民警，乃至辅警，舍小家顾大家，伤病不下火线，徒手刨出一条条生命，展示了共产党员和人民警 ????????...展开全文c                                            ", 2016-6-26 08:55,185,18,21,iPhone 6,DBZnxagWZ
10,"
                                                                                                    龙卷风到来时，他在废墟下“舍身护妻”阜宁遭遇龙卷风灾害后，一张被网友誉为“患难见真情，愿来世还做夫妻”的感人照片在网上热传。 一男子被压在砖瓦散落的废墟下，他的身下还蜷着他的妻子。从男子的手臂和姿态可见，他是在天灾肆虐、房屋倾塌的一瞬间，用自己的身体与臂膀，为妻子遮灾挡难。 ????????                                            ", 2016-6-26 08:49,119,30,68,iPhone 6,DBZlddf0P
11,"
                                                                                                    转发微博                                            ", 2016-6-25 19:22,46,21,237,iPhone 6,DBU3p021o
12,"
                                                                                                    ??紧急扩散丨“6.23”特大灾情救援物资存储中心交通线路提示，社会支援车辆一定要看！！O??紧急扩散丨“6.23”特大灾情救援物资存储中心... ????????                                            ", 2016-6-25 18:40,15,4,2,iPhone 6,DBTMo4mtF
13,"
                                                                                                    边防官兵做心理辅导 灾区临考的小俊杰露出了笑容在陈洋镇居委会，有一名叫胡俊杰的 11 岁男孩，龙卷风来袭时，他正在陈洋小学上课，爷爷奶奶在家。龙卷风过后，老师疏散学生回家，胡俊杰一路小跑回到家中，发现爷爷奶奶没事，只是房屋受损，他这才心安下来。边防救援队来到胡俊杰的家中，心理咨询师 ????????...展开全文c                                            ", 2016-6-25 17:19,15,10,26,iPhone 6,DBTfz3494
14,"
                                                                                                    灾难前彰显党员力量 群众生命重于泰山在盐城部分地区突遭龙卷风冰雹灾害中，盐城阜宁县陈良镇是风暴肆虐、受灾最严重、人员伤亡最多的地区之一。灾情发生后，当地派出所第一时间组织警力赶往现场展开救援，在险情四伏的废墟里，徒手刨出一条条生命。　　6月24日晚，荔枝新闻记者来到这里，了解到一 ????????...展开全文c                                            ", 2016-6-25 17:04,158,5,27,iPhone 6,DBT9EAXGt
15,"
                                                                                                    ??盐城，加油！丨龙卷风过后40个小时，风暴中的钢铁脊梁依然挺立，感动世界！！O????盐城，加油！丨龙卷风过后40个小时，风暴中... ????????                                            ", 2016-6-25 16:44,50,15,39,iPhone 6,DBT1slaF9
16,"
                                                                                                    【国台办：打击电信诈骗受到两岸民众支持】针对台湾方面陆委会称，就柬埔寨将台湾电信诈骗嫌犯押往大陆一事，已通过两岸联系渠道向大陆方面表达了抗议，国台办发言人安峰山２５日应询表示，５月２０日后，因台湾方面未能确认“九二共识”这一体现一个中国原则的共同政治基础，两… °国台办：打击电信诈骗受到两岸民众支持 ????????                                            ", 2016-6-25 16:39,38,6,7,iPhone 6,DBSZldtlV
