序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
18,"
                                                                                                    【遂宁：节前进小区 服务更贴心】“大爷，今年国庆中秋的假期有8天，出门去耍之前要记得关掉家里不需要用电的电器，这样既省电又安全。”9月21日上午，国网四川电力（遂宁）共产党员服务队在曾家湾小区大门前为小区居民们宣传节假日前的安全用电和掌上电力APP的安装推广。 ????????                                            ", 9月25日 09:00,1,评论,2,微博 weibo.com,FnpnauvNa,0
19,"
                                                                                                    #早安#要相信自己，善待自己，让自己的生活精彩纷呈。不要误认为是要让某个人后悔，而是为了让自己的人生更精彩 ????????                                            ", 9月25日 08:00,1,1,赞,微博 weibo.com,FnoYPcqVT,0
20,"
                                                                                                    转发微博                                            ", 9月24日 09:59,转发,评论,163,iPhone 6,FngkTnc6Q,-1
21,"
                                                                                                    国庆准备去巴厘岛的童鞋们，赶紧重新规划路线吧                                            ", 9月24日 09:44,转发,评论,1012,iPhone 6,FngewA848,0
22,"
                                                                                                    1909.09 中国人设计的第一条铁路通车，2017.09 复兴号跑出350公里的时速，感谢一直在努力的铁路人                                            ", 9月24日 09:43,转发,评论,460,iPhone 6,Fnge9wlc3,0
23,"
                                                                                                    #晚安#岁月不会因你停顿丝毫，感谢我们经历的时光，晚安。 ????????                                            ", 9月22日 23:00,转发,评论,1,微博 weibo.com,Fn2AE6ouO,0
24,"
                                                                                                    【眉山：点亮心灯】9月21日，国网青神县供电公司党员志愿者分别来到青神县黑龙镇中心小学“川电留守儿童之家”和青神县中心福利院，为留守儿童讲解家庭安全用电常识，为孤寡老人检查寝室、卫生间电器使用状况，更换了损坏的灯头、灯泡、开关、插座。扩大“心连心”服务站在该县的影响力和品牌效应，树 ????????...展开全文c                                            ", 9月22日 17:00,转发,评论,赞,微博 weibo.com,Fn0ewjpFK,0
25,"
                                                                                                    【80后夫妻做“离婚考卷”均上80分，法院判不准离婚】14日，四川宜宾县人民法院观音法庭出现“离婚考卷”，试题分客观、主观题，夫妻双方彼此打分，一对准备离婚的80后夫妻均上80分，法院做出不准离婚的判决。答题后，提出离婚的女方态度趋于冷静，双方均未表示上诉。（@人民日报 ） ????????                                            ", 9月22日 16:30,转发,评论,赞,微博 weibo.com,Fn02lkoG6,0
26,"
                                                                                                    9月22日，国网四川省电力公司与省市国有企业股份制合作试点——四川宜宾电力有限公司正式成立，四川电力“三个一“的理论与实践再次成功迈进坚实一步。 ????????                                            ", 9月22日 16:00,1,1,赞,微博 weibo.com,FmZQaj0cp,0
27,"
                                                                                                    【中国开通连接尼泊尔公路 印专家称“威慑”印度】15日，国道318线日喀则机场至日喀则市公路通车。该路连接起了拉萨与樟木（中尼边境中国小镇）。印专家称这是对印度的“威慑”，“如果中国通过铁路或者公路与尼泊尔进一步接近，中国与印度之间的距离也就只有一臂之距了。” ????????                                            ", 9月22日 15:30,转发,评论,赞,微博 weibo.com,FmZDZjpin,0
