序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
151,"
                                                                                                    【眉山：智能缴费，方便用户】为了向广大用户宣传安全用电知识和使用智能缴费平台，丹棱供电公司各营业厅员工积极向前来缴费的用户进行宣传。（符爱学） ????????                                            ", 9月14日 11:00,转发,评论,1,微博 weibo.com,FlKspFmRp,0
152,"
                                                                                                    #历史上的今天#1960年9月14日，“欧佩克”（OPEC）正式成立。全名为“石油输出国组织”，最初是伊朗、伊拉克、科威特、沙特阿拉伯和委内瑞拉五国应对西方石油公司的组织，后来发展成为亚洲、非洲和拉丁美洲一些主要石油生产国的国际性石油组织。 ?? ????????                                            ", 9月14日 10:30,转发,评论,赞,微博 weibo.com,FlKgf0pih,0
153,"
                                                                                                    名副其实的舔屏                                            ", 9月14日 10:24,转发,评论,34842,微博 weibo.com,FlKe6D4UH,0
154,"
                                                                                                    #开学进行时##校徽故事#【这些高校的校徽，你知道它们的来历吗？】还记得你们学校的校徽长啥样吗 ????????                                            ", 9月14日 10:00,转发,评论,赞,微博 weibo.com,FlK44kk34,0
155,"
                                                                                                    #快来看看，有没有你的家乡？#                                            ", 9月14日 09:29,转发,评论,赞,微博 weibo.com,FlJRRAbLi,-1
156,"
                                                                                                    小编仍记得初中时上微机课，登录搜狐官网看新闻，从那时开始接触互联网。。。                                            ", 9月14日 09:13,转发,评论,204,微博 weibo.com,FlJLd5fWw,0
157,"
                                                                                                    【激动的巴黎人】巴黎获得2024年奥运会举办权，从代表团进入会场前的集体自拍，到结果宣布后振臂高呼，都体现着奥运对于巴黎的意义，从2005年新加坡最后时刻遭遇逆转，到2017年秘鲁与洛杉矶携手共赢，在经历失望、伤痛过后，巴黎最终得到了补偿，在整整100年之后，奥运圣火将再度在“浪漫之都”重燃！????????????...展开全文c                                            ", 9月14日 09:04,转发,评论,赞,微博 weibo.com,FlJHuCJ2h,0
158,"
                                                                                                    #带电摘取氢气球#消除#定时炸弹#危险9月12日下午4时，国网广元供电公司配网工作人员在线路巡视过程中，发现10千伏高压线上挂上了一串“调皮”的氢气球，氢气球表面铝涂层是良导体，一旦挂在运行线路上，极易引起相间短路或单相接地，造成线路故障停电。接到缺陷信息后，该公司配电#带电作业#人员利用 ????????...展开全文c                                            ", 9月14日 09:00,转发,评论,1,微博 weibo.com,FlJFImnA7,0
159,"
                                                                                                    #世界清洁地球日#每一个劳动者都应该被尊重                                            ", 9月14日 08:38,1,评论,570,360安全浏览器,FlJwY9Ffo,0
160,"
                                                                                                    #早安#????即便孤身在外，也要对着镜前整理衣着的自己默念一句：早安。 ????????                                            ", 9月14日 08:00,转发,评论,1,微博 weibo.com,FlJhmrvZD,0
161,"
                                                                                                    #晚安#??????忙碌的一天已经结束，闭上眼，放轻松，晚安，世界。 ????????                                            ", 9月13日 23:00,1,1,3,微博 weibo.com,FlFKb4Gdx,0
162,"
                                                                                                    【资阳：关怀留守老人】9月12日，四川资阳乐至县供电公司员工义务为李家沟村留守老人李秀萍收割水稻。（宋道辉） ????????                                            ", 9月13日 17:00,转发,评论,1,微博 weibo.com,FlDo3hsqD,0
163,"
                                                                                                    【美媒称中国年轻人怕收语音信息：1分钟太漫长】#川叔身边事#美媒称，中国很多年轻人都害怕收到语音信息，因为需要一条一条地听，如果漏掉了什么，还要重听。对于父母那个年龄的人来讲，打字很麻烦而且显得冰冷。如今，发语音已被视作只有老年人或者销售和司机这样的人群才会做的事。你认同吗？ ????????...展开全文c                                            ", 9月13日 16:30,转发,评论,赞,微博 weibo.com,FlDbSiHXs,0
164,"
                                                                                                    #通江：雨后特殊巡视保供电安全#????????为防止连日来强降雨天气对输电线路安全运行带来的影响，9月11日，国网通江供电公司开展雨后特巡及隐患排查治理工作，旨在实时掌握电网健康状况，防微杜渐，确保电网安全稳定运行。 ????????                                            ", 9月13日 16:00,转发,评论,1,微博 weibo.com,FlCZHeX6X,0
165,"
                                                                                                    【你愿为他们转发吗？你每扔一个烟头，环卫工可能为此被罚款1元】9月6日，西安17名保洁员捡拾6348个烟头，相较周末或节假日算少的。按内部考核规定，每个环卫工负责路段的烟头数在4个以内算合格，每超1个罚1元，有人一天能被罚100元，相当于白干！你少扔一个烟头，他们就少弯一次腰！转发承诺！( ????????...展开全文c                                            ", 9月13日 15:30,1,评论,1,微博 weibo.com,FlCNwgSZM,0
166,"
                                                                                                    【副总理汪洋亲荐成都：这是一座来了就不想走的城市】#联合国世界旅游组织第22届全体大会#9月13日，联合国世界旅游组织第22届全体大会在成都开幕，国务院副总理汪洋现场当起了推荐人。他希望大家在会议结束以后，在四川在成都再多工作几天多待几天。他说，四川被誉为天府之国，风光奇丽的九寨沟，伟岸 ????????...展开全文c                                            ", 9月13日 15:20,1,评论,2,微博 weibo.com,FlCJsy1k8,0
167,"
                                                                                                    【电力之歌】#电力人原创#（国网遂宁供电公司 杨晓芬） ????????                                            ", 9月13日 15:00,1,评论,1,微博 weibo.com,FlCBljXLT,0
168,"
                                                                                                    孕照也可以这么可爱这么萌。。。嗯。。。最后一位爸爸你是不是走错场地了 ????????                                            ", 9月13日 14:30,转发,评论,赞,微博 weibo.com,FlCpajcum,0
169,"
                                                                                                    转发微博                                            ", 9月13日 14:10,转发,评论,61,微博 weibo.com,FlChooxVy,-1
170,"
                                                                                                    关于iphoneX的定价 ????????                                            ", 9月13日 14:00,转发,3,2,微博 weibo.com,FlCcZksuM,0
171,"
                                                                                                    【2020年全国推广乙醇汽油 你怎么看？】#四川民生#说到乙醇，你大概会想到餐桌上的白酒和医院里的消毒酒精。未来三年，将有越来越多的汽车使用的是乙醇汽油。国家发展改革委、国家能源局等部门近日印发方案，明确在全国推广使用车用乙醇汽油，到2020年基本实现全覆盖。不过，有网友称乙醇汽 ????????...展开全文c                                            ", 9月13日 12:30,转发,评论,1,微博 weibo.com,FlBCsonLK,0
172,"
                                                                                                    【党员服务时间】近日，国家电网公司党员服务队的成员们分赴各地学校、考场，义务为其排查安全用电隐患。??????????????9月9日上午8时30分，印着国网四川电力（遂宁）共产党员服务队标志的#小黄车#准时停在了四川省射洪县委党校门口，党服队队员们再次对考场的配电箱、表计连接等进行认真巡视检查，排查安全 ????????...展开全文c                                            ", 9月13日 12:00,转发,评论,赞,微博 weibo.com,FlBqhoYp5,0
173,"
                                                                                                    【8月份#新能源#汽车销量增76.3%】中国汽车工业协会9月11日发布的数据显示，8月新能源汽车产销分别完成7.2万辆和6.8万辆，同比分别增长67.3%和76.3%。其中，纯电动汽车产销分别完成5.8万辆和5.6万辆，同比分别增长79.6%和95.5%；插电式混合动力汽车产销分别完成1.4万辆和1.2万辆，同比分别增长29.4%和2 ????????...展开全文c                                            ", 9月13日 11:30,1,1,1,微博 weibo.com,FlBe6qHft,0
174,"
                                                                                                    【秋季检修进行时】秋季检修时刻，无论白天和黑夜，电力工人们都奋战在各个工作现场。??????????????9月5日，内江市东兴区椑木镇川铁肉联厂老旧小区改造现场，一台崭新的400千伏安变压器已经安装完毕，旁边10多名工人正在忙碌地敷设电缆。该项目完工后，居住在这里的35户居民将享受大电网直接供电，电价降低 ????????...展开全文c                                            ", 9月13日 11:00,转发,评论,2,微博 weibo.com,FlB1Vt6RQ,0
175,"
                                                                                                    【收藏！5条自驾路线+4条高铁路线，来场说走就走的旅行！[推荐]】秋意渐浓，天高气爽，正是旅行的好时节！“中国最美公路”318国道、黄沙遍地的塔克拉玛干沙漠、沟壑纵横的草原天路、海天湛湛的海南岛…最美的5条自驾路线+4条高铁路线↓↓国庆长假临近，你想和谁一起去？（@人民日报 ） ????????                                            ", 9月13日 10:30,1,评论,2,微博 weibo.com,FlAPKt23S,0
176,"
                                                                                                    #巴中：电力志愿者参与环境综合治理#????????近日，国网巴中供电公司电力志愿者们号召广大职工踊跃参加巴城的文明创建活动,广泛参与到巴城环境综合治理中：“红绿灯”文明劝导、清理小广告、捡垃圾、设立青年志愿者服务站、参与交通疏导等等，大力营造巴城人人参与、讲文明树新风的文明行为，全方位传递社 ????????...展开全文c                                            ", 9月13日 10:03,转发,评论,1,微博 weibo.com,FlAENbYBW,0
177,"
                                                                                                    录制国网四川电力新闻联播NG好多遍的两位小编求摄像小编的心理阴影面积。。。。 L国网四川电力的微博视频 ????????                                            ", 9月13日 10:00,5,7,2,微博 weibo.com,FlADzwc6h,0
178,"
                                                                                                    不是不想回故乡的家，是回不去。看完莫名的心酸。。。                                            ", 9月13日 09:47,1,评论,130,微博 weibo.com,FlAyucIpc,0
179,"
                                                                                                    【这7件事，一定提醒爸妈慢点做】爸妈的眼睛越来越花、耳朵越来越背、腿脚也越来越不利索了…对于上了年纪的人来说，在日常生活中的一些动作过快、过急，都可能对身体造成损伤。再忙碌也别忘了给爸妈打个电话，问候的同时提醒他们：这7件事千万慢点做。（@新华网 ） ????????                                            ", 9月13日 09:30,1,1,3,微博 weibo.com,FlAroxem4,0
180,"
                                                                                                    #眉山：106岁老人的特殊生日#????????“这么多人来给我过生日，我太高兴了！”9月9日，家住眉山市彭山区江口镇茶场村5组的苏学明老人开心地感叹到。苏学明老人是国网眉山市彭山供电公司开展“攀亲百岁老人”志愿服务活动的结对对象之一，这天是老人106岁生日，志愿者们作为特殊的亲人来到老人家中为她庆贺 ????????...展开全文c                                            ", 9月13日 09:00,转发,1,2,微博 weibo.com,FlAfdw8pI,0
181,"
                                                                                                    想要快速了解iphone8、8plus、X有什么特点么？快来看看吧~（@凤凰科技@凤凰新闻） ????????                                            ", 9月13日 08:50,转发,评论,赞,微博 weibo.com,FlAbqkaIk,0
182,"
                                                                                                    围观ing                                            ", 9月13日 08:48,转发,评论,62,微博 weibo.com,FlAaxm8pU,0
183,"
                                                                                                    【好好学习，天天向上】19种世界顶级的思维模式（NO.7） ????????                                            ", 9月13日 08:45,转发,评论,1,微博 weibo.com,FlA98aFGV,0
184,"
                                                                                                    #早安#????忙碌的一天即将开始，深呼吸，调整好心情，早安，世界。 ????????                                            ", 9月13日 08:00,转发,评论,1,微博 weibo.com,FlzQRzDdm,0
185,"
                                                                                                    #晚安#一个人知道自己为什么而活，就可以忍受任何一种生活。—— 尼采 ????????                                            ", 9月12日 23:00,转发,评论,1,微博 weibo.com,FlwjGcLhi,0
186,"
                                                                                                    【在成都办身份证可以自拍了！】9月11日，成都136个“一站式服务办证点”正式启动运行。“一站式服务办证点”最大的亮点就是可以提供身份证、驾照等证件自助拍照机，大家可以自助在拍照机上拍证件照，不满意还可以重来。终于可以拍一张自己满意的身份证照片了！赶紧拿起手机，来几张自拍，看看从什么角 ????????...展开全文c                                            ", 9月12日 17:30,转发,2,2,微博 weibo.com,Flu9Jm6qh,0
187,"
                                                                                                    【注意了！半躺姿势最伤腰吓得立马坐直了…】年轻人工作繁忙，休息时最惬意的事莫过于半躺在床或沙发上玩手机、看书。然而，半卧位时，腰椎会因缺乏足够支撑，导致原有弧度被改变，让椎间盘所受重力不断增大，诱发椎间盘突出。以后可别半躺着了，你的腰椎也需要休息！@生命时报 ???????? 吓得小编 ????????...展开全文c                                            ", 9月12日 16:30,转发,评论,1,微博 weibo.com,FltLnoY94,0
188,"
                                                                                                    我要求你读书用功，不是因为我要你跟别人比成就，而是因为，我希望你将来会拥有选择的权利，选择有意义、有时间的工作，而不是被迫谋生。” ---—龙应台给儿子的忠告 °【锦水悦读】唯春日与读书不可辜负（@四川大学 ） ????????                                            ", 9月12日 16:13,转发,评论,3,微博 weibo.com,FltEEt0Jc,0
189,"
                                                                                                    【e租宝案涉案公司被罚19亿,主犯丁宁被判无期徒刑】e租宝案一审在北京宣判，26人因集资诈骗等获刑，判处公司罚金19亿，主犯丁宁被判无期徒刑，处罚金1亿。 ????????小编想说，天上不会掉馅饼，高额回报不可信，大家一定要提高警惕啊！！ ????????                                            ", 9月12日 16:08,转发,评论,2,微博 weibo.com,FltCE4Vir,0
190,"
                                                                                                    #一年一度开学季#我最爱的儿子（女儿），即将开始一段崭新的生活，你是否准备好了？不知道食堂的饭是否可口？宿舍的床是否睡着舒服？ ????????                                            ", 9月12日 15:44,3,2,7,微博 weibo.com,Fltt0zxua,0
191,"
                                                                                                    关于iphone可能降（涨）价的分析 ????????                                            ", 9月12日 15:10,1,1,3,微博 weibo.com,FlteUeNeE,0
192,"
                                                                                                    【电力之歌】#电力人原创#（四川乐山供电公司????唐学智、张霞、杨华洲）电道难 供电不畏难噫吁嚱，乐山供电！电道之难，难于真美善！发电到供电，缘起解放前！前辈供电八十载，光耀嘉州福人间。城区客户四十万，事无巨细莫等闲。...展开全文c                                            ", 9月12日 15:00,转发,评论,2,微博 weibo.com,FltaQrMk1,0
193,"
                                                                                                    如此高大上！走，黄龙溪，浪起来~                                            ", 9月12日 14:44,1,评论,38,微博 weibo.com,Flt4BlyMR,0
194,"
                                                                                                    【网购高校生占比增速惊人 100个剁手族17个是大学生】#川叔身边事#开学季，不少高校教职人员感叹，近几年来入学的新生，显示出了强烈的互联网时代特征。据天猫统计显示，过去一年内全国高校生剁手指数攀升，北京高校生用户占比达到17%。从过去一年的购买总金额来看，花钱最多的前三名是： ????????...展开全文c                                            ", 9月12日 14:30,转发,评论,赞,微博 weibo.com,FlsYFsuot,0
195,"
                                                                                                    来自静音与环保的结合，电能的开发永无止境——新能源汽车试驾体验。 L国网四川电力的微博视频 ????????                                            ", 9月12日 14:00,转发,评论,赞,微博 weibo.com,FlsMuvW2l,0
196,"
                                                                                                    #登门逐户核实 用心服务居民#9月8日上午，在射洪县太和镇机房街社区宝石四巷,90岁吴城西大爷家里，国网四川电力（遂宁）共产党员服务队正在对社区资料进行清理核查，同时普及安全用电、节约用电等与居民有关的常识。 ????????                                            ", 9月12日 11:00,2,1,3,微博 weibo.com,FlrBqBAw5,0
197,"
                                                                                                    【巴中：用电宣传到田间】9月8日,国网平昌县电力公司员工到灵山镇莲藕密集区域开展可靠用电、安全用电宣传，零距离服务莲花节和莲农安全用电，助力荷花节正常召开和莲农颗粒归仓。 ????????                                            ", 9月12日 10:00,1,评论,赞,微博 weibo.com,Flrd4iX6f,0
198,"
                                                                                                    【广元：义务帮助贫困百姓收割稻谷】????????9月7日，国网广元供电公司苍溪梨乡志愿服务队彭勇先等5名成员，深入唤马镇彭城村二组村民刘永浩家，义务帮助收割稻谷。????????刘永浩一家为苍溪县建档立卡贫困户，年近七旬，妻子患有严重的腿疾，行动极为不方便，儿子儿媳常年在外务工，一家5口人的庄稼全靠老两 ????????...展开全文c                                            ", 9月12日 09:00,转发,评论,2,微博 weibo.com,FlqOJ14rZ,0
199,"
                                                                                                    【好好学习，天天向上】19种世界顶级的思维模式（NO.6） ????????                                            ", 9月12日 08:45,1,1,赞,微博 weibo.com,FlqIDln8C,0
200,"
                                                                                                    #早安#有时候你要告诉自己退开一点，清醒一下，问自己去哪里，自己是谁？或许在忙忙碌碌中的迷失需要我们每天清醒时救醒。 ????????                                            ", 9月12日 08:00,1,评论,2,微博 weibo.com,Flqqn25Ao,0
201,"
                                                                                                    #晚安#生命是属于每个人自己的感受，不属于任何别人的看法。—— 余华《 活着》 ????????                                            ", 9月11日 23:00,转发,评论,1,微博 weibo.com,FlmTbltqd,0
202,"
                                                                                                    史上最短的开学典礼，还记得小编的开学典礼仿佛开了一个世纪                                            ", 9月11日 17:39,转发,评论,59667,小米手机,FlkNdilfw,0
203,"
                                                                                                    上班路上共享单车骑起来；手机没电，共享充电宝充起来；吃饭时间，共享厨房用起来；共享style，无共享，不快乐~ ????????                                            ", 9月11日 17:37,转发,评论,3,微博 weibo.com,FlkM4DfAy,0
204,"
                                                                                                    重庆，一座大型魔幻8D城市朋友，来了请关导航，因为，导航????????已疯！（@成都地铁） ????????                                            ", 9月11日 17:27,转发,评论,2,微博 weibo.com,FlkI5Cjv7,0
205,"
                                                                                                    #涨姿势#到底该如何正确充电呢？                                            ", 9月11日 16:49,2,1,9,Android客户端,FlksEtTvr,-1
206,"
                                                                                                    论熊猫为什么叫滚滚                                            ", 9月11日 16:04,1,评论,14163,360安全浏览器,Flkauov2x,0
207,"
                                                                                                    【西博会进出口展周五开幕 新西兰奶粉可现场淘购】#连线市州#本周五，西博会进出口展将在成都西博城举行，共设六个展馆。展品包括进口母婴及日用品、进口酒饮食品、进口时尚服饰、多款平行进口车等等。意大利红酒、新西兰奶粉、法国美容护肤产品、巴西咖啡……都将可现场海淘！走过路过不 ????????...展开全文c                                            ", 9月11日 16:00,1,评论,3,微博 weibo.com,Flk8HycPj,0
208,"
                                                                                                    有关银行账户的新规还在蒙圈？速速来了解吧~                                            ", 9月11日 15:44,转发,评论,172,微博 weibo.com,Flk2h0eel,0
209,"
                                                                                                    #历史上的今天#2001年9月11日，美国遭遇了迄今为止人类历史上最为严重的恐怖袭击。纽约世界贸易中心、五角大楼先后遭到恐怖主义分子劫持的波音757、767飞机猛烈撞击，导致世贸双塔轰然倒塌，共造成3000多人死亡和失踪。“9·11事件”被美国政府称为是其历史上第二次“珍珠港事件”。 ???????? 你所浪费 ????????...展开全文c                                            ", 9月11日 15:33,转发,评论,3,微博 weibo.com,FljY5etzJ,0
210,"
                                                                                                    【电力之歌】#电力人原创#（国网四川省电力公司管理培训中心????何雯懿） ????????                                            ", 9月11日 15:00,转发,评论,4,微博 weibo.com,FljKlC8cz,0
211,"
                                                                                                    四川省电力公司微电影大赛优秀作品展播——《梅岭兄弟》by国网泸州供电公司 L国网四川电力的微博视频 ????????                                            ", 9月11日 14:00,2,评论,5,微博 weibo.com,FljlZDGFS,0
212,"
                                                                                                    一个被外卖耽误了的大厨                                            ", 9月11日 12:49,转发,1,24,iPhone 6,FliToE6hp,0
213,"
                                                                                                    #老师您辛苦了#【老师让你印象最深的一件事】中奖名单公布啦！！！恭喜@真言201506@yill0102获得价值249元的@凡米科技智能耳温计，快来私信小编地址领奖啦~~没有中奖的宝宝们也不要失望，也许下一次的幸运儿就是你哦~~ ????????                                            ", 9月11日 11:35,1,6,6,微博 weibo.com,Flip8Bhm6,0
214,"
                                                                                                    上周小编带大家走进国网石羊充换电站，了解电动公交和私家电动汽车是如何充电的，不知道各位是否对电动汽车产生了好奇呢？小编们想大家之所想，急大家之所急，快马加鞭，将热乎乎的电动汽车报道呈送到各位面前，还不快来看看~ L国网四川电力的微博视频 ????????                                            ", 9月11日 11:30,2,评论,8,微博 weibo.com,Flin73OPZ,0
215,"
                                                                                                    #颤抖吧，燃油！世界即将迎来新的时代!# 【中国将计划完全禁止销售化石燃料汽车】此前欧洲多国宣布将禁止销售汽柴油车，德国、英国、法国将于2030或2040年禁售燃油车。9月9日，工信部副部长辛国斌透露我国已经开始研究制定禁售燃油汽车时间表，国内燃油汽车禁售政策也提上日程。这意味着新能源汽车的 ????????...展开全文c                                            ", 9月11日 11:19,转发,评论,4,微博 weibo.com,FliiP5hGl,0
216,"
                                                                                                    【电能替代 节能减排】#现场设计企业“煤改电”供电方案#为进一步推进“电能替代”工作，促进遂宁华建管桩有限公司“煤改电”项目落实，9月8日下午，国网遂宁大英公司组织专业人员来到华建管桩厂内实地查看该企业生产现状、“电能替代”需求及改造进展落实情况，并对供电线路进行了初步勘查和规划。 ????????                                            ", 9月11日 11:00,1,评论,2,微博 weibo.com,FliaW3eYx,0
217,"
                                                                                                    【简阳：贴心服务助秋收】连日来，国网成都简州供电公司开展秋收安全大排查活动，辖区供电所安全巡查组穿梭在田间、谷场排查用电隐患。9月8日，该公司养马供电所安全巡查组人员来到简阳市养马镇小沟村、田朴村，现场为村民讲解安全用电知识，义务检修秋收用电设施，帮助困难户秋收，将贴心服务送到用户 ????????...展开全文c                                            ", 9月11日 09:00,转发,评论,3,微博 weibo.com,Flhoe7B8g,0
218,"
                                                                                                    【好好学习，天天向上】19种世界顶级的思维模式（NO.5） ????????                                            ", 9月11日 08:45,转发,评论,2,微博 weibo.com,Flhi8wod4,0
219,"
                                                                                                    #早安#近在咫尺的幸福是：每天拥有新的开始。 ????????                                            ", 9月11日 08:00,转发,评论,1,微博 weibo.com,FlgZSacoF,0
220,"
                                                                                                    【电力之歌】#电力人原创#（国网乐山供电公司??????李永熙）鹧鸪天??电难识姿容君可娇？堪沿银线畅酣遨。岂容黑暗吞天地，长使光明照夜宵。声默默，路迢迢，相期总把热光抛。文明赖汝方多彩，几许风流多自豪。 ????????                                            ", 9月10日 15:00,转发,评论,1,微博 weibo.com,FlajR57Kn,0
221,"
                                                                                                    #教师节快乐#祝天下老师们节日快乐！# ????????                                            ", 9月10日 08:36,转发,1,3,Android客户端,Fl7Ommg9k,0
222,"
                                                                                                    【电力之歌】#电力人原创#（国网宜宾供电公司??????王渤涛）杆塔之恋 铮铮铁骨，独守群山，傲雪凌霜。看风起云涌，候鸟歌唱；摘星揽月，辉映万千人家。蓝天为被，大地当床，夜阑人静唯自忙。...展开全文c                                            ", 9月9日 15:00,1,评论,2,微博 weibo.com,Fl0TmgbN3,0
223,"
                                                                                                    #晚安#一个人知道自己为什么而活，就可以忍受任何一种生活。—— 尼采 ????????                                            ", 9月8日 23:00,转发,评论,2,微博 weibo.com,FkUBH7xnP,0
224,"
                                                                                                    【消电共建 共保平安】#资阳供电公司与资阳市公安消防支队开展战略合作#9月7日，国网资阳供电公司与资阳市公安消防支队共同签订《“消电共建 共保平安”战略合作协议》。这是两家单位加快推进深化合作，加强全市电气火灾综合治理工作的实际行动，也是打造全省首个“安全用电示范县”的重要举措。即日 ????????...展开全文c                                            ", 9月8日 17:00,2,1,3,微博 weibo.com,FkSfzhIUt,0
225,"
                                                                                                    【广元：女职工厨艺比拼展风采】为了给“女儿节”坚守在工作岗位的女职工们补过一个节日，9月7日，国网广元供电公司输变电工程分公司工会组织举办了一场厨艺大比拼活动。赛场上，各参赛女职工纷纷挽起袖子，亮出绝活，比刀工、拼手艺、考火候，力求“色、香、味、形”俱全，共计完成了可乐鸡翅、凉拌麻 ????????...展开全文c                                            ", 9月8日 16:46,转发,1,3,iPhone 6,FkS9Xwiju,0
226,"
                                                                                                    【党旗飘飘，喜迎十九大】#张思德电力为民服务队阆中分队把安全用电带进课堂#9月7日，国网南充供电公司张思德电力为民服务队阆中分队在开学之际，前往阆中市治平乡中心校给全校350多名师生讲解安全用电知识，随后还在该校七年级一班上电力安全课，看望慰问留守学生，并通过即时抢答的形式与学生们进行 ????????...展开全文c                                            ", 9月8日 16:00,转发,1,3,微博 weibo.com,FkRRdkXja,0
227,"
                                                                                                    【增值服务送福利】9月8日，四川资阳乐至县供电公司员工来到朝阳店村宣传秋收季节应注意的安全用电知识。（宋道辉） ????????                                            ", 9月8日 15:30,转发,评论,1,微博 weibo.com,FkRF2jjGt,0
228,"
                                                                                                    #查网改安全 除隐患病根#9月7日，国网遂宁蓬溪公司组织相关人员，在K码定位下直入红江镇三关村四社，督察广安智丰施工队负责的10千伏红宁线5号变压器0.4千伏侧01至08杆线路架设施工作业现场安全。 ????????                                            ", 9月8日 15:14,转发,评论,2,iPhone 6,FkRyNzmv2,0
229,"
                                                                                                    【电力之歌】#电力人原创#（国网德阳市绵东供电公司 朱薇）痕迹初秋的午后被悄悄地浸泡在淅沥的细雨中如丝的秋雨...展开全文c                                            ", 9月8日 15:00,转发,评论,赞,微博 weibo.com,FkRsRlsrj,0
230,"
                                                                                                    谢谢你和你的树                                            ", 9月8日 14:53,1,评论,131,小米手机,FkRqhs8hG,0
231,"
                                                                                                    四川省电力公司微电影大赛优秀作品展播——《你是我的眼》by国网眉山供电公司 L国网四川电力的微博视频 ????????                                            ", 9月8日 14:42,1,1,1,秒拍网页版,FkRlIpMzt,0
232,"
                                                                                                    为墨西哥祈祷，愿大家都平安                                            ", 9月8日 14:38,转发,评论,1896,小米手机,FkRkefWL6,0
233,"
                                                                                                    【党旗飘飘，喜迎十九大】#资阳公司：把安全“微党课”搬进农网施工现场#9月6日上午，安岳县周礼镇玉顶村农网施工现场，施工队班前会上一下子热闹起来，国网安岳县供电公司党委负责人正以“安全”为话题与供电所党员同志及施工人员进行现场交流互动，分享自己工作中的“心得体会”。当天，该公司供电 ????????...展开全文c                                            ", 9月8日 14:30,转发,评论,1,微博 weibo.com,FkRgGmZm7,0
234,"
                                                                                                    #向奋战在一线的电力员工致敬！#                                            ", 9月8日 14:21,1,评论,1,微博 weibo.com,FkRdhqBdw,0
235,"
                                                                                                    #明察暗访促行风#9月7日上午，国网遂宁蓬溪公司相关人员采取不打招呼、不发通知、临时抽取走访对象的方式，深入5个农电班供电辖区进行明察暗访。现场，暗访组成员与客户交流座谈，了解用电需求，掌握供电所员工服务态度；同时，暗访组还回访农网改造村，积极宣讲国网公司惠民利民好政策。 ????????                                            ", 9月8日 12:30,2,评论,3,微博 weibo.com,FkQtY7RPx,0
236,"
                                                                                                    #老师您辛苦了#【老师让你印象最深的一件事】#优秀留言展示#快来围观！！！ ????????                                            ", 9月8日 12:00,1,4,2,微博 weibo.com,FkQhNulwp,0
237,"
                                                                                                    对于消费者来说电动汽车到底有什么优势？如何解决充电问题？小编近日探访了成都某4s店，并亲自试驾电动汽车，敬请期待                                            ", 9月8日 11:32,转发,评论,109,小米手机,FkQ6Cf2aB,0
238,"
                                                                                                    【党旗飘飘，喜迎十九大】开学了，国网眉山供电公司（东坡区）党员服务队的队员们主动前往眉山市东坡实验初级中学”心连心“志愿者服务站，开展秋季安全隐患排查，让“娃娃们”安心用电，放心读书。 ????????                                            ", 9月8日 11:00,1,评论,3,微博 weibo.com,FkPTraGBe,0
239,"
                                                                                                    #谁是家电磁辐射之王？家电辐射对人体到底有没有害？#O【实测】谁是家电辐射之王？结果你绝对想不到！ ????????                                            ", 9月8日 10:10,转发,评论,2,微博 weibo.com,FkPzb51Dn,0
240,"
                                                                                                    【党旗飘飘，喜迎十九大】#遂宁党服队：送上教师节安全“大礼包”#9月7日，国网四川电力（遂宁）共产党员服务队走进校园，展开教师节送安全活动，为射洪中学初中部义务检查电力设施，推广宣传掌上电力APP，提前送上教师节的“礼物”。 ????????                                            ", 9月8日 10:02,1,评论,1,微博 weibo.com,FkPw5AYEs,0
241,"
                                                                                                    【电能替代 节能减排】德阳:推广电能替代倡导清洁能源环保 “老卢，火锅‘气改电’后使用安全方便吗？”“电火锅好啊，绿色环保又安全，生意也红火了！”。9月7日上午，国网德阳市绵东供电公司宣传人员沿绵竹市世纪东城火锅店后街开展电能替代清洁能源环保宣传活动。重点对电替代的安全性和稳定性进行 ????????...展开全文c                                            ", 9月8日 10:00,1,评论,赞,微博 weibo.com,FkPv67dW2,0
242,"
                                                                                                    【创新创效】#国网广元供电公司开展创新项目发布技巧培训#9月7日，国网广元供电公司举办创新创效项目发布演讲技巧培训。特邀国家人社部注册EAP讲师、国家注册二级心理咨询师夏峥，就提高创新项目发布质量、增强项目发布感染力、提升各团队综合素质进行了有针对性的讲解和训练。来自该公司30余支创新团 ????????...展开全文c                                            ", 9月8日 09:07,转发,评论,2,微博 weibo.com,FkP9W968s,0
243,"
                                                                                                    【党旗飘飘，迎接十九大】#泸州电力： 花170多万给电力设施“美容”#泸州供电公司为积极做好全国文明城市创建工作，在练好自身“内功”方面，大力开展“创文攻坚”。该公司投入170余万元，对分布在泸州市江阳区、龙马潭区、纳溪区城区的配电箱、环网柜等电力设施开展牛皮癣（小广告）专项排查整治，助 ????????...展开全文c                                            ", 9月8日 09:00,转发,评论,赞,微博 weibo.com,FkP6K9tuG,0
244,"
                                                                                                    【号外！号外！】今天中午12点，本微博君就要公布优秀留言了哦~距离拿到奖品只有一步之遥哦，还有想碰运气拿奖的速来留言吧。put up your hands！ 让小编看到你们~ ????????                                            ", 9月8日 08:54,转发,3,赞,微博 weibo.com,FkP4njz6F,0
245,"
                                                                                                    【好好学习，天天向上】19种世界顶级的思维模式（NO.4） ????????                                            ", 9月8日 08:45,转发,评论,赞,微博 weibo.com,FkP0Eg7SI,0
