序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
19,"
                                                                                                    发布了头条文章：《再电气化：能源转型的根本途径》 什么是再电气化？在能源低碳转型的大趋势下，再电气化就是升级版的电气化，是电气化应用数量和质量上的飞跃，是清洁电能更广泛、更深入地被人们利用。在能源转型的过程中，电网是中心环节，90%以上的清洁能源必须转化为电力才能得以应用，利用新能源 ????????...展开全文c                                            ", 8月15日 09:01,657,48,56,微博 weibo.com,FhaRujBKK,0
20,"
                                                                                                    电烤串啊！小编的最爱                                            ", 8月14日 21:48,8,7,1,iPhone 7 Plus,Fh6seBhFn,0
21,"
                                                                                                    国家电网版战狼Ⅱ，燃到爆！                                            ", 8月13日 12:33,329,18,14,iPhone 7 Plus,FgTokq4z2,0
22,"
                                                                                                    九寨沟震区国家电网受损电力设施全部恢复送电。好样的！川电兄弟们@国资小新 O网页链接 ????????                                            ", 8月11日 16:15,316,11,112,微博 weibo.com,FgBZJBIos,1
23,"
                                                                                                    祈福九寨，平安四川！                                            ", 8月10日 09:04,23,4,11,iPhone 7 Plus,FgpK7v2gQ,1
24,"
                                                                                                    8月9日上午，国家电网公司召开抗震救灾紧急视频会商会议，舒印彪董事长要求认真落实习近平总书记重要指示和李克强总理批示，全力做好九寨沟7.0级地震抢险保电工作，供电员工要发扬拼搏奉献精神，在抗震救灾工作中冲在前列，以最快速度恢复灾区供电。地震发生后，国家电网公司第一时间启动地震灾害应急 ????????...展开全文c                                            ", 8月9日 19:33,21,23,59,微博 weibo.com,FgkqZ6pop,1
25,"
                                                                                                    #抗震救灾央企行动# 8月9日10时，国网广元供电公司第一支救援队从兰海高速经甘肃省文县碧口前往九寨沟方向。途经落石路段，奔波6小时，成功通过岭岗岩隧道，顺利抵达九寨沟县城，经九寨沟景区前往甘海子方向，是率先抵达灾区的救援力量之一。@国资小新 @央视新闻                                            ", 8月9日 18:08,11,9,18,微博 weibo.com,FgjSiuD4E,1
26,"
                                                                                                    国网救援队抵达110千伏九寨沟（甘海子）变电站，开展抢修工作。加油！川电兄弟们                                            ", 8月9日 14:54,8,10,6,iPhone 7 Plus,FgiBCi9ZU,1
27,"
                                                                                                    国网抢修队员们与子弟兵一起赶赴灾区加油四川                                            ", 8月9日 11:24,22,6,101,iPhone 7 Plus,FghekpEFY,1
28,"
                                                                                                    前方电力抢修队员了解到，前方塌方山体超过一万方，有车辆被埋、人员伤亡迹象。注意安全啊！                                            ", 8月9日 10:34,10,7,1,iPhone 7 Plus,FggUhiqNK,1
29,"
                                                                                                    战友们注意安全啊！@国资小新                                            ", 8月9日 09:58,34,7,10,iPhone 7 Plus,FggFE8s9f,-1
30,"
                                                                                                    #抗震救灾央企行动# 目前国家电网公司救援人员正赶往核心灾区开展救援电力保障工作。@国资小新 @央视新闻                                            ", 8月9日 08:31,58,6,8,微博 weibo.com,Fgg6abMwm,1
31,"
                                                                                                    #抗震救灾央企行动# 国网四川省电力公司首批抢险队伍由阿坝公司投入78人、22台车、1辆400千瓦发电车、6台5千瓦发电机、5台照明灯具、2顶帐篷、低压电力电缆400米以及若干低压照明材料；第二批抢险队伍由成都出发；在省公司的安排下，绵阳、广元电力抢险队伍也正赶赴现场。@国资小新                                            ", 8月9日 08:12,18,11,23,微博 weibo.com,FgfYGfVPR,1
32,"
                                                                                                    国网四川省电力公司首批抢险队伍由阿坝公司投入78人、22台车、1辆400千瓦发电车、6台5千瓦发电机、5台照明灯具、2顶帐篷、低压电力电缆400米以及若干低压照明材料；第二批抢险队伍由成都出发；在省公司的安排下，绵阳、广元电力抢险队伍也正赶赴现场。@国资小新                                            ", 8月9日 08:03,6,5,23,微博 weibo.com,FgfUQopHu,1
33,"
                                                                                                    【抢修进度】国家电网第一批14人的电力抢险救援队已经赶到九寨沟县干海子变电站，开展恢复供电的工作。第二批电力抢险救援队正赶往九寨沟。@国资小新                                            ", 8月9日 00:57,57,12,19,微博 weibo.com,Fgd89wQou,1
34,"
                                                                                                    目前，若尔盖县、松潘县、红原县电网运行正常，九寨沟县到川主寺的供电线路110千伏川九线跳闸，松潘县35千伏城南变电站35千伏南黄线跳闸，九寨沟县城（非国家电网供区）部分地区供电中断。国网四川电力第一时间启动应急响应，对震区供电设备开展故障巡查，随时准备投入抢险救援@国资小新                                            ", 8月8日 23:27,348,17,54,iPhone 7 Plus,FgcxoplHl,1
35,"
                                                                                                    第一支电力抢险队伍已经挺进甘海子，并对甘海子变电站受损情况进行检查@国资小新                                            ", 8月8日 23:22,316,6,33,iPhone 7 Plus,FgcvB2qbc,1
36,"
                                                                                                    据中国地震台网正式测定，8月8日21时19分在四川阿坝州九寨沟县发生7.0级地震，目前有少量线路受影响跳闸，电力员工正在抢修@国资小新                                            ", 8月8日 22:13,311,9,18,iPhone 7 Plus,Fgc3zeXEg,1
37,"
                                                                                                    电力大哥好样的！                                            ", 8月2日 14:07,10,35,5,微博 weibo.com,Ffejjq0FQ,-1
38,"
                                                                                                    向高温下的劳动者致敬！                                            ", 7月31日 14:27,11,11,24,iPhone 7 Plus,FeVAhb1pe,-1
39,"
                                                                                                    第9号台风“纳沙”于7月30日6时左右在福清市沿海登陆，登录时最大风力12级。福州地区风大雨大，暴雨强风期间，提醒您尽量减少外出，注意人身安全和用电安全。                                            ", 7月30日 07:00,4,21,6,iPhone 7 Plus,FeJekltu7,0
40,"
                                                                                                    中国电力，135岁生日快乐！                                            ", 7月26日 08:51,45,79,28,iPhone 7 Plus,Fe8fghvcj,0
41,"
                                                                                                    【旗帜领航 三年登高 国家电网公司召开党建工作会议】7月21日，国家电网公司党建工作会议在京召开。会议深入贯彻习近平总书记系列重要讲话精神和治国理政新理念新思想新战略，深入落实党的十八届六中全会和全国国有企业党的建设工作会议精神，总结十八大以来公司党建工作成绩，分析形势和任务，安排部 ????????...展开全文c                                            ", 7月23日 12:09,23,103,38,微博 weibo.com,FdHg5Dd0w,0
42,"
                                                                                                    战高温保供电                                            ", 7月19日 21:45,7,75,42,iPhone 7 Plus,Fd9ka8kPd,-1
43,"
                                                                                                    强根铸魂??????踏石留印                                            ", 7月19日 19:40,6,5,18,微博 weibo.com,Fd8vutnPI,-1
44,"
                                                                                                    【国资委举办中央企业、地方国资委负责人培训班】7月11日，国资委在京举办中央企业、地方国资委负责人培训班，深入学习贯彻习近平总书记系列重要讲话精神和治国理政新理念新思想新战略，学习贯彻李克强总理重要批示精神，贯彻落实全国国有企业改革经验交流会精神，总结上半年工作，分析形势、交流经验 ????????...展开全文c                                            ", 7月12日 18:48,10,47,10,专业版微博,Fc4aBsP8A,0
45,"
                                                                                                    一段MV带你感受云端上的天路！为点亮高原建设者们点赞！@国资小新 L秒拍视频 ????????                                            ", 7月10日 13:49,670,98,98,iPhone 7 Plus,FbJmv1R7M,0
46,"
                                                                                                    正在建设中的藏中联网工程，是雪域高原又一条电力天路！                                            ", 7月10日 10:38,435,42,2637,iPhone 7 Plus,FbI70k4NW,0
47,"
                                                                                                    【新闻联播报道云端上的天路】央视新闻联播报道正在建设的藏中联网工程，是迄今为止世界上最复杂、最具挑战的高原输变电工程。悬崖绝壁上走线，只为保护最美冰川。为建巍巍铁塔，工人们变身攀岩高手，最快三个小时就能登上作业点。为中国建设者们点赞@国资小新 L秒拍视频 ????????                                            ", 7月9日 19:59,2320,334,291,秒拍网页版,FbCm3qDsF,0
48,"
                                                                                                    央视直播云端上的天路！正在建设的藏中电力联网工程，是迄今为止世界上最复杂、最具挑战的高原输变电工程。悬崖绝壁上走线，只为保护最美冰川。为建巍巍铁塔，工人们变身攀岩高手，最快三个小时就能登上作业点。看直播，为中国建设者们点赞@国资小新                                            ", 7月9日 13:46,257,43,3571,iPhone 7 Plus,FbzUHdGRP,0
49,"
                                                                                                    一段航拍带你感受世界级电力工程@国资小新                                            ", 7月9日 10:19,506,51,2828,iPhone 7 Plus,FbyyLhvsl,0
50,"
                                                                                                    藏中电力联网，云端上的天路。央视新闻频道同时带你看点亮高原的世界超级工程！??致敬创造奇迹的劳动者！@国资小新 @央视新闻                                            ", 7月8日 10:31,456,85,1687,360安全浏览器,FbpcXdmj1,0
51,"
                                                                                                    藏中电力联网，云端上的天路央视新闻新媒体现场直播即将开始！央视新闻频道同时带你看点亮高原的世界超级工程！??致敬创造奇迹的劳动者！@国资小新 @央视新闻 ????????                                            ", 7月8日 09:41,742,96,107,iPhone 7 Plus,FboSFBFx7,0
52,"
                                                                                                    【期待央视直播藏中联网工程】藏中联网是世界海拔最高、自然条件最为复杂的电网工程。工程起于西藏昌都市芒康县，止于山南市桑日县，工程穿越横断山脉核心地带和青藏高原腹地，工程路径大多沿高海拔山脊走线，平均作业海拔超4000米。近日CCTV13和央视新媒体将进行互动直播。请大家关注！@国资小新                                            ", 7月7日 17:09,351,45,1878,360安全浏览器,FbinVBZrO,0
53,"
                                                                                                    抗洪救灾，电力“超人”在一线！                                            ", 7月5日 19:28,24,10,76,微博 weibo.com,Fb0ry7mce,0
54,"
                                                                                                    【国家电网2017年迎峰度夏反事故应急演练成功举行】为提高迎峰度夏期间国家电网公司对重大电网事故的应急处置能力，检验公司系统各单位对大面积停电事件的快速响应和应急管理水平，保障电网运行安全和电力可靠供应，7月4日上午，国家电网公司组织开展了2017年迎峰度夏反事故应急演练。这次大规模、综合 ????????...展开全文c                                            ", 7月4日 19:40,257,41,47,微博 weibo.com,FaR5SAe9a,0
55,"
                                                                                                    7月2日上午11时许，江苏盐城东台富安镇、弶港镇、许河镇7个村遭不同程度龙卷风袭击。国网东台供电公司共组织了13支近300人的抢修队伍，全速推进抢修保供电@国资小新                                            ", 7月2日 20:32,16,12,15,iPhone 7 Plus,FayA393co,0
56,"
                                                                                                    湖南持续暴雨，一线的供电员工连续奋战。实在太累了，战友保重身体！                                            ", 7月2日 18:49,19,23,50,iPhone 7 Plus,FaxU8jqqL,0
57,"
                                                                                                    暴雨继续，抗洪抢险，国家电网在行动！@国资小新                                            ", 7月2日 09:55,11,8,67,微博 weibo.com,Faupua0Fh,0
