序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
1,"
                                                                                                    中国特高压技术全面落地巴西                                            ", 9月29日 22:35,18,26,21,iPhone 7 Plus,Fo6q88lCJ,0
2,"
                                                                                                    【国家电网公司巴西美丽山水电送出特高压直流输电二期项目开工】当地时间9月28日，国家电网公司巴西美丽山水电送出特高压直流输电二期项目开工仪式在里约换流站建设现场成功举办，标志着中巴两国电力能源领域合作又取得一个里程碑成就。国家电网公司总经理寇伟、巴西矿能部部长费尔南多、巴西里约州州 ????????...展开全文c                                            ", 9月29日 14:37,19,7,23,360安全浏览器,Fo3ihuHuG,0
3,"
                                                                                                    【国家电网公司提前完成新一轮农网改造升级“两年攻坚战”】9月25日，国家电网公司提前三个月完成新一轮农网改造升级“两年攻坚战”。公司完成了经营区内153.5万眼平原地区农田机井通电，实现了平原地区“井井通电”目标；实现了6.6万个小城镇（中心村）电网改造升级全覆盖；完成了7.8万个自然村新通动 ????????...展开全文c                                            ", 9月28日 10:30,22,7,39,360安全浏览器,FnSfiuUqs,0
4,"
                                                                                                    【共筑辉煌中国！特高压助力中国梦！】被国际大电网组织誉为世界电力工业发展史上重要里程碑的——中国特高压工程，助力《辉煌中国》闪亮开播！@国资小新 L国家电网的微博视频 ????????                                            ", 9月20日 17:53,130,31,56,秒拍网页版,FmHJi88ab,0
5,"
                                                                                                    【就在今晚8点！纪录片《辉煌中国》开播】由中共中央宣传部、中央电视台联合制作的六集电视纪录片《辉煌中国》，将于今晚20时在中央电视台综合频道晚间黄金时间播出。全片以创新、协调、绿色、开放、共享的新发展理念为脉络，全面反映党的十八大以来中国经济社会发展取得的巨大成就。国家电网将在第一 ????????...展开全文c                                            ", 9月19日 17:16,21,12,39,秒拍网页版,Fmy3K6bNY,0
6,"
                                                                                                    【王勇出席中央企业创新成就展活动时强调 为建设创新型国家和世界科技强国做出更大贡献】国务委员王勇近日出席中央企业深入实施创新驱动发展战略、全国大众创业万众创新活动周相关活动，他强调，广大中央企业要深入学习贯彻习近平总书记系列重要讲话精神和治国理政新理念新思想新战略，全面实施创新驱 ????????...展开全文c                                            ", 9月18日 14:32,10,3,16,微博 weibo.com,FmnyxfyIW,0
7,"
                                                                                                    扶贫攻坚战，国家电网在行动！                                            ", 9月12日 10:21,17,17,28,iPhone 7 Plus,FlrlS5HwD,0
8,"
                                                                                                    【三大直流：清洁水电惠华东】从2010年7月～2014年7月，三大特高压直流工程——±800千伏复奉（向家坝—上海）、锦苏（锦屏—苏南）、宾金（溪洛渡—浙江）工程先后投运。三大直流额定输送功率达2160万千瓦，承担着80%以上的四川水电外送任务，输送的电力分别占上海、江苏、浙江三省市最高用电负荷的34% ????????...展开全文c                                            ", 9月7日 10:08,25,18,30,iPhone 7 Plus,FkG84mVmf,0
9,"
                                                                                                    看金砖五国在电力数据，就知道金砖五国有多重要！看电力就知道！                                            ", 9月5日 10:16,23,11,10,iPhone 7 Plus,Fknkr2Lb4,0
10,"
                                                                                                    巴西美丽山二期项目是国家电网公司在海外首个独立中标的特高压输电工程，实现了中国特高压输电技术、电工装备、工程总承包和运行管理一体化“走出去”，将带动近50亿元国产电工装备出口，推动特高压输电技术、规范和标准的全球化应用，促进优势产能国际合作和互利共赢。                                            ", 9月4日 09:57,9,11,8,360安全浏览器,FkdLRhVWJ,0
11,"
                                                                                                    【巴西政府向国家电网公司颁发巴西美丽山特高压输电二期项目开工许可证】9月1日下午，在中国国家主席习近平和巴西总统特梅尔的共同见证下，巴西矿产和能源部部长费尔南多在北京人民大会堂，向中国国家电网公司董事长舒印彪正式颁发巴西美丽山水电送出特高压直流输电二期项目开工许可证，充分体现了中巴 ????????...展开全文c                                            ", 9月4日 09:17,57,18,30,360安全浏览器,FkdvHyJ12,0
12,"
                                                                                                                                                ", 8月28日 13:56,13,20,15,iPhone 7 Plus,FjblB8HU6,-1
13,"
                                                                                                    传播谣言一时爽，警察来了泪汪汪……                                            ", 8月25日 08:48,35,20,15,iPhone 7 Plus,FiH2Z2Umb,0
14,"
                                                                                                    今天请关注探寻国家电网智慧车联网“足迹”，上午9:30走起哦@国资小新                                            ", 8月18日 08:04,812,54,61,iPhone 7 Plus,FhCLVz4n0,0
15,"
                                                                                                    明天上午，“走进国家电网·智慧车联网”活动视频直播，请关注哦！@国资小新                                            ", 8月17日 12:30,4,7,10,iPhone 7 Plus,Fhv5ju5uC,0
16,"
                                                                                                    【吹响九寨集结号】8月8日，四川阿坝九寨沟发生7.0级地震，国家电网公司第一时间启动应急响应，协调各方的抢险指令迅速下达，阿坝、成都、绵阳、德阳、广元等6支电力抢险队当晚集结，驰援灾区。电力抢险突击队克服道路中断、余震不断、滚石塌方等困难徒步十几公里抵达震中位置，450多名抢险队员携带100 ????????...展开全文c                                            ", 8月16日 11:56,405,33,45,秒拍网页版,Fhlr7nR6d,1
17,"
                                                                                                    【预告】各位电动车粉们，请关注一哈8月18日网络直播：探寻国家电网智慧车联网“足迹” O凤凰直播 ????????                                            ", 8月16日 11:00,1610,92,61,凤凰新闻,Fhl4222ha,0
18,"
                                                                                                    勿忘国耻！建设世界最坚强的中国电网！@国资小新                                             ", 8月15日 10:52,577,24,26,iPhone 7 Plus,FhbAosstC,0
